"count_column","genotype","region","biological_replicate","time","tissue"
"wt_con1_3h","WT","contralateral","1","3h","hippocampus"
"wt_con1_6h","WT","contralateral","1","6h","hippocampus"
"wt_con2_3h","WT","contralateral","2","3h","hippocampus"
"wt_con2_6h","WT","contralateral","2","6h","hippocampus"
"wt_ips1_3h","WT","ipsilateral","1","3h","hippocampus"
"wt_ips1_6h","WT","ipsilateral","1","6h","hippocampus"
"wt_ips2_3h","WT","ipsilateral","2","3h","hippocampus"
"wt_ips2_6h","WT","ipsilateral","2","6h","hippocampus"
"neil1_con1_3h","NEIL1-KO","contralateral","1","3h","hippocampus"
"neil1_con1_6h","NEIL1-KO","contralateral","1","6h","hippocampus"
"neil1_con2_3h","NEIL1-KO","contralateral","2","3h","hippocampus"
"neil1_con2_6h","NEIL1-KO","contralateral","2","6h","hippocampus"
"neil1_ips1_3h","NEIL1-KO","ipsilateral","1","3h","hippocampus"
"neil1_ips1_6h","NEIL1-KO","ipsilateral","1","6h","hippocampus"
"neil1_ips2_3h","NEIL1-KO","ipsilateral","2","3h","hippocampus"
"neil1_ips2_6h","NEIL1-KO","ipsilateral","2","6h","hippocampus"
"neil2_con1_3h","NEIL2-KO","contralateral","1","3h","hippocampus"
"neil2_con1_6h","NEIL2-KO","contralateral","1","6h","hippocampus"
"neil2_con2_3h","NEIL2-KO","contralateral","2","3h","hippocampus"
"neil2_con2_6h","NEIL2-KO","contralateral","2","6h","hippocampus"
"neil2_ips1_3h","NEIL2-KO","ipsilateral","1","3h","hippocampus"
"neil2_ips1_6h","NEIL2-KO","ipsilateral","1","6h","hippocampus"
"neil2_ips2_3h","NEIL2-KO","ipsilateral","2","3h","hippocampus"
"neil2_ips2_6h","NEIL2-KO","ipsilateral","2","6h","hippocampus"
