input_id,SYMBOL,ENTREZID,ENSEMBL,GENENAME
0610005C13Rik,0610005C13Rik,71661,ENSMUSG00000109644,RIKEN cDNA 0610005C13 gene
0610007P14Rik,0610007P14Rik,NA,NA,NA
0610009B22Rik,0610009B22Rik,NA,NA,NA
0610009L18Rik,0610009L18Rik,66838,ENSMUSG00000043644,RIKEN cDNA 0610009L18 gene
0610009O20Rik,0610009O20Rik,NA,NA,NA
0610010B08Rik,0610010B08Rik,NA,NA,NA
0610010B08Rik Gm14308 Gm14430 Gm14434 Gm4724 OTTMUSG00000016609,0610010B08Rik Gm14308 Gm14430 Gm14434 Gm4724 OTTMUSG00000016609,NA,NA,NA
0610010F05Rik,0610010F05Rik,NA,NA,NA
0610010K14Rik,0610010K14Rik,NA,NA,NA
0610011F06Rik,0610011F06Rik,NA,NA,NA
0610012G03Rik,0610012G03Rik,NA,NA,NA
0610030E20Rik,0610030E20Rik,68364,ENSMUSG00000058706,RIKEN cDNA 0610030E20 gene
0610031J06Rik,0610031J06Rik,NA,NA,NA
0610031O16Rik,0610031O16Rik,68369,ENSMUSG00000099146,RIKEN cDNA 0610031O16 gene
0610037L13Rik,0610037L13Rik,NA,NA,NA
0610038B21Rik,0610038B21Rik,70345,NA,RIKEN cDNA 0610038B21 gene
0610039K10Rik,0610039K10Rik,68386,ENSMUSG00000058812,RIKEN cDNA 0610039K10 gene
0610040B10Rik,0610040B10Rik,67672,NA,RIKEN cDNA 0610040B10 gene
0610040F04Rik,0610040F04Rik,75394,ENSMUSG00000087341,RIKEN cDNA 0610040F04 gene
0610040J01Rik,0610040J01Rik,NA,NA,NA
0610043K17Rik,0610043K17Rik,68400,ENSMUSG00000087361,RIKEN cDNA 0610043K17 gene
1010001N08Rik,1010001N08Rik,NA,NA,NA
1110001J03Rik,1110001J03Rik,NA,NA,NA
1110002L01Rik,1110002L01Rik,100043040,ENSMUSG00000071456,RIKEN cDNA 1110002L01 gene
1110004E09Rik,1110004E09Rik,NA,NA,NA
1110004F10Rik,1110004F10Rik,56372,ENSMUSG00000030663,RIKEN cDNA 1110004F10 gene
1110006O24Rik,1110006O24Rik,66123,ENSMUSG00000107121,RIKEN cDNA 1110006O24 gene
1110007C09Rik,1110007C09Rik,NA,NA,NA
1110008F13Rik,1110008F13Rik,NA,NA,NA
1110008L16Rik,1110008L16Rik,NA,NA,NA
1110008P14Rik,1110008P14Rik,NA,NA,NA
1110012L19Rik,1110012L19Rik,NA,NA,NA
1110015O18Rik,1110015O18Rik,100503859,ENSMUSG00000098659,RIKEN cDNA 1110015O18 gene
1110017D15Rik,1110017D15Rik,NA,NA,NA
1110019D14Rik,1110019D14Rik,76311,ENSMUSG00000097616,RIKEN cDNA 1110019D14 gene
1110020A21Rik,1110020A21Rik,68531,ENSMUSG00000097047,RIKEN cDNA 1110020A21 gene
1110025L11Rik,1110025L11Rik,NA,NA,NA
1110028F11Rik,1110028F11Rik,68690,NA,RIKEN cDNA 1110028F11 gene
1110028F18Rik,1110028F18Rik,68692,ENSMUSG00000099139,RIKEN cDNA 1110028F18 gene
1110032A03Rik,1110032A03Rik,NA,NA,NA
1110032F04Rik,1110032F04Rik,68725,ENSMUSG00000046999,RIKEN cDNA 1110032F04 gene
1110034G24Rik,1110034G24Rik,NA,NA,NA
1110036E04Rik,1110036E04Rik,68697,NA,RIKEN cDNA 1110036E04 gene
1110037F02Rik,1110037F02Rik,NA,NA,NA
1110038B12Rik,1110038B12Rik,68763,ENSMUSG00000092203,RIKEN cDNA 1110038B12 gene
1110038F14Rik,1110038F14Rik,117171,ENSMUSG00000063236,RIKEN cDNA 1110038F14 gene
1110046J04Rik,1110046J04Rik,68808,ENSMUSG00000085457,RIKEN cDNA 1110046J04 gene
1110051M20Rik,1110051M20Rik,NA,NA,NA
1110054M08Rik,1110054M08Rik,NA,NA,NA
1110057K04Rik,1110057K04Rik,NA,NA,NA
1110058L19Rik,1110058L19Rik,NA,NA,NA
1110059E24Rik,1110059E24Rik,66206,ENSMUSG00000035171,RIKEN cDNA 1110059E24 gene
1110059G10Rik,1110059G10Rik,66202,ENSMUSG00000032551,RIKEN cDNA 1110059G10 gene
1110065P20Rik,1110065P20Rik,68920,ENSMUSG00000078570,RIKEN cDNA 1110065P20 gene
1190002F15Rik,1190002F15Rik,NA,NA,NA
1190002N15Rik,1190002N15Rik,NA,NA,NA
1190003K10Rik,1190003K10Rik,NA,NA,NA
1190005I06Rik,1190005I06Rik,68918,ENSMUSG00000043687,RIKEN cDNA 1190005I06 gene
1190007I07Rik,1190007I07Rik,NA,NA,NA
1200014J11Rik,1200014J11Rik,NA,NA,NA
1300002E11Rik,1300002E11Rik,100043489,ENSMUSG00000097290,RIKEN cDNA 1300002E11 gene
1300002K09Rik,1300002K09Rik,NA,NA,NA
1300017J02Rik,1300017J02Rik,NA,NA,NA
1500004A13Rik,1500004A13Rik,319830,ENSMUSG00000098912,RIKEN cDNA 1500004A13 gene
1500009C09Rik,1500009C09Rik,NA,NA,NA
1500009L16Rik,1500009L16Rik,69784,ENSMUSG00000087651,RIKEN cDNA 1500009L16 gene
1500011B03Rik,1500011B03Rik,66236,ENSMUSG00000072694,RIKEN cDNA 1500011B03 gene
1500011K16Rik,1500011K16Rik,NA,NA,NA
1500012F01Rik,1500012F01Rik,NA,NA,NA
1500012K07Rik,1500012K07Rik,68954,ENSMUSG00000097247,RIKEN cDNA 1500012K07 gene
1500015A07Rik,1500015A07Rik,68982,ENSMUSG00000098702,RIKEN cDNA 1500015A07 gene
1500015L24Rik,1500015L24Rik,68994,ENSMUSG00000094732,RIKEN cDNA 1500015L24 gene
1500015O10Rik,1500015O10Rik,NA,NA,NA
