"sample_id","title","tissue","cell_type","pup_id","sex","time","treatment","tissue_raw","cell_type_raw","pup_id_raw","sex_raw","time_raw","treatment_raw","count_column"
"GSM7660628","G40_f1Nµg","Hippocampus","Microglia","N40","Female",NA,"Control","Hippocampus","Microglia","N40","female",NA,"None","G40_f1Nµg"
"GSM7660629","G50_f1Nµg","Hippocampus","Microglia","N50","Female",NA,"Control","Hippocampus","Microglia","N50","female",NA,"None","G50_f1Nµg"
"GSM7660630","G70_f1Nµg","Hippocampus","Microglia","N70","Female",NA,"Control","Hippocampus","Microglia","N70","female",NA,"None","G70_f1Nµg"
"GSM7660631","G10_m1Nµg","Hippocampus","Microglia","N10","Male",NA,"Control","Hippocampus","Microglia","N10","male",NA,"None","G10_m1Nµg"
"GSM7660632","G30_m1Nµg","Hippocampus","Microglia","N30","Male",NA,"Control","Hippocampus","Microglia","N30","male",NA,"None","G30_m1Nµg"
"GSM7660633","G60_m1Nµg","Hippocampus","Microglia","N60","Male",NA,"Control","Hippocampus","Microglia","N60","male",NA,"None","G60_m1Nµg"
"GSM7660634","G10_f1HIµg","Hippocampus","Microglia","10","Female",NA,"HI","Hippocampus","Microglia","10","female",NA,"Hypoxia","G10_f1HIµg"
"GSM7660635","G23_f1HIµg","Hippocampus","Microglia","30","Female",NA,"HI","Hippocampus","Microglia","30","female",NA,"Hypoxia","G23_f1HIµg"
"GSM7660636","G24_f1HIµg","Hippocampus","Microglia","50","Female",NA,"HI","Hippocampus","Microglia","50","female",NA,"Hypoxia","G24_f1HIµg"
"GSM7660637","G4_m1HIµg","Hippocampus","Microglia","1","Male",NA,"HI","Hippocampus","Microglia","1","male",NA,"Hypoxia","G4_m1HIµg"
"GSM7660638","G5_m1HIµg","Hippocampus","Microglia","3","Male",NA,"HI","Hippocampus","Microglia","3","male",NA,"Hypoxia","G5_m1HIµg"
"GSM7660639","G6_m1HIµg","Hippocampus","Microglia","5","Male",NA,"HI","Hippocampus","Microglia","5","male",NA,"Hypoxia","G6_m1HIµg"
"GSM7660640","G5_f3Nµg","Hippocampus","Microglia","N5","Female",NA,"Control","Hippocampus","Microglia","N5","female",NA,"None","G5_f3Nµg"
"GSM7660641","G6_f3Nµg","Hippocampus","Microglia","N6","Female",NA,"Control","Hippocampus","Microglia","N6","female",NA,"None","G6_f3Nµg"
"GSM7660642","G7_f3Nµg","Hippocampus","Microglia","N7","Female",NA,"Control","Hippocampus","Microglia","N7","female",NA,"None","G7_f3Nµg"
"GSM7660643","G8_f3Nµg","Hippocampus","Microglia","N8","Female",NA,"Control","Hippocampus","Microglia","N8","female",NA,"None","G8_f3Nµg"
"GSM7660644","G1_m3Nµg","Hippocampus","Microglia","N1","Male",NA,"Control","Hippocampus","Microglia","N1","male",NA,"None","G1_m3Nµg"
"GSM7660645","G2_m3Nµg","Hippocampus","Microglia","N2","Male",NA,"Control","Hippocampus","Microglia","N2","male",NA,"None","G2_m3Nµg"
"GSM7660646","G3_m3Nµg","Hippocampus","Microglia","N3","Male",NA,"Control","Hippocampus","Microglia","N3","male",NA,"None","G3_m3Nµg"
"GSM7660647","G4_m3Nµg","Hippocampus","Microglia","N4","Male",NA,"Control","Hippocampus","Microglia","N4","male",NA,"None","G4_m3Nµg"
"GSM7660648","G18_f3HIµg","Hippocampus","Microglia","10","Female",NA,"HI","Hippocampus","Microglia","10","female",NA,"Hypoxia","G18_f3HIµg"
"GSM7660649","G22_f3HIµg","Hippocampus","Microglia","30","Female",NA,"HI","Hippocampus","Microglia","30","female",NA,"Hypoxia","G22_f3HIµg"
"GSM7660650","G20_f3HIµg","Hippocampus","Microglia","30","Female",NA,"HI","Hippocampus","Microglia","30","female",NA,"Hypoxia","G20_f3HIµg"
"GSM7660651","G26_f3HIµg","Hippocampus","Microglia","10","Female",NA,"HI","Hippocampus","Microglia","10","female",NA,"Hypoxia","G26_f3HIµg"
"GSM7660652","G28_f3HIµg","Hippocampus","Microglia","30","Female",NA,"HI","Hippocampus","Microglia","30","female",NA,"Hypoxia","G28_f3HIµg"
"GSM7660653","G16_m3HIµg","Hippocampus","Microglia","7","Male",NA,"HI","Hippocampus","Microglia","7","male",NA,"Hypoxia","G16_m3HIµg"
"GSM7660654","G14_m3HIµg","Hippocampus","Microglia","1","Male",NA,"HI","Hippocampus","Microglia","1","male",NA,"Hypoxia","G14_m3HIµg"
"GSM7660655","G12_m3HIµg","Hippocampus","Microglia","3","Male",NA,"HI","Hippocampus","Microglia","3","male",NA,"Hypoxia","G12_m3HIµg"
"GSM7660656","R10_f1HIMφ","Hippocampus","Macrophage","10","Female",NA,"HI","Hippocampus","Macrophages","10","female",NA,"Hypoxia","R10_f1HIMφ"
"GSM7660657","R11_f1HIMφ","Hippocampus","Macrophage","30","Female",NA,"HI","Hippocampus","Macrophages","30","female",NA,"Hypoxia","R11_f1HIMφ"
"GSM7660658","R12_f1HIMφ","Hippocampus","Macrophage","50","Female",NA,"HI","Hippocampus","Macrophages","50","female",NA,"Hypoxia","R12_f1HIMφ"
"GSM7660659","R4_m1HIMφ","Hippocampus","Macrophage","1","Male",NA,"HI","Hippocampus","Macrophages","1","male",NA,"Hypoxia","R4_m1HIMφ"
"GSM7660660","R5_m1HIMφ","Hippocampus","Macrophage","3","Male",NA,"HI","Hippocampus","Macrophages","3","male",NA,"Hypoxia","R5_m1HIMφ"
"GSM7660661","R6_m1HIMφ","Hippocampus","Macrophage","5","Male",NA,"HI","Hippocampus","Macrophages","5","male",NA,"Hypoxia","R6_m1HIMφ"
"GSM7660662","R21_f3HIMφ","Hippocampus","Macrophage","10","Female",NA,"HI","Hippocampus","Macrophages","10","female",NA,"Hypoxia","R21_f3HIMφ"
"GSM7660663","R27_f3HIMφ","Hippocampus","Macrophage","30","Female",NA,"HI","Hippocampus","Macrophages","30","female",NA,"Hypoxia","R27_f3HIMφ"
"GSM7660664","R22_f3HIMφ","Hippocampus","Macrophage","30","Female",NA,"HI","Hippocampus","Macrophages","30","female",NA,"Hypoxia","R22_f3HIMφ"
"GSM7660665","R26_f3HIMφ","Hippocampus","Macrophage","10","Female",NA,"HI","Hippocampus","Macrophages","10","female",NA,"Hypoxia","R26_f3HIMφ"
"GSM7660666","R28_f3HIMφ","Hippocampus","Macrophage","30","Female",NA,"HI","Hippocampus","Macrophages","30","female",NA,"Hypoxia","R28_f3HIMφ"
"GSM7660667","R18_m3HIMφ","Hippocampus","Macrophage","7","Male",NA,"HI","Hippocampus","Macrophages","7","male",NA,"Hypoxia","R18_m3HIMφ"
"GSM7660668","R16_m3HIMφ","Hippocampus","Macrophage","1","Male",NA,"HI","Hippocampus","Macrophages","1","male",NA,"Hypoxia","R16_m3HIMφ"
