"title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch1.4","characteristics_ch1.5","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","description","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","cell type:ch1","pup id:ch1","Sex:ch1","time after_hypoxia_(or_age-matching,_for_control):ch1","tissue:ch1","treatment:ch1"
"G40_f1Nµg","GSM7660628","Public on Jul 26 2023","Jul 25 2023","Jul 26 2023","SRA","1","Hippocampus","Mus musculus","tissue: Hippocampus","cell type: Microglia","pup id: N40","Sex: female","time after_hypoxia_(or_age-matching,_for_control): 1 day","treatment: None","total RNA","RNeasy Micro Kit, Qiagen","Smart-seq2, Picelli et al. Nature 2014","10090","Hippocampal microglia age P10","Reads were aligned using STAR 2.4.2a with default settings against Mus musculus reference genome (assembly mm10, without unplaced contigs).","Non-uniquely aligned reads were discarded from the alignment.","Reads per kilobase of gene per million mapped reads (RPKM) and read counts were generated using the python script rpkmforgenes (available at https://github.com/danielramskold/S3_species-specific_sequencing/) with settings -readcount -fulltranscript -mRNAnorm -rmnameoverlap -bothendceil and RefSeq gene annotation.","Assembly: mm10","Supplementary files format and content: tab-separated values, RPKM and read count","GPL13112","Daniel,,Ramsköld","daniel.ramskold@ki.se","Dept of Cell and Melecular Biology","Karolinska Institutet","Solnavägen 9","Solna","17165","Sweden","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","SRA: https://www.ncbi.nlm.nih.gov/sra?term=ERX11083108","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMEA114023745","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7660nnn/GSM7660628/suppl/GSM7660628_G40_f1Nmicrog.tsv.gz","Microglia","N40","female","1 day","Hippocampus","None"
"G50_f1Nµg","GSM7660629","Public on Jul 26 2023","Jul 25 2023","Jul 26 2023","SRA","1","Hippocampus","Mus musculus","tissue: Hippocampus","cell type: Microglia","pup id: N50","Sex: female","time after_hypoxia_(or_age-matching,_for_control): 1 day","treatment: None","total RNA","RNeasy Micro Kit, Qiagen","Smart-seq2, Picelli et al. Nature 2014","10090","Hippocampal microglia age P10","Reads were aligned using STAR 2.4.2a with default settings against Mus musculus reference genome (assembly mm10, without unplaced contigs).","Non-uniquely aligned reads were discarded from the alignment.","Reads per kilobase of gene per million mapped reads (RPKM) and read counts were generated using the python script rpkmforgenes (available at https://github.com/danielramskold/S3_species-specific_sequencing/) with settings -readcount -fulltranscript -mRNAnorm -rmnameoverlap -bothendceil and RefSeq gene annotation.","Assembly: mm10","Supplementary files format and content: tab-separated values, RPKM and read count","GPL13112","Daniel,,Ramsköld","daniel.ramskold@ki.se","Dept of Cell and Melecular Biology","Karolinska Institutet","Solnavägen 9","Solna","17165","Sweden","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","SRA: https://www.ncbi.nlm.nih.gov/sra?term=ERX11083109","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMEA114023746","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7660nnn/GSM7660629/suppl/GSM7660629_G50_f1Nmicrog.tsv.gz","Microglia","N50","female","1 day","Hippocampus","None"
"G70_f1Nµg","GSM7660630","Public on Jul 26 2023","Jul 25 2023","Jul 26 2023","SRA","1","Hippocampus","Mus musculus","tissue: Hippocampus","cell type: Microglia","pup id: N70","Sex: female","time after_hypoxia_(or_age-matching,_for_control): 1 day","treatment: None","total RNA","RNeasy Micro Kit, Qiagen","Smart-seq2, Picelli et al. Nature 2014","10090","Hippocampal microglia age P10","Reads were aligned using STAR 2.4.2a with default settings against Mus musculus reference genome (assembly mm10, without unplaced contigs).","Non-uniquely aligned reads were discarded from the alignment.","Reads per kilobase of gene per million mapped reads (RPKM) and read counts were generated using the python script rpkmforgenes (available at https://github.com/danielramskold/S3_species-specific_sequencing/) with settings -readcount -fulltranscript -mRNAnorm -rmnameoverlap -bothendceil and RefSeq gene annotation.","Assembly: mm10","Supplementary files format and content: tab-separated values, RPKM and read count","GPL13112","Daniel,,Ramsköld","daniel.ramskold@ki.se","Dept of Cell and Melecular Biology","Karolinska Institutet","Solnavägen 9","Solna","17165","Sweden","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","SRA: https://www.ncbi.nlm.nih.gov/sra?term=ERX11083110","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMEA114023747","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7660nnn/GSM7660630/suppl/GSM7660630_G70_f1Nmicrog.tsv.gz","Microglia","N70","female","1 day","Hippocampus","None"
"G10_m1Nµg","GSM7660631","Public on Jul 26 2023","Jul 25 2023","Jul 26 2023","SRA","1","Hippocampus","Mus musculus","tissue: Hippocampus","cell type: Microglia","pup id: N10","Sex: male","time after_hypoxia_(or_age-matching,_for_control): 1 day","treatment: None","total RNA","RNeasy Micro Kit, Qiagen","Smart-seq2, Picelli et al. Nature 2014","10090","Hippocampal microglia age P10","Reads were aligned using STAR 2.4.2a with default settings against Mus musculus reference genome (assembly mm10, without unplaced contigs).","Non-uniquely aligned reads were discarded from the alignment.","Reads per kilobase of gene per million mapped reads (RPKM) and read counts were generated using the python script rpkmforgenes (available at https://github.com/danielramskold/S3_species-specific_sequencing/) with settings -readcount -fulltranscript -mRNAnorm -rmnameoverlap -bothendceil and RefSeq gene annotation.","Assembly: mm10","Supplementary files format and content: tab-separated values, RPKM and read count","GPL13112","Daniel,,Ramsköld","daniel.ramskold@ki.se","Dept of Cell and Melecular Biology","Karolinska Institutet","Solnavägen 9","Solna","17165","Sweden","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","SRA: https://www.ncbi.nlm.nih.gov/sra?term=ERX11083111","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMEA114023748","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7660nnn/GSM7660631/suppl/GSM7660631_G10_m1Nmicrog.tsv.gz","Microglia","N10","male","1 day","Hippocampus","None"
"G30_m1Nµg","GSM7660632","Public on Jul 26 2023","Jul 25 2023","Jul 26 2023","SRA","1","Hippocampus","Mus musculus","tissue: Hippocampus","cell type: Microglia","pup id: N30","Sex: male","time after_hypoxia_(or_age-matching,_for_control): 1 day","treatment: None","total RNA","RNeasy Micro Kit, Qiagen","Smart-seq2, Picelli et al. Nature 2014","10090","Hippocampal microglia age P10","Reads were aligned using STAR 2.4.2a with default settings against Mus musculus reference genome (assembly mm10, without unplaced contigs).","Non-uniquely aligned reads were discarded from the alignment.","Reads per kilobase of gene per million mapped reads (RPKM) and read counts were generated using the python script rpkmforgenes (available at https://github.com/danielramskold/S3_species-specific_sequencing/) with settings -readcount -fulltranscript -mRNAnorm -rmnameoverlap -bothendceil and RefSeq gene annotation.","Assembly: mm10","Supplementary files format and content: tab-separated values, RPKM and read count","GPL13112","Daniel,,Ramsköld","daniel.ramskold@ki.se","Dept of Cell and Melecular Biology","Karolinska Institutet","Solnavägen 9","Solna","17165","Sweden","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","SRA: https://www.ncbi.nlm.nih.gov/sra?term=ERX11083112","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMEA114023749","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7660nnn/GSM7660632/suppl/GSM7660632_G30_m1Nmicrog.tsv.gz","Microglia","N30","male","1 day","Hippocampus","None"
"G60_m1Nµg","GSM7660633","Public on Jul 26 2023","Jul 25 2023","Jul 26 2023","SRA","1","Hippocampus","Mus musculus","tissue: Hippocampus","cell type: Microglia","pup id: N60","Sex: male","time after_hypoxia_(or_age-matching,_for_control): 1 day","treatment: None","total RNA","RNeasy Micro Kit, Qiagen","Smart-seq2, Picelli et al. Nature 2014","10090","Hippocampal microglia age P10","Reads were aligned using STAR 2.4.2a with default settings against Mus musculus reference genome (assembly mm10, without unplaced contigs).","Non-uniquely aligned reads were discarded from the alignment.","Reads per kilobase of gene per million mapped reads (RPKM) and read counts were generated using the python script rpkmforgenes (available at https://github.com/danielramskold/S3_species-specific_sequencing/) with settings -readcount -fulltranscript -mRNAnorm -rmnameoverlap -bothendceil and RefSeq gene annotation.","Assembly: mm10","Supplementary files format and content: tab-separated values, RPKM and read count","GPL13112","Daniel,,Ramsköld","daniel.ramskold@ki.se","Dept of Cell and Melecular Biology","Karolinska Institutet","Solnavägen 9","Solna","17165","Sweden","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","SRA: https://www.ncbi.nlm.nih.gov/sra?term=ERX11083113","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMEA114023750","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7660nnn/GSM7660633/suppl/GSM7660633_G60_m1Nmicrog.tsv.gz","Microglia","N60","male","1 day","Hippocampus","None"
"G10_f1HIµg","GSM7660634","Public on Jul 26 2023","Jul 25 2023","Jul 26 2023","SRA","1","Hippocampus","Mus musculus","tissue: Hippocampus","cell type: Microglia","pup id: 10","Sex: female","time after_hypoxia_(or_age-matching,_for_control): 1 day","treatment: Hypoxia","total RNA","RNeasy Micro Kit, Qiagen","Smart-seq2, Picelli et al. Nature 2014","10090","Hippocampal microglia age P10, 1 day after hypoxia","Reads were aligned using STAR 2.4.2a with default settings against Mus musculus reference genome (assembly mm10, without unplaced contigs).","Non-uniquely aligned reads were discarded from the alignment.","Reads per kilobase of gene per million mapped reads (RPKM) and read counts were generated using the python script rpkmforgenes (available at https://github.com/danielramskold/S3_species-specific_sequencing/) with settings -readcount -fulltranscript -mRNAnorm -rmnameoverlap -bothendceil and RefSeq gene annotation.","Assembly: mm10","Supplementary files format and content: tab-separated values, RPKM and read count","GPL13112","Daniel,,Ramsköld","daniel.ramskold@ki.se","Dept of Cell and Melecular Biology","Karolinska Institutet","Solnavägen 9","Solna","17165","Sweden","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","SRA: https://www.ncbi.nlm.nih.gov/sra?term=ERX11083114","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMEA114023751","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7660nnn/GSM7660634/suppl/GSM7660634_G10_f1HImicrog.tsv.gz","Microglia","10","female","1 day","Hippocampus","Hypoxia"
"G23_f1HIµg","GSM7660635","Public on Jul 26 2023","Jul 25 2023","Jul 26 2023","SRA","1","Hippocampus","Mus musculus","tissue: Hippocampus","cell type: Microglia","pup id: 30","Sex: female","time after_hypoxia_(or_age-matching,_for_control): 1 day","treatment: Hypoxia","total RNA","RNeasy Micro Kit, Qiagen","Smart-seq2, Picelli et al. Nature 2014","10090","Hippocampal microglia age P10, 1 day after hypoxia","Reads were aligned using STAR 2.4.2a with default settings against Mus musculus reference genome (assembly mm10, without unplaced contigs).","Non-uniquely aligned reads were discarded from the alignment.","Reads per kilobase of gene per million mapped reads (RPKM) and read counts were generated using the python script rpkmforgenes (available at https://github.com/danielramskold/S3_species-specific_sequencing/) with settings -readcount -fulltranscript -mRNAnorm -rmnameoverlap -bothendceil and RefSeq gene annotation.","Assembly: mm10","Supplementary files format and content: tab-separated values, RPKM and read count","GPL13112","Daniel,,Ramsköld","daniel.ramskold@ki.se","Dept of Cell and Melecular Biology","Karolinska Institutet","Solnavägen 9","Solna","17165","Sweden","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","SRA: https://www.ncbi.nlm.nih.gov/sra?term=ERX11083115","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMEA114023752","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7660nnn/GSM7660635/suppl/GSM7660635_G23_f1HImicrog.tsv.gz","Microglia","30","female","1 day","Hippocampus","Hypoxia"
"G24_f1HIµg","GSM7660636","Public on Jul 26 2023","Jul 25 2023","Jul 26 2023","SRA","1","Hippocampus","Mus musculus","tissue: Hippocampus","cell type: Microglia","pup id: 50","Sex: female","time after_hypoxia_(or_age-matching,_for_control): 1 day","treatment: Hypoxia","total RNA","RNeasy Micro Kit, Qiagen","Smart-seq2, Picelli et al. Nature 2014","10090","Hippocampal microglia age P10, 1 day after hypoxia","Reads were aligned using STAR 2.4.2a with default settings against Mus musculus reference genome (assembly mm10, without unplaced contigs).","Non-uniquely aligned reads were discarded from the alignment.","Reads per kilobase of gene per million mapped reads (RPKM) and read counts were generated using the python script rpkmforgenes (available at https://github.com/danielramskold/S3_species-specific_sequencing/) with settings -readcount -fulltranscript -mRNAnorm -rmnameoverlap -bothendceil and RefSeq gene annotation.","Assembly: mm10","Supplementary files format and content: tab-separated values, RPKM and read count","GPL13112","Daniel,,Ramsköld","daniel.ramskold@ki.se","Dept of Cell and Melecular Biology","Karolinska Institutet","Solnavägen 9","Solna","17165","Sweden","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","SRA: https://www.ncbi.nlm.nih.gov/sra?term=ERX11083116","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMEA114023753","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7660nnn/GSM7660636/suppl/GSM7660636_G24_f1HImicrog.tsv.gz","Microglia","50","female","1 day","Hippocampus","Hypoxia"
"G4_m1HIµg","GSM7660637","Public on Jul 26 2023","Jul 25 2023","Jul 26 2023","SRA","1","Hippocampus","Mus musculus","tissue: Hippocampus","cell type: Microglia","pup id: 1","Sex: male","time after_hypoxia_(or_age-matching,_for_control): 1 day","treatment: Hypoxia","total RNA","RNeasy Micro Kit, Qiagen","Smart-seq2, Picelli et al. Nature 2014","10090","Hippocampal microglia age P10, 1 day after hypoxia","Reads were aligned using STAR 2.4.2a with default settings against Mus musculus reference genome (assembly mm10, without unplaced contigs).","Non-uniquely aligned reads were discarded from the alignment.","Reads per kilobase of gene per million mapped reads (RPKM) and read counts were generated using the python script rpkmforgenes (available at https://github.com/danielramskold/S3_species-specific_sequencing/) with settings -readcount -fulltranscript -mRNAnorm -rmnameoverlap -bothendceil and RefSeq gene annotation.","Assembly: mm10","Supplementary files format and content: tab-separated values, RPKM and read count","GPL13112","Daniel,,Ramsköld","daniel.ramskold@ki.se","Dept of Cell and Melecular Biology","Karolinska Institutet","Solnavägen 9","Solna","17165","Sweden","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","SRA: https://www.ncbi.nlm.nih.gov/sra?term=ERX11083117","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMEA114023754","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7660nnn/GSM7660637/suppl/GSM7660637_G4_m1HImicrog.tsv.gz","Microglia","1","male","1 day","Hippocampus","Hypoxia"
