"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048511","rhythmic process","21/306","358/25730",0.058659217877095,4.93235841822763,8.21991797584991,2.41400684889804e-09,4.0041760027044e-06,3.01884021383048e-06,"Cort/Notch1/Schip1/Bhlhe40/Ntrk3/Klf9/Noct/Car2/Jun/Cry2/Tef/Jund/Cckbr/Ep300/Nampt/Inhba/Fas/Enpp2/Per2/Bdnf/Src",21
"GO:0048545","response to steroid hormone","21/306","362/25730",0.0580110497237569,4.87785722023616,8.15179429844099,2.94071404527417e-09,4.0041760027044e-06,3.01884021383048e-06,"Junb/Bcl2/Abhd2/Foxp1/Ntrk3/Klf9/Car2/Jun/Adam9/Cry2/Jund/Spp1/Fos/Ep300/Inhba/Fas/Rnf6/Cnot3/Ddit4/Bdnf/Src",21
"GO:0070482","response to oxygen levels","23/306","439/25730",0.0523917995444191,4.40536275254217,7.89519512093639,3.58427287562284e-09,4.0041760027044e-06,3.01884021383048e-06,"Il18/Hk2/Notch1/Bcl2/Lmna/Slc2a1/Kcna5/Ubqln1/Vldlr/Cldn3/Jun/Ndufs4/Jund/Map1lc3a/Lcn2/Fos/Ep300/Tfrc/Inhba/Ang/Fas/Zfas1/Ddit4",23
"GO:0001666","response to hypoxia","20/306","337/25730",0.0593471810089021,4.99020577568317,8.08916071067555,4.80157325783186e-09,4.0041760027044e-06,3.01884021383048e-06,"Il18/Hk2/Notch1/Bcl2/Lmna/Slc2a1/Kcna5/Ubqln1/Vldlr/Cldn3/Jun/Jund/Lcn2/Fos/Ep300/Tfrc/Inhba/Ang/Zfas1/Ddit4",20
"GO:0036293","response to decreased oxygen levels","21/306","374/25730",0.0561497326203209,4.7213484324211,7.95327485842113,5.23148158179306e-09,4.0041760027044e-06,3.01884021383048e-06,"Il18/Hk2/Notch1/Bcl2/Lmna/Slc2a1/Kcna5/Ubqln1/Vldlr/Cldn3/Jun/Jund/Map1lc3a/Lcn2/Fos/Ep300/Tfrc/Inhba/Ang/Zfas1/Ddit4",21
"GO:0050767","regulation of neurogenesis","23/306","483/25730",0.0476190476190476,4.00404606286959,7.31181997127729,2.12868353153187e-08,1.27650114646224e-05,9.62383519440263e-06,"B2m/Notch1/Bhlhe40/Hes5/Ntrk3/Atxn1/Wnt2/Tnfrsf12a/Vim/Idh2/Ptpra/Negr1/Ep300/Epha7/Mest/Ccr5/Fas/Islr2/Enpp2/Rnf6/Per2/Sema4f/Bdnf",23
"GO:0032496","response to lipopolysaccharide","22/306","446/25730",0.0493273542600897,4.1476889709546,7.35675982072099,2.33485968780655e-08,1.27650114646224e-05,9.62383519440263e-06,"B2m/Cd274/Il18/Notch1/Adm/Foxp1/Vim/Noct/Jun/Adam9/Ly86/Jund/Lcn2/Cd86/Lias/Fos/Cebpb/Ccr5/Ldoc1/Irak2/Nfkbia/Cxcl10",22
"GO:0071453","cellular response to oxygen levels","15/306","211/25730",0.0710900473933649,5.97760431186693,7.9648939642642,3.97177298005895e-08,1.8999968993357e-05,1.43245128136074e-05,"Notch1/Bcl2/Lmna/Ubqln1/Vldlr/Jun/Ndufs4/Jund/Map1lc3a/Lcn2/Fos/Ep300/Inhba/Fas/Zfas1",15
"GO:0002237","response to molecule of bacterial origin","22/306","465/25730",0.0473118279569892,3.97821350762527,7.11005370244622,4.87784628391201e-08,2.07416863650348e-05,1.56376335253834e-05,"B2m/Cd274/Il18/Notch1/Adm/Foxp1/Vim/Noct/Jun/Adam9/Ly86/Jund/Lcn2/Cd86/Lias/Fos/Cebpb/Ccr5/Ldoc1/Irak2/Nfkbia/Cxcl10",22
"GO:1901888","regulation of cell junction assembly","18/306","325/25730",0.0553846153846154,4.65701357466063,7.27878480988696,8.17446916252496e-08,3.1283693484983e-05,2.35854947099799e-05,"Cript/Adgrl4/Mdga2/Ntrk3/Vldlr/Ptpra/Amigo3/Negr1/Setd5/Epha7/Slk/Flrt2/Lrfn3/Enpp2/Slitrk5/Bdnf/Samd4/Src",18
