"SYMBOL","ENTREZID"
"Atf3","11910"
"Fos","14281"
"Ccl2","20296"
"AI480624","102540"
"Ptgs2","19225"
"Maff","17133"
"Zfp36","22695"
"Kcne3","57442"
"Plaur","18793"
"Adamts1","11504"
"Klf4","16600"
"Egr2","13654"
"Nr1d1","217166"
"Csrnp1","215418"
"Neu4","241159"
"AU044157","100334"
"Cyp2r1","244209"
"Plscr2","18828"
"A130040M12Rik","319269"
"Socs3","12702"
"Dusp5","240672"
"Zc3h12b","547176"
"Apol7d","100042814"
"Slc16a6","104681"
"Fosb","14282"
"Edn1","13614"
"Ier2","15936"
"Chrdl1","83453"
"Dusp4","319520"
"Zfp455","218311"
"Ier3","15937"
"Slc15a3","65221"
"Zfp64","22722"
"AI574175","98397"
"Ankk1","244859"
"Znhit6","229937"
"Dusp16","70686"
"Odc1","18263"
"Sox7","20680"
"Gbp4","17472"
"5031425F14Rik","319684"
"Pmaip1","58801"
"Trim71","636931"
"Gem","14579"
"Cxcl10","15945"
"Tnfrsf25","85030"
"Cela2a","13706"
"Gadd45b","17873"
"Cdc20b","238896"
"Hps1","192236"
"Tmcc3","319880"
"Phf13","230936"
"Serpine1","18787"
"Nfkbib","18036"
"Klf9","16601"
"Grem1","23892"
"Jun","16476"
"Psme3","19192"
"Tmprss3","140765"
"Nr4a1","15370"
"Clec2d","93694"
"Gm5107","330070"
"Cxcl1","14825"
"Gna13","14674"
"Sema6d","214968"
"Junb","16477"
"Adm","11535"
"9530083O12Rik","319610"
"Nhlh1","18071"
"Jund","16478"
"Bhlhe40","20893"
"Kbtbd8","243574"
"Rasl11b","68939"
"Egr1","13653"
"Vegfa","22339"
"Il15ra","16169"
"Sphk1","20698"
"Rdh1","107605"
"Arhgef15","442801"
"Bbs10","71769"
"Otx1","18423"
"Ppp1r15a","17872"
"Rbm41","237073"
"Igsf9","93842"
"Ctdsp2","52468"
"Ralgps1","241308"
"Slc1a4","55963"
"Mrgpra4","235854"
"Col24a1","71355"
"Gm10382","639281"
"Gm3618","105242449"
"Tnfrsf9","21942"
"Epha5","13839"
"Pop1","67724"
"A530016L24Rik","319942"
"Zfp791","244556"
"Lrrtm3","216028"
"Phf12","268448"
"Lamb3","16780"
"Omd","27047"
"Mt1","17748"
"Vcl","22330"
"Atxn7","246103"
"Wdr89","72338"
"Capza1","12340"
"Gxylt2","232313"
"Gadd45g","23882"
"Srf","20807"
"Zfp758","224598"
"BC064078","408064"
"Pax3","18505"
"Dclre1c","227525"
"Ifitm7","74482"
"Ung","22256"
"Bbs12","241950"
"Btn1a1","12231"
"Shh","20423"
"Ppp1r16b","228852"
"Tnfrsf12a","27279"
"2410024N13Rik","70000"
"Abt1","30946"
"Nfil3","18030"
"Gpr34","23890"
"Ephb3","13845"
"C130046B21Rik","442817"
"Mcam","84004"
"Eya1","14048"
"Sva","20939"
"Arl6ip6","65103"
"Rell2","225392"
"Dnajc19","67713"
"Hspb1","15507"
"Hspa1a","193740"
"Kcna4","16492"
"Nr4a3","18124"
"Synpo2l","68760"
"Zcchc9","69085"
"Esm1","71690"
"Sp110","109032"
"Ola1","67059"
"Fnbp1","14269"
"Bcas3","192197"
"Ccl4","20303"
"Sin3b","20467"
"Cd209f","69142"
"Cfc1","12627"
"Med13","327987"
"Nr0b1","11614"
"Tiparp","99929"
"Serpinb8","20725"
"Nmi","64685"
"Rgs16","19734"
"Atxn7l1","380753"
"Madd","228355"
"Pot1a","101185"
"Arc","11838"
"Nudt7","67528"
"Col25a1","77018"
"Arhgap26","71302"
"Bcl2l11","12125"
"Lsm14a","67070"
"Gm9115","668343"
"Timm9","30056"
"2310002F09Rik","100504720"
"4930590A17Rik","105246151"
"Hemgn","93966"
"Efcab9","69306"
"Hk2","15277"
"Prss8","76560"
"Kcns3","238076"
"Ptch2","19207"
"Golga7b","71146"
"Slc2a1","20525"
"4933425M03Rik","71190"
"Stfa2l1","268885"
"Ube4b","63958"
"6330412A17Rik","74005"
"S100a8","20201"
"Med16","216154"
"Hecw1","94253"
"Phox2a","11859"
"Pdxk","216134"
"Dscc1","72107"
"1700057D03Rik","73441"
"Slc16a3","80879"
"Scn8a","20273"
"Cyp2u1","71519"
"Ccl3","20302"
"Atp8a1","11980"
"F10","14058"
"Rasl12","70784"
"Ctla2a","13024"
"Sgsh","27029"
"Mxd1","17119"
"Calb1","12307"
"Pfkfb3","170768"
"Zfp820","75424"
"Lrrc17","74511"
"Cd14","12475"
"Triobp","110253"
