"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045765","regulation of angiogenesis","15/179","279/14915",0.0537634408602151,4.47978614765423,6.46661841412757,1.37675227069117e-06,0.00206699806486642,0.00176001398204453,"Ccl2/Adamts1/Klf4/Cxcl10/Serpine1/Grem1/Adm/Vegfa/Sphk1/Ppp1r15a/Shh/Ppp1r16b/Tnfrsf12a/Hspb1/Hk2",15
"GO:1901342","regulation of vasculature development","15/179","286/14915",0.0524475524475524,4.37014103215221,6.34245727672282,1.87401598607242e-06,0.00206699806486642,0.00176001398204453,"Ccl2/Adamts1/Klf4/Cxcl10/Serpine1/Grem1/Adm/Vegfa/Sphk1/Ppp1r15a/Shh/Ppp1r16b/Tnfrsf12a/Hspb1/Hk2",15
"GO:0032496","response to lipopolysaccharide","16/179","326/14915",0.049079754601227,4.08952256914693,6.21614574460608,2.00161207056142e-06,0.00206699806486642,0.00176001398204453,"Fos/Ccl2/Ptgs2/Zfp36/Nr1d1/Plscr2/Edn1/Cxcl10/Serpine1/Nfkbib/Jun/Nr4a1/Adm/Jund/S100a8/Cd14",16
"GO:0002237","response to molecule of bacterial origin","16/179","340/14915",0.0470588235294118,3.92113046335853,6.00509537056529,3.44384343485698e-06,0.00266725674029673,0.00227112411782937,"Fos/Ccl2/Ptgs2/Zfp36/Nr1d1/Plscr2/Edn1/Cxcl10/Serpine1/Nfkbib/Jun/Nr4a1/Adm/Jund/S100a8/Cd14",16
"GO:0035914","skeletal muscle cell differentiation","8/179","82/14915",0.0975609756097561,8.12917291184085,7.13452977132994,6.15503494841168e-06,0.00381365965403588,0.00324726685909888,"Atf3/Fos/Maff/Egr2/Nr4a1/Egr1/Pax3/Shh",8
"GO:2001233","regulation of apoptotic signaling pathway","17/179","410/14915",0.0414634146341463,3.45489848753236,5.55520869039436,9.11180693822663e-06,0.00470472964910435,0.00400599792757824,"Atf3/Ptgs2/Plaur/Klf4/Ier3/Pmaip1/Serpine1/Jun/Psme3/Vegfa/Tnfrsf12a/Eya1/Hspb1/Hspa1a/Madd/Bcl2l11/S100a8",17
"GO:0002040","sprouting angiogenesis","9/179","130/14915",0.0692307692307692,5.76858616244091,6.01844677823084,2.67686868127185e-05,0.011847055963686,0.010087568293635,"Ptgs2/Klf4/Grem1/Nr4a1/Vegfa/Srf/Shh/Ppp1r16b/Esm1",9
"GO:2001236","regulation of extrinsic apoptotic signaling pathway","10/179","170/14915",0.0588235294117647,4.90141307919816,5.63842471776044,3.90822718772167e-05,0.013462906560615,0.0114634378175737,"Atf3/Klf4/Pmaip1/Serpine1/Psme3/Vegfa/Tnfrsf12a/Eya1/Hspa1a/Madd",10
"GO:0060326","cell chemotaxis","13/179","284/14915",0.0457746478873239,3.81412778346054,5.27715386771414,3.91110907183779e-05,0.013462906560615,0.0114634378175737,"Ccl2/Edn1/Cxcl10/Serpine1/Grem1/Nr4a1/Cxcl1/Vegfa/Shh/Hspb1/Ccl4/S100a8/Ccl3",13
"GO:0071621","granulocyte chemotaxis","8/179","110/14915",0.0727272727272727,6.05992889791773,5.87043561664621,5.32100272337854e-05,0.0164844664370267,0.0140362450787228,"Ccl2/Edn1/Cxcl10/Cxcl1/Vegfa/Ccl4/S100a8/Ccl3",8
