"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","9/96","84/6992",0.107142857142857,7.80357142857143,7.40128398761144,1.87052632878534e-06,0.000377846318414639,0.000330787813932566,"Fos/Ccl2/Ptgs2/Fosb/Cxcl10/Jun/Cxcl1/Jund/S100a8",9
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","9/96","108/6992",0.0833333333333333,6.06944444444444,6.26409673941027,1.51603534869871e-05,0.0015311957021857,0.00134049441358623,"Fos/Ccl2/Ptgs2/Socs3/Edn1/Cxcl10/Jun/Cxcl1/Junb",9
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","14/96","283/6992",0.049469964664311,3.60306242638398,5.27418727319021,2.76266849456217e-05,0.00186019678633853,0.00162852037574191,"Fos/Dusp5/Dusp4/Dusp16/Gadd45b/Jun/Nr4a1/Jund/Vegfa/Gadd45g/Srf/Hspb1/Hspa1a/Cd14",14
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis","6/96","74/6992",0.0810810810810811,5.90540540540541,5.00503510001376,0.000499964487170092,0.0252482066020897,0.0221036931169936,"Fos/Ccl2/Jun/Cxcl1/Vegfa/Ccl3",6
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis","8/96","152/6992",0.0526315789473684,3.83333333333333,4.1667558639589,0.0010913973156221,0.0332678426919582,0.029124531382225,"Ptgs2/Dusp5/Dusp4/Dusp16/Odc1/Sphk1/Slc2a1/Atp8a1",8
"Human Diseases","Cancer: specific types","mmu05210","Colorectal cancer","6/96","86/6992",0.0697674418604651,5.08139534883721,4.49315338956881,0.00111201867074826,0.0332678426919582,0.029124531382225,"Fos/Pmaip1/Gadd45b/Jun/Gadd45g/Bcl2l11",6
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","10/96","230/6992",0.0434782608695652,3.16666666666667,3.94207677178407,0.00115284603387974,0.0332678426919582,0.029124531382225,"Ccl2/Cxcl10/Tnfrsf25/Cxcl1/Il15ra/Tnfrsf9/Tnfrsf12a/Rell2/Ccl4/Ccl3",10
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway","6/96","90/6992",0.0666666666666667,4.85555555555556,4.34337556508144,0.00140932826179998,0.0355855386104494,0.0311535721029468,"Ptgs2/Gadd45b/Cxcl1/Gadd45g/Ccl4/Cd14",6
"Organismal Systems","Immune system","mmu04620","Toll-like receptor signaling pathway","6/96","93/6992",0.0645161290322581,4.6989247311828,4.23672755142996,0.00166950387040857,0.0374710868691701,0.0328042865764491,"Fos/Cxcl10/Jun/Ccl4/Ccl3/Cd14",6
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications","6/96","97/6992",0.0618556701030928,4.50515463917526,4.10140404900017,0.00207142645897252,0.041842814471245,0.036631541590251,"Ccl2/Edn1/Serpine1/Jun/Egr1/Vegfa",6
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","5/96","69/6992",0.072463768115942,5.27777777777778,4.21310459213417,0.00246836241971181,0.0453281098892533,0.0396827642594818,"Ccl2/Cxcl10/Cxcl1/Ccl4/Ccl3",5
