"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035914","skeletal muscle cell differentiation","4/7","84/15583",0.0476190476190476,106.006802721088,20.4568089773601,2.71596698974534e-08,9.12564908554434e-06,4.40272543600823e-06,"Fos/Maff/Nr4a1/Atf3",4
"GO:0007519","skeletal muscle tissue development","4/7","185/15583",0.0216216216216216,48.1328185328185,13.6712985865768,6.54607218872889e-07,9.81707883858724e-05,4.73630996598507e-05,"Fos/Maff/Nr4a1/Atf3",4
"GO:0060538","skeletal muscle organ development","4/7","199/15583",0.0201005025125628,44.7465900933238,13.1664519987946,8.76524896302432e-07,9.81707883858724e-05,4.73630996598507e-05,"Fos/Maff/Nr4a1/Atf3",4
"GO:0007517","muscle organ development","4/7","339/15583",0.0117994100294985,26.2671723556679,9.97102195766421,7.31347779082176e-06,0.000614332134429027,0.000296388310470145,"Fos/Maff/Nr4a1/Atf3",4
"GO:0014706","striated muscle tissue development","4/7","447/15583",0.00894854586129754,19.9207414509428,8.60436854558407,2.18304732799892e-05,0.0014649802792074,0.000706788731196552,"Fos/Maff/Nr4a1/Atf3",4
"GO:0060537","muscle tissue development","4/7","468/15583",0.00854700854700855,19.026862026862,8.39405163320154,2.61603621287035e-05,0.0014649802792074,0.000706788731196552,"Fos/Maff/Nr4a1/Atf3",4
"GO:0051412","response to corticosterone","2/7","23/15583",0.0869565217391304,193.577639751553,19.5928508342842,4.35656082019719e-05,0.00209114919369465,0.00100888776888777,"Fos/Fosb",2
"GO:0001975","response to amphetamine","2/7","34/15583",0.0588235294117647,130.949579831933,16.080359622802,9.63747849934958e-05,0.00381523514488041,0.00184068362253002,"Fosb/Nr4a1",2
"GO:0032570","response to progesterone","2/7","35/15583",0.0571428571428571,127.208163265306,15.8458979017433,0.000102193798523582,0.00381523514488041,0.00184068362253002,"Fos/Fosb",2
"GO:0051385","response to mineralocorticoid","2/7","39/15583",0.0512820512820513,114.161172161172,14.9996455947113,0.000127160968307555,0.00427260853513386,0.0020613462230909,"Fos/Fosb",2
"GO:0014075","response to amine","2/7","53/15583",0.0377358490566038,84.0053908355795,12.8319056151009,0.000235766845922009,0.0072016054754359,0.00347445878200855,"Fosb/Nr4a1",2
"GO:0032496","response to lipopolysaccharide","3/7","334/15583",0.00898203592814371,19.9952951240376,7.43928586484054,0.000320381800590251,0.00897069041652702,0.00432796467464023,"Fos/Nr4a1/Adm",3
"GO:0002237","response to molecule of bacterial origin","3/7","348/15583",0.00862068965517241,19.1908866995074,7.27536710900491,0.000361524452131774,0.00934401660894431,0.00450807818852576,"Fos/Nr4a1/Adm",3
"GO:0071277","cellular response to calcium ion","2/7","80/15583",0.025,55.6535714285714,10.3893485758531,0.000537536931587664,0.0129008863581039,0.00622411183943611,"Fos/Fosb",2
"GO:0051591","response to cAMP","2/7","97/15583",0.0206185567010309,45.899852724595,9.40359262956146,0.00078913562030238,0.0176766378947733,0.00852820249309238,"Fos/Fosb",2
"GO:0046683","response to organophosphorus","2/7","138/15583",0.0144927536231884,32.2629399585921,7.82002342830564,0.00158814174014921,0.0333509765431335,0.0160903834199328,"Fos/Fosb",2
"GO:0051592","response to calcium ion","2/7","144/15583",0.0138888888888889,30.9186507936508,7.64621169723014,0.00172754341775499,0.0335530401251129,0.0161878702358001,"Fos/Fosb",2
"GO:0051384","response to glucocorticoid","2/7","148/15583",0.0135135135135135,30.0830115830116,7.53615058504128,0.00182362978123122,0.0335530401251129,0.0161878702358001,"Fos/Fosb",2
"GO:0045471","response to ethanol","2/7","151/15583",0.0132450331125828,29.4853358561968,7.45643714821415,0.00189734453088436,0.0335530401251129,0.0161878702358001,"Fos/Fosb",2
"GO:0014074","response to purine-containing compound","2/7","157/15583",0.0127388535031847,28.3585077343039,7.3037890049027,0.00204900456846109,0.0344232767501463,0.0166077212391057,"Fos/Fosb",2
"GO:0031960","response to corticosteroid","2/7","163/15583",0.0122699386503067,27.3146362839614,7.1594825970375,0.00220628649758465,0.0353005839613544,0.0170309834901271,"Fos/Fosb",2
"GO:0009267","cellular response to starvation","2/7","178/15583",0.0112359550561798,25.0128410914928,6.8305448524432,0.00262393927637814,0.0396135008611579,0.0191117767312604,"Fos/Atf3",2
"GO:0071248","cellular response to metal ion","2/7","181/15583",0.0110497237569061,24.5982636148382,6.76960653083249,0.00271163845180545,0.0396135008611579,0.0191117767312604,"Fos/Fosb",2
"GO:0007204","positive regulation of cytosolic calcium ion concentration","2/7","185/15583",0.0108108108108108,24.0664092664093,6.69061978930214,0.00283072154687997,0.0396301016563196,0.0191197858868209,"Cxcl1/Adm",2
