"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2778279",6.09658745333333,4.48376430571429,28.0479284837944,8.5126911785506e-15,2.18750625215215e-10,19.6849424993377
"ILMN_2710905",1.66390374166667,1.95080207142857,24.6428276929507,6.17550660357924e-14,5.3035226618581e-10,18.6912251406593
"ILMN_2424299",2.48102723833333,2.41772983714286,24.6386258235018,6.19160524013476e-14,5.3035226618581e-10,18.6898323733603
"ILMN_1257574",1.68697169833333,1.96398390428571,20.0126901508924,1.45490716301644e-12,9.34668734200838e-09,16.8338235972914
"ILMN_2750515",16.8194795266667,10.6111311314286,16.8244414534185,1.95794211169251e-11,1.00626476888325e-07,15.064239435582
"ILMN_2995688",0.920738586666667,1.52613634857143,14.6956682378545,1.44156762195035e-10,5.86282492002119e-07,13.5703925888424
"ILMN_1226195",1.13903831333333,1.65087902285714,14.5931649313182,1.59706481068406e-10,5.86282492002119e-07,13.4908313124224
"ILMN_2745370",0.896307425,1.51217577142857,13.811710668423,3.56195929961154e-10,1.14414585152647e-06,12.8585624266436
"ILMN_2729162",0.797377036666667,1.45564403428571,12.6564033056701,1.25580070777128e-09,3.58559008751096e-06,11.8338486467775
"ILMN_1234487",1.25757222333333,1.71861267571429,12.4685344462456,1.55540365242038e-09,3.99692076562464e-06,11.6562333336733
"ILMN_2988931",1.18534531666667,1.67734021428571,12.1271364518038,2.31051288515648e-09,5.15614257697603e-06,11.3250928158346
"ILMN_2728729",1.026520185,1.58658285285714,12.0919957924438,2.40781845833025e-09,5.15614257697603e-06,11.29038148168
"ILMN_2629112",1.4946025,1.85405857142857,11.9961293082292,2.6959740742823e-09,5.32911121437171e-06,11.1950809278665
"ILMN_1255416",0.931713991666667,1.53240792857143,11.6971409638651,3.85392382109757e-09,7.07387717362459e-06,10.8920746370266
"ILMN_2620406",0.682980641666667,1.39027463571429,11.0781478429476,8.27188308469119e-09,1.41708386418206e-05,10.235843157714
"ILMN_1255510",0.743441291666667,1.42482362857143,10.9094877092341,1.02453524778015e-08,1.64546764138791e-05,10.049995101406
"ILMN_2690603",0.878540358333334,1.50202312857143,10.861514038994,1.0893396098716e-08,1.64663293852179e-05,9.99656433738203
"ILMN_2419138",0.686947658333333,1.39254148571429,10.6404461182325,1.44911680591673e-08,2.06877525342457e-05,9.74704494337919
"ILMN_2764309",0.72452577,1.41401470571429,10.5295565613631,1.67503792155224e-08,2.2654447089541e-05,9.61980983547774
"ILMN_2634083",0.620299145,1.35445673428571,10.3727525059852,2.06002649212046e-08,2.64682503840097e-05,9.43748453410323
"ILMN_2701664",0.667865046666667,1.38163732285714,10.0871188500817,3.02154484504792e-08,3.69736370872364e-05,9.09796532461506
"ILMN_2657175",0.719345358333333,1.41105440714286,9.78400895731143,4.57797420387915e-08,5.34728195986739e-05,8.72694545496464
