"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2712075",-5.83511578,3.917557835,-21.6743366047429,1.52509767850124e-09,3.91904350444463e-05,8.68405216887724
"ILMN_2629112",-2.0401535725,2.02007671375,-18.9632796828638,5.4258151911794e-09,6.97135864838685e-05,8.20957883425261
"ILMN_1224540",-0.6913549,1.34567745,-11.9741660928933,3.95277694458255e-07,0.00338581697149793,5.96335405169522
"ILMN_3094013",-0.743558355,1.3717791975,-10.9487895063699,8.91908797976212e-07,0.00572984509539868,5.4232310893155
"ILMN_2642517",-0.92187539,1.460937655,-10.4517971976809,1.35539327636363e-06,0.00591056907586313,5.13208966722358
"ILMN_1241695",-1.16820665,1.584103325,-10.4308192569763,1.38006049169859e-06,0.00591056907586313,5.11934299311651
"ILMN_1258159",-1.22323929,1.61161963,-10.1146253741203,1.81806114681735e-06,0.0066741024699665,4.92251922999028
"ILMN_2821676",-0.5263798825,1.26318993375,-9.73744200094555,2.55035552069404e-06,0.00741904045323734,4.67575220790376
"ILMN_2803674",-1.09918473,1.549592435,-9.70156670156388,2.63528704325587e-06,0.00741904045323734,4.65157541128866
"ILMN_2487517",-0.4625551425,1.23127762875,-9.52087594900944,3.11282662961953e-06,0.00741904045323734,4.52788129924633
"ILMN_2599233",-0.493642825,1.2468215375,-9.49932218692175,3.17583550553025e-06,0.00741904045323734,4.51290926398756
"ILMN_2894211",-1.3452166,1.672608325,-9.24383973162126,4.03898788438874e-06,0.00864915597209478,4.3318284070758
"ILMN_2827248",-0.592863925,1.2964319375,-8.70598333818984,6.82305475272725e-06,0.0134870798446794,3.92784755179899
"ILMN_2769918",-1.076860625,1.5384302875,-8.40326682240288,9.27065759842763e-06,0.0162020142589775,3.68609604279184
"ILMN_2613306",-0.7708041,1.385402,-8.38384944561645,9.45753254794964e-06,0.0162020142589775,3.67021945648157
"ILMN_2995688",-1.4385380575,1.71926902125,-8.1733237865314,1.17697093658013e-05,0.0189028888483123,3.4951422243891
"ILMN_2966104",-0.72780056,1.363900295,-8.02332582073838,1.37911688141294e-05,0.0208421386344451,3.36705067509937
"ILMN_2710905",-2.2146140825,2.10730700875,-7.96995121463779,1.4599311025412e-05,0.0208421386344451,3.3207843891968
"ILMN_2728729",-1.2880744925,1.64403727875,-7.91028242274784,1.55642957742186e-05,0.0210503004478998,3.26862973586321
"ILMN_1260585",-0.498071575,1.2490357875,-7.64759047109936,2.07213535967057e-05,0.0247187370067117,3.03348719928106
"ILMN_1229994",-0.434610165,1.2173051425,-7.63400625165011,2.1034464769286e-05,0.0247187370067117,3.02107835966415
"ILMN_2692615",-0.58417838,1.29208921,-7.61484422556177,2.1484926555752e-05,0.0247187370067117,3.00353205908529
"ILMN_2746738",-0.92240565,1.4612029,-7.58837925312108,2.21244095090621e-05,0.0247187370067117,2.9792170014739
"ILMN_2860479",-0.4506621975,1.22533110125,-7.53281792071936,2.35353631104843e-05,0.0251995094104215,2.92785981826067
"ILMN_3159435",0.339859315,0.8300702425,7.47748515616644,2.50382991001937e-05,0.0257363668791071,2.87629452496138
"ILMN_1213736",-0.782119635,1.3910598575,-7.42458378373007,2.65732081726215e-05,0.0262635280927636,2.8266006710428
"ILMN_2592925",-0.5370545375,1.26852733125,-7.19422086521149,3.45577309308909e-05,0.0328900004344853,2.60563799504886
"ILMN_2596522",-0.970047125,1.4850235875,-7.14942685653034,3.63945179303163e-05,0.0334010688305478,2.5617959937783
"ILMN_2479290",-0.6251657825,1.31258288375,-7.07355442609757,3.97521405704536e-05,0.0352245088358257,2.48687502628167
"ILMN_2764588",-0.419748435,1.2098742075,-7.00259410368906,4.31983867951796e-05,0.0370022981825243,2.41604577836585
"ILMN_2695199",-0.39478689,1.19739343,-6.88775429001969,4.94821570628441e-05,0.0403331781447766,2.29984622706928
"ILMN_2590164",-0.393096925,1.1965485625,-6.87521508966385,5.02261626116999e-05,0.0403331781447766,2.28703988153269
"ILMN_3136744",-0.4828203875,1.24141020625,-6.78867369184174,5.57039896021171e-05,0.0433765279032001,2.19801181046501
"ILMN_2492264",-0.300173895,1.1500869525,-6.74076712069934,5.90122399392418e-05,0.0446011038152557,2.14824277399742
"ILMN_1227817",0.32723801,0.83638102,6.70483969908781,6.16328830431601e-05,0.0452508627302882,2.11068976986224
"ILMN_2619620",-0.6935855,1.346792625,-6.63984789498819,6.66996558955993e-05,0.0466521609329782,2.04225599918768
"ILMN_1260378",-0.8753484575,1.43767424625,-6.62168479727148,6.81950673848014e-05,0.0466521609329782,2.02301498919842
"ILMN_2937738",-0.4608738175,1.23043694125,-6.61222930030236,6.89879019127981e-05,0.0466521609329782,2.0129782139629
"ILMN_2589819",-0.340924425,1.1704621375,-6.58238146059285,7.15568160644932e-05,0.0470700255807168,1.9812048432833
"ILMN_2998934",-0.4527178675,1.22635889125,-6.56312204684761,7.32692930392136e-05,0.0470700255807168,1.96062974123786
