comparison,SYMBOL,ENTREZID,ENSEMBL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B,direction,significant
NEIL1KO_3h_ipsilateral_vs_contralateral,Ier2,15936,ENSMUSG00000053560,immediate early response 2,4.011348511054928,9.458025519718385,27.388528250119233,6.600943594918162e-8,0.001033483512718476,7.71168481307564,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Nr4a1,15370,ENSMUSG00000023034,"nuclear receptor subfamily 4, group A, member 1",3.7540004760581613,10.836600658107503,25.037284905776826,1.1707381220390174e-7,0.001033483512718476,7.420275074488434,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Zfp36,22695,ENSMUSG00000044786,zinc finger protein 36,4.399513690322847,8.479105165675158,24.36710898255522,1.39189698682623e-7,0.001033483512718476,7.326565851270707,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Atf3,11910,ENSMUSG00000026628,activating transcription factor 3,7.406729328412742,8.064331568311033,21.478097177777265,3.1088837993582577e-7,0.0011219217678258384,6.856385290790336,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Maff,17133,ENSMUSG00000042622,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)",4.376707563592438,7.524439670047345,21.071481346076858,3.5105364759556687e-7,0.0011219217678258384,6.780294667358519,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Gem,14579,ENSMUSG00000028214,GTP binding protein overexpressed in skeletal muscle,4.199185137578188,8.212724874561903,21.02792692353264,3.557005807231201e-7,0.0011219217678258384,6.771981272571733,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Ccn1,16007,ENSMUSG00000028195,cellular communication network factor 1,5.908976809415511,10.299129713864465,20.728500041279826,3.8963851969353815e-7,0.0011219217678258384,6.7139512208545655,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Jun,16476,ENSMUSG00000052684,jun proto-oncogene,3.0894826227968846,12.105552788353007,20.297374195626006,4.4528274272030853e-7,0.0011219217678258384,6.62762906964067,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Amotl2,56332,ENSMUSG00000032531,angiomotin-like 2,2.630951333656089,9.74942920583485,20.24039539212656,4.533017243740761e-7,0.0011219217678258384,6.615968867606145,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Socs3,12702,ENSMUSG00000053113,suppressor of cytokine signaling 3,4.207541604195168,8.417081562736954,18.913433324514838,6.969064984940965e-7,0.0014338580030112346,6.32663111952152,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Apln,30878,ENSMUSG00000037010,apelin,2.372731215288489,9.257967128489653,18.720538071392433,7.43669516544667e-7,0.0014338580030112346,6.2815578100190494,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Egr1,13653,ENSMUSG00000038418,early growth response 1,3.5594819951289054,11.603052063984354,18.608650028499547,7.724487558309682e-7,0.0014338580030112346,6.255040552968588,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Csf1,12977,ENSMUSG00000014599,colony stimulating factor 1 (macrophage),2.1971883682688755,9.245080862786317,17.59433823099889,1.1012528154558867e-6,0.0017738198820186396,6.0015091005337675,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Thbs1,21825,ENSMUSG00000040152,thrombospondin 1,3.440004979367078,10.119903237544582,17.32943952388136,1.2120533931330393e-6,0.0017738198820186396,5.931180678897289,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Cd14,12475,ENSMUSG00000051439,CD14 antigen,3.9154972786047555,6.666444718587954,17.201660403000464,1.270061476296334e-6,0.0017738198820186396,5.896612535140382,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Creb5,231991,ENSMUSG00000053007,cAMP responsive element binding protein 5,2.9701415560817157,7.644449404191617,17.1929640597842,1.2741242699123786e-6,0.0017738198820186396,5.894244436301059,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Egr2,13654,ENSMUSG00000037868,early growth response 2,2.750962677372214,7.881456973190113,16.751982760450037,1.5012291285193436e-6,0.001967051696339316,5.77151514708157,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Plek,56193,ENSMUSG00000020120,pleckstrin,2.4007376094126762,8.659614847184697,16.46335593247179,1.6751484097954175e-6,0.002072996157121829,5.6882930302325,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Nfkbiz,80859,ENSMUSG00000035356,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta",2.730627872344315,8.215834529821022,16.205144811664194,1.8506582547731885e-6,0.0020735499364725888,5.6118211336217465,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Junb,16477,ENSMUSG00000052837,jun B proto-oncogene,2.7286806505153542,10.354649387073694,16.092757400367503,1.9336045827105187e-6,0.0020735499364725888,5.5779244507024375,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Tnfaip6,21930,ENSMUSG00000053475,tumor necrosis factor alpha induced protein 6,3.5248742601462384,6.557552222433394,16.064847528314885,1.9548618929707908e-6,0.0020735499364725888,5.569448195294657,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Dusp16,70686,ENSMUSG00000030203,dual specificity phosphatase 16,2.2089666041383653,8.583526107668927,15.904118793514574,2.0826489903754497e-6,0.0021029828173297835,5.520176265524346,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Hmox1,15368,ENSMUSG00000005413,heme oxygenase 1,2.9889249797203243,8.498571589422298,15.662155831279001,2.2936132474422353e-6,0.0021029828173297835,5.444501907893829,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Ier3,15937,ENSMUSG00000003541,immediate early response 3,3.307773283054134,7.254965296429667,15.577375477171762,2.3732813157050023e-6,0.0021029828173297835,5.417551602444001,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Ppp1r15a,17872,ENSMUSG00000040435,"protein phosphatase 1, regulatory subunit 15A",2.1250766205630605,10.19780946366436,15.535029839677128,2.4142643449341314e-6,0.0021029828173297835,5.404004749714397,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Ccl3,20302,ENSMUSG00000000982,C-C motif chemokine ligand 3,5.913960261042176,4.956122193985996,15.49409354667946,2.454660078589197e-6,0.0021029828173297835,5.390854004702375,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,C3ar1,12267,ENSMUSG00000040552,complement component 3a receptor 1,3.3147467818500864,6.6115582897287455,15.3092963006153,2.6469837410922186e-6,0.0021837615864010802,5.330810489169436,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Hbegf,15200,ENSMUSG00000024486,heparin-binding EGF-like growth factor,1.7934708779095754,9.50315642313199,14.91586738428013,3.1172357601517694e-6,0.0024798723770493095,5.199186228893521,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Tnfrsf12a,27279,ENSMUSG00000023905,"tumor necrosis factor receptor superfamily, member 12a",2.6421821407672583,7.593582821555893,14.480843363933893,3.753180676231047e-6,0.002882831019415399,5.047372243841637,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Gadd45g,23882,ENSMUSG00000021453,growth arrest and DNA-damage-inducible 45 gamma,2.6250822689355093,9.861833809018966,14.075441129403965,4.483659464932466e-6,0.0031627655830141223,4.899641769082398,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Ccl4,20303,ENSMUSG00000018930,C-C motif chemokine ligand 4,6.608599674817791,4.874562495510132,14.060279923301476,4.514000570555787e-6,0.0031627655830141223,4.8939955103519734,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Plau,18792,ENSMUSG00000021822,"plasminogen activator, urokinase",3.2235246239303885,6.841928651504884,14.02919990361576,4.5769407165475925e-6,0.0031627655830141223,4.882392931982587,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Arc,11838,ENSMUSG00000022602,activity regulated cytoskeletal-associated protein,3.2377090432349434,9.937431588103536,13.976694342614568,4.685578641502404e-6,0.0031627655830141223,4.862706298937693,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Slc15a3,65221,ENSMUSG00000024737,"solute carrier family 15, member 3",3.3658344356415606,5.8848563260161315,13.635064622701197,5.469487615500529e-6,0.0035833187245668907,4.731937620661326,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Cebpd,12609,ENSMUSG00000071637,CCAAT/enhancer binding protein delta,2.6438272445951236,8.90769096658647,13.559874461617065,5.6616877604405884e-6,0.0036032598532518318,4.702520279386355,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Klf4,16600,ENSMUSG00000003032,Kruppel-like transcription factor 4 (gut),4.16972490288536,8.903629870044329,13.310818576637711,6.356137050932287e-6,0.003827287228215751,4.603391407829899,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Csrnp1,215418,ENSMUSG00000032515,cysteine-serine-rich nuclear protein 1,2.6060797885599323,8.739689211235355,13.310416580334936,6.357334565386433e-6,0.003827287228215751,4.603229278418071,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Sik1,17691,ENSMUSG00000024042,salt inducible kinase 1,2.114983033504666,9.566585463114873,13.142591600092418,6.880738277481581e-6,0.004025371468232876,4.534933367609086,Up,TRUE
NEIL1KO_3h_ipsilateral_vs_contralateral,Phlda1,21664,ENSMUSG00000020205,"pleckstrin homology like domain, family A, member 1",1.9881818135354967,8.25729215292084,13.050760246410073,7.188044241364081e-6,0.004025371468232876,4.497041297420915,Up,TRUE
