comparison,SYMBOL,ENTREZID,ENSEMBL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B,direction,significant
WT_6h_ipsilateral_vs_contralateral,Ttr,22139,ENSMUSG00000061808,transthyretin,-6.686877182796282,11.494905163996433,-50.75559618085603,1.1542829703188085e-11,2.571165316385146e-7,13.514160692027843,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Atf3,11910,ENSMUSG00000026628,activating transcription factor 3,6.992079280837092,8.171478640092142,29.2884203461711,1.3924113961781307e-9,1.550798192493393e-5,11.374627599842817,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Arc,11838,ENSMUSG00000022602,activity regulated cytoskeletal-associated protein,2.9927588711513238,9.560444256315975,23.519264436503434,6.643506797063774e-9,3.614713933791971e-5,10.460193657711649,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Ccl9,20308,ENSMUSG00000019122,C-C motif chemokine ligand 9,4.292239483588398,7.432339437865677,23.079003888859752,7.757843190025163e-9,3.614713933791971e-5,10.352900001425716,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Ccn1,16007,ENSMUSG00000028195,cellular communication network factor 1,4.544312545757293,8.874085700426669,22.87299545373619,8.34993040270595e-9,3.614713933791971e-5,10.301480499768754,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Ier2,15936,ENSMUSG00000053560,immediate early response 2,3.2753785889537754,8.960492576486363,22.448404238910346,9.736603188665242e-9,3.614713933791971e-5,10.19297906152579,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Socs3,12702,ENSMUSG00000053113,suppressor of cytokine signaling 3,3.5530849965663984,7.736230735602759,21.438340196775005,1.4196915880255893e-8,4.3669453910130475e-5,9.920482539396453,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Zfp36,22695,ENSMUSG00000044786,zinc finger protein 36,3.4064632093154987,7.910037911285274,21.179018696065597,1.5683754490731484e-8,4.3669453910130475e-5,9.84707663003832,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Npas4,225872,ENSMUSG00000045903,neuronal PAS domain protein 4,4.388194270599803,8.125919997639706,20.547522065247723,2.0089375360209495e-8,4.97212040165185e-5,9.662063458450369,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Spp1,20750,ENSMUSG00000029304,secreted phosphoprotein 1,3.141751287895385,8.032697666322637,19.727025783863994,2.802374712300811e-8,6.242289671650057e-5,9.40766917601438,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Hspa1a,193740,ENSMUSG00000091971,heat shock protein 1A,4.601522211234002,9.94371695446593,22.03170444212739,3.4668652590011e-8,7.020402149477228e-5,9.062681243662915,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Gadd45b,17873,ENSMUSG00000015312,growth arrest and DNA-damage-inducible 45 beta,2.981976258374333,8.894291619587888,18.338822508678447,5.0793825540970256e-8,8.165230732504326e-5,8.937626875399895,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Cd14,12475,ENSMUSG00000051439,CD14 antigen,3.9713327895043378,7.280728268809725,18.258471862783722,5.2641554472590544e-8,8.165230732504326e-5,8.908773473460538,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Neat1,66961,ENSMUSG00000092274,nuclear paraspeckle assembly transcript 1 (non-protein coding),2.662966118628308,9.548082645828785,18.22241098358615,5.34951279177053e-8,8.165230732504326e-5,8.89576258902985,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Hspa1b,15511,ENSMUSG00000090877,heat shock protein 1B,4.714279433311773,10.211914163128984,21.954883710423804,5.4984718737402864e-8,8.165230732504326e-5,8.64820012236323,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Grin2a,14811,ENSMUSG00000059003,"glutamate receptor, ionotropic, NMDA2A (epsilon 1)",-2.000816111198331,10.613105245843325,-17.201147132966682,8.547357671918292e-8,1.1899524508873747e-4,8.510779900109592,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Chac1,69065,ENSMUSG00000027313,"ChaC, cation transport regulator 1",2.7646187198307413,7.8160737672354745,16.656791687070456,1.1093242993061592e-7,1.3799639023579944e-4,8.291783812163672,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Nfil3,18030,ENSMUSG00000056749,"nuclear factor, interleukin 3, regulated",2.2732745052782883,8.853944630734048,16.64607566114046,1.1151223453397935e-7,1.3799639023579944e-4,8.287370912812834,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Cebpd,12609,ENSMUSG00000071637,CCAAT/enhancer binding protein delta,2.6004601612102247,8.861774247982794,16.404395308116683,1.2553150834652574e-7,1.4716917623257164e-4,8.18677139309843,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Gadd45g,23882,ENSMUSG00000021453,growth arrest and DNA-damage-inducible 45 gamma,2.5793303651232478,9.802354899369146,15.924631352231417,1.5959003791993436e-7,1.7452096855852936e-4,7.9808044888497935,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Ccl4,20303,ENSMUSG00000018930,C-C motif chemokine ligand 4,8.388166659120419,4.967995014164021,16.54422175361378,1.6453155284979197e-7,1.7452096855852936e-4,7.935612480748857,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Egr1,13653,ENSMUSG00000038418,early growth response 1,2.3973320563795415,10.52065314263536,15.713053544889323,1.7779781357300953e-7,1.771305539115611e-4,7.887231440179431,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Jun,16476,ENSMUSG00000052684,jun proto-oncogene,1.7952746619657152,11.515127959648016,15.622969566160299,1.8624504407650853e-7,1.771305539115611e-4,7.846866366648518,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Hmox1,15368,ENSMUSG00000005413,heme oxygenase 1,2.798673326592425,8.499311132366625,15.575784980247803,1.9084773485420724e-7,1.771305539115611e-4,7.825597163785529,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Lrrc32,434215,ENSMUSG00000090958,leucine rich repeat containing 32,2.4300598819752404,8.372236865239422,15.413766059157508,2.076460083997567e-7,1.8501259348418324e-4,7.751894448770363,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Grin2b,14812,ENSMUSG00000030209,"glutamate receptor, ionotropic, NMDA2B (epsilon 2)",-2.2174593700214498,12.866307507360673,-15.143540977527241,2.394640493843872e-7,2.0372803255032558e-4,7.626616673435921,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Sik1,17691,ENSMUSG00000024042,salt inducible kinase 1,1.9402127351234881,9.330361886267292,15.08342514704271,2.472608955251371e-7,2.0372803255032558e-4,7.598339192551887,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Map3k14,53859,ENSMUSG00000020941,mitogen-activated protein kinase kinase kinase 14,2.6048104655275965,7.528185568794591,15.017860597482144,2.5608910937863597e-7,2.0372803255032558e-4,7.567327061016471,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Maff,17133,ENSMUSG00000042622,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)",4.850757437454881,7.193904940617577,15.673461154398531,2.8750869370602915e-7,2.2083641904488963e-4,7.450546366983749,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Il4ra,16190,ENSMUSG00000030748,"interleukin 4 receptor, alpha",2.4276123117375352,7.967472453484618,14.59583680260856,3.2208782623777554e-7,2.3915021098154833e-4,7.363329966565432,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Slc8a1,20541,ENSMUSG00000054640,"solute carrier family 8 (sodium/calcium exchanger), member 1",-1.6677852533157882,12.554018934581155,-14.289028114533172,3.8200656423736753e-7,2.744902005931407e-4,7.210115931132975,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Ntrk3,18213,ENSMUSG00000059146,"neurotrophic tyrosine kinase, receptor, type 3",-1.7238587252060267,11.551686278456357,-14.138479161228682,4.1588401170955223e-7,2.8949426127594614e-4,7.13336985408943,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Ppp1r15a,17872,ENSMUSG00000040435,"protein phosphatase 1, regulatory subunit 15A",2.137161716905842,10.08805019239433,14.024587186445297,4.4374314316602655e-7,2.9952662163706793e-4,7.074610300147839,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Per1,18626,ENSMUSG00000020893,period circadian clock 1,1.5950721183792531,10.759920580754315,13.908093480461334,4.744107178518448e-7,3.1080878647499535e-4,7.013874796072205,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Lipg,16891,ENSMUSG00000053846,"lipase, endothelial",-2.5059435901369094,7.764880946308479,-13.851466533914866,4.901666096012851e-7,3.1195603511053216e-4,6.984117453490057,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Stk40,74178,ENSMUSG00000042608,serine/threonine kinase 40,2.0381140425225244,9.816742366987292,13.736171850640693,5.240830990212897e-7,3.2427641751942303e-4,6.9230513364055835,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Tppp3,67971,ENSMUSG00000014846,tubulin polymerization-promoting protein family member 3,1.8088044588400098,9.15951961387892,13.55184668027357,5.838817405975902e-7,3.464709681772654e-4,6.824068922295208,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Ier3,15937,ENSMUSG00000003541,immediate early response 3,3.8922194869383064,6.841277531065387,13.503337501915565,6.008582181860169e-7,3.464709681772654e-4,6.797738645978141,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Rgs16,19734,ENSMUSG00000026475,regulator of G-protein signaling 16,2.3971023108531275,7.8565737110066856,13.487231735511687,6.066158365393199e-7,3.464709681772654e-4,6.788970456603758,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Csrnp1,215418,ENSMUSG00000032515,cysteine-serine-rich nuclear protein 1,2.836878923560586,8.075629419448884,13.406251954087065,6.365135939569181e-7,3.544585076347588e-4,6.744685283853544,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Lmna,16905,ENSMUSG00000028063,lamin A,1.9172552243234051,10.625793401343248,13.357708867871201,6.552216689955437e-7,3.559771384603838e-4,6.717978787326656,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Plxna4,243743,ENSMUSG00000029765,plexin A4,-1.473602892032659,11.738983398768942,-13.122968838529014,7.547852292195618e-7,4.0030573763966045e-4,6.5871173236473375,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Ehd4,98878,ENSMUSG00000027293,EH-domain containing 4,1.9342168623753055,8.320738101606281,12.933417500111554,8.475629773925335e-7,4.3366574860246714e-4,6.479329704808972,Up,TRUE
