ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0050803,regulation of synapse structure or activity,108/1211,422/17130,0.2559241706161137,3.6201329831990323,15.031333524116187,3.1856021021703536e-33,2.1760847959925685e-29,1.5086340902804655e-29,Arc/Epha4/Prkca/Grin2b/Nlgn1/Gpr158/Robo1/Dcx/Cdkl5/Nlgn3/Ntrk3/Ephb2/Agap1/Pum2/Tubb5/Phactr1/Cyfip2/Plppr4/Lrfn3/Slitrk1/Snap91/Adgrl4/Srcin1/Fam107a/Shank3/Opcml/Tpbg/Cd47/Grid1/Fzd1/Adgrl1/Map1b/Vldlr/Elavl2/Mecp2/Ptk2b/Abi2/Ppp1r9b/Slitrk3/Gsk3b/Adgrb3/Mdga1/Lrp8/Tanc2/Lrfn2/Kalrn/Strn/Ppp1r9a/Usp9x/Iqsec2/Nedd4l/Erbb4/Opa1/Dock4/Grm5/Ptpro/Cap2/Pcdh7/Dclk1/Ank3/Clstn2/Syngap1/Ube3a/Nedd9/Cdh8/Pafah1b1/Vps35/Tlr2/Cacna2d3/Trim47/Stx1b/Hspa8/Mrtfb/Epha7/Nf1/Wnt7a/Slc17a7/Amigo1/Rtn4/Tnf/Nrxn1/Slitrk5/Cdh2/Lrrn1/Pten/Prmt8/Camk2b/Srgap3/Arhgap44/Mdga2/Slc12a5/Clstn1/Shank2/S1pr2/Myo5b/Asic2/Clstn3/Lrrc4b/Bdnf/Actr2/Magi2/Dgkb/Dlg4/Amigo2/Mycbp2/Grin1/Ptprd/Zfp804a,108
GO:0050807,regulation of synapse organization,105/1211,413/17130,0.2542372881355932,3.5962714663606206,14.730793443899938,4.785673570790507e-32,1.6345468081034976e-28,1.1331971260519206e-28,Arc/Epha4/Prkca/Grin2b/Nlgn1/Gpr158/Robo1/Dcx/Cdkl5/Nlgn3/Ntrk3/Ephb2/Agap1/Pum2/Tubb5/Phactr1/Cyfip2/Plppr4/Lrfn3/Slitrk1/Snap91/Adgrl4/Srcin1/Fam107a/Shank3/Opcml/Tpbg/Cd47/Grid1/Fzd1/Adgrl1/Map1b/Vldlr/Elavl2/Mecp2/Ptk2b/Abi2/Ppp1r9b/Slitrk3/Gsk3b/Adgrb3/Mdga1/Lrp8/Tanc2/Lrfn2/Kalrn/Strn/Ppp1r9a/Usp9x/Iqsec2/Nedd4l/Erbb4/Opa1/Dock4/Grm5/Ptpro/Cap2/Pcdh7/Dclk1/Ank3/Clstn2/Ube3a/Nedd9/Cdh8/Pafah1b1/Vps35/Tlr2/Cacna2d3/Trim47/Hspa8/Mrtfb/Epha7/Nf1/Wnt7a/Amigo1/Rtn4/Tnf/Nrxn1/Slitrk5/Cdh2/Lrrn1/Pten/Prmt8/Camk2b/Srgap3/Arhgap44/Mdga2/Slc12a5/Clstn1/Shank2/S1pr2/Myo5b/Asic2/Clstn3/Lrrc4b/Bdnf/Actr2/Magi2/Dgkb/Dlg4/Amigo2/Mycbp2/Grin1/Ptprd/Zfp804a,105
GO:0007416,synapse assembly,89/1211,318/17130,0.279874213836478,3.958914354268264,14.68981914285282,1.235136070458294e-30,2.8124048324335355e-27,1.9497814670146895e-27,Sptbn2/Gabrb2/Prkca/Npas4/Nlgn1/Robo1/Dcx/Plxna4/Nlgn3/Ntrk3/Ephb2/Gabrb3/Pum2/Cyfip2/Gabra2/Lrfn3/Slitrk1/Adgrl4/Srcin1/Gabra5/Fam107a/Shank3/Opcml/Tpbg/Fzd1/Add2/Gabrg2/Adgrl1/Map1b/Vldlr/Elavl2/Mecp2/Ptk2b/Ppp1r9b/Slitrk3/Gsk3b/Nrxn3/Adgrb3/Mdga1/Gabra1/Ppp1r9a/Usp9x/Iqsec2/Plxna1/Erbb4/Dock4/Pcdh7/Dclk1/Clstn2/Fzd5/Large1/Efnb1/Vps35/Tlr2/Trim47/Arhgef9/Epha7/Gabra4/Akap5/Wnt7a/Amigo1/Rtn4/Bsn/Nrxn1/Lrrc4/Slitrk5/Cdh2/Lrrn1/Pten/Kirrel3/Srgap3/Mdga2/Slc12a5/Clstn1/Shank2/S1pr2/Asic2/Clstn3/Lrrc4b/Bdnf/Magi2/Gria1/Dlg4/Amigo2/Mycbp2/Grin1/Pcdh17/Ptprd/Lgi2,89
GO:0099173,postsynapse organization,78/1211,326/17130,0.2392638036809816,3.384466521102572,11.988749271890205,3.11117859816029e-22,5.313115251008235e-19,3.683471713979775e-19,Arc/Epha4/Sptbn2/Grin2b/Nlgn1/Dcx/Epha5/Cdkl5/Frrs1l/Nlgn3/Ntrk3/Ephb2/Nrp1/Pum2/Cyfip2/Plppr4/Dlg2/Shisa6/Srcin1/Fam107a/Shank3/Grid1/Map1b/Ptk2b/Abi2/Cnksr2/Ppp1r9b/Slitrk3/Nrxn3/Lrp8/Tanc2/Lrfn2/Kalrn/Ppp1r9a/Usp9x/Grin2a/Erbb4/Opa1/Dock4/Grm5/Pcdh7/Dclk1/Syngap1/Ube3a/Nedd9/Pafah1b1/Vps35/Trim47/Arhgef9/Hspa8/Epha7/Nf1/Wnt7a/Rtn4/Tmem108/Nrxn1/Lrrc4/Cdh2/Pten/Camk2b/Srgap3/Arhgap44/Slc12a5/Shank2/S1pr2/Myo5b/Asic2/Lrrc4b/Actr2/Magi2/Dgkb/Dlg4/Myo9a/Grin1/Abl2/Ptprd/Zfp804a/Htr1a,78
GO:0050767,regulation of neurogenesis,94/1211,470/17130,0.2,2.829066886870355,11.089735877089794,1.230386953072434e-20,1.5245879669711868e-17,1.05696496057499e-17,Egr2/Tnfrsf12a/Epha4/Dusp10/Btg2/Id1/Robo1/Dcx/Dll1/Lif/Cdkl5/Ntrk3/Ephb2/Srf/Bmp2/Myc/Hmgb2/Nrp1/Bhlhe40/Bhlhe41/Dll4/Robo2/Slitrk1/Snap91/Srcin1/Shank3/Ppp3ca/Brinp1/Flt1/Opcml/Trpc5/Sorl1/Map1b/Mecp2/Map2/Hes1/Gsk3b/Tbc1d24/Hey1/Lrp8/Lingo1/Vim/Rela/Nf2/Kalrn/Nog/Fas/Tgfb1/Kifap3/Opa1/Cdkn2b/Fzd3/Rest/Grm5/Rassf10/Prox1/Nr1d1/Syngap1/Vegfa/Casz1/Pafah1b1/Tenm4/Sema5a/Tlr2/Cx3cl1/Dicer1/Mtor/Epha7/Zeb2/Akap5/Nf1/Wnt7a/Amigo1/Rtn4/Tnf/Nos1/Fstl4/Atxn1/Arhgap32/Pten/Ttc3/Synj1/Camk2b/Anxa2/Myo5b/Bmpr2/Bdnf/Actr2/Dlg4/Il6/Ldlr/Chd7/Ptprd/Dpysl5,94
GO:0099175,regulation of postsynapse organization,57/1211,199/17130,0.2864321608040201,4.051678707326891,11.942746823167194,1.5213850357504512e-20,1.5245879669711868e-17,1.05696496057499e-17,Arc/Epha4/Grin2b/Nlgn1/Dcx/Cdkl5/Nlgn3/Ephb2/Pum2/Cyfip2/Plppr4/Srcin1/Fam107a/Shank3/Grid1/Map1b/Ptk2b/Abi2/Ppp1r9b/Lrp8/Tanc2/Lrfn2/Kalrn/Ppp1r9a/Usp9x/Erbb4/Opa1/Dock4/Grm5/Pcdh7/Dclk1/Ube3a/Nedd9/Pafah1b1/Vps35/Trim47/Hspa8/Epha7/Nf1/Wnt7a/Rtn4/Nrxn1/Cdh2/Pten/Camk2b/Srgap3/Arhgap44/Slc12a5/Shank2/S1pr2/Asic2/Lrrc4b/Actr2/Dgkb/Grin1/Ptprd/Zfp804a,57
GO:0060078,regulation of postsynaptic membrane potential,53/1211,174/17130,0.3045977011494253,4.308636350693358,12.098795661951625,1.5623065098518967e-20,1.5245879669711868e-17,1.05696496057499e-17,Gabrb2/Grin2b/Npas4/Nlgn1/Kcnd2/Gabrb1/Nlgn3/Gabrb3/Gabra2/Gabra5/Shank3/Ppp3ca/Grid1/Gabrg2/Mecp2/Ptk2b/Rgs7bp/Grik3/Kcna2/Gsk3b/Syt1/Tbc1d24/Gabra1/Ppp1r9a/Grin2a/Erbb4/Chrm1/Grm5/Adora1/Slc8a2/Dpp6/Nr3c2/Cx3cl1/Stx1b/Gabra4/Wnt7a/Slc17a7/Tmem108/Nrxn1/Nos1/Atxn1/Pten/Grin3a/Neto1/S1pr2/Gria3/Bdnf/Gria1/Dlg4/Grm1/Grin1/P2rx6/Syne1,53
GO:0050890,cognition,85/1211,403/17130,0.2109181141439206,2.9835072628285384,11.113669423385142,2.712454069296933e-20,2.234750061901397e-17,1.5493054925293188e-17,Jun/Egr1/Arc/Adcy1/Btg2/Prkca/Cebpb/Grin2b/Npas4/Fos/Scn2a/C5ar1/Gpr158/Itga5/Nlgn3/Ephb2/Chl1/Gabrb3/Srf/Mgat3/Srcin1/Gabra5/Fam107a/Shank3/Tmod2/Brinp1/Tpbg/Cebpa/Plcb1/Slc24a2/Sorcs3/Btbd9/Il1rn/Mecp2/Abi2/Camk4/Ppp1r9b/Map1a/Gsk3b/Nrxn3/Adgrb3/Kalrn/Nog/Grin2a/Ccnd2/Chrm1/Slc1a1/Grm5/Adora1/Slc8a2/Clstn2/Syngap1/Large1/Ube3a/Nedd9/Atp8a1/Tafa2/Pafah1b1/Tlr2/Mtor/Nf1/Slc17a7/Pja2/Nrxn1/Atxn1/Pten/Amph/Synj1/Neto1/Slc12a5/Shank2/Clstn3/Elavl4/Synpo/Bdnf/Cacna1e/Gria1/Jph4/Rcan1/Ldlr/Cnr1/Grin1/Abl2/Chd7/Grm7,85
GO:0016358,dendrite development,75/1211,327/17130,0.22935779816513763,3.2443427601724255,11.301857610626293,2.944334732412908e-20,2.234750061901397e-17,1.5493054925293188e-17,Arc/Epha4/Id1/Celsr2/Camk2a/Nlgn1/Robo1/Camk1d/Dcx/Btbd3/Epha5/Cdkl5/Nlgn3/Ephb2/Nrp1/Phactr1/Srcin1/Shank3/Ppp3ca/Tpbg/Gpr37/Trpc5/Map1b/Vldlr/Mecp2/Mef2a/Map2/Abi2/Ppp1r9b/Map1a/Gsk3b/Tbc1d24/Adgrb3/Lrp8/Tanc2/Fat3/Kalrn/Strn/Fas/Ppp1r9a/Nedd4l/Opa1/Grm5/Dclk1/Syngap1/Hecw1/Ube3a/Pafah1b1/Tet1/Nsmf/Slc9a6/Mtor/Akap5/Wnt7a/Arid1b/Tmem106b/Fstl4/Slitrk5/Pten/Grin3a/Camk2b/Arhgap44/Slc12a5/Myo5b/Elavl4/Bdnf/Actr2/Pacsin1/Dgkg/Dlg4/Grin1/Abl2/Ptprd/Syne1/Dpysl5,75
GO:0048813,dendrite morphogenesis,55/1211,196/17130,0.28061224489795916,3.969354050455855,11.531622757742634,2.0607691819337383e-19,1.4077114281789367e-16,9.75936899949462e-17,Arc/Epha4/Id1/Celsr2/Camk2a/Nlgn1/Robo1/Dcx/Btbd3/Epha5/Cdkl5/Nlgn3/Ephb2/Nrp1/Phactr1/Srcin1/Shank3/Ppp3ca/Tpbg/Trpc5/Vldlr/Mef2a/Abi2/Gsk3b/Tbc1d24/Adgrb3/Lrp8/Tanc2/Kalrn/Ppp1r9a/Nedd4l/Opa1/Grm5/Dclk1/Hecw1/Ube3a/Pafah1b1/Tet1/Nsmf/Akap5/Wnt7a/Tmem106b/Slitrk5/Pten/Camk2b/Arhgap44/Myo5b/Elavl4/Actr2/Dlg4/Grin1/Abl2/Ptprd/Syne1/Dpysl5,55
