category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,mmu04517,IgSF CAM signaling,43/292,292/7649,0.14726027397260275,3.857513135672734,9.918460555222719,8.054675627951545e-15,1.87673942131271e-12,1.4922346426520757e-12,18213/386750/76965/16490/67703/192167/245537/268902/18750/245446/75409/20562/16492/17968/18186/241568/53321/109676/243499/210801/243911/243743/22145/13176/239857/18844/259302/331461/20743/50791/269116/22253/20563/58998/11735/20273/16536/19876/54725/22153/380928/18751/68507,43
Organismal Systems,Nervous system,mmu04724,Glutamatergic synapse,21/292,113/7649,0.18584070796460178,4.868135531579586,8.252498359252806,1.1842660877182937e-9,1.3796699921918121e-7,1.0970043759916827e-7,18750/432530/58234/12288/18795/224997/14812/14811/53623/210274/16519/14708/16438/224129/14809/20510/12289/11515/14807/18751/108071,21
Organismal Systems,Environmental adaptation,mmu04713,Circadian entrainment,18/292,93/7649,0.1935483870967742,5.0700397702165265,7.866999814426789,9.610748951762387e-9,7.464348352535455e-7,5.935059001790106e-7,18750/432530/12288/18795/70729/14812/12322/20191/14811/53623/16519/14708/16438/234889/224129/12289/11515/18751,18
Organismal Systems,Development and regeneration,mmu04360,Axon guidance,24/292,180/7649,0.13333333333333333,3.492694063926941,6.742003748280268,7.18913822436957e-8,4.187673015695274e-6,3.3297061249711693e-6,268902/18750/20562/20356/18186/241568/192198/210801/243743/20355/12322/13839/13176/18844/259302/18007/13838/22253/20563/244058/19876/13837/237860/13841,24
Environmental Information Processing,Signaling molecules and interaction,mmu04519,Cadherin signaling,36/292,390/7649,0.09230769230769231,2.418018967334036,5.726521988284617,6.061487807628504e-7,2.626303695677011e-5,2.0882288251147683e-5,14400/219257/109620/219228/54216/270120/14395/93708/211712/93880/93893/14397/93887/72821/93891/22295/12552/93882/12565/93884/93885/320873/93876/93878/93713/53883/93723/93711/93716/75599/279653/19229/329165/93875/215654/243548,36
Environmental Information Processing,Signal transduction,mmu04020,Calcium signaling pathway,27/292,247/7649,0.10931174089068826,2.8634435139482,5.93068907659627,6.763013808610328e-7,2.626303695677011e-5,2.0882288251147683e-5,18213/18750/13869/432530/22045/12290/12288/18795/14812/15562/12322/20191/14811/20541/67972/11941/12669/19229/16438/12289/320707/18573/11515/269717/15560/18751/108071,27
Environmental Information Processing,Signaling molecules and interaction,mmu04082,Neuroactive ligand signaling,23/292,191/7649,0.12041884816753927,3.1543964713476296,6.006840642120851,8.719442496199826e-7,2.9023287165922277e-5,2.3077020741822095e-5,14400/18750/432530/14395/14397/18795/14812/15562/14811/53623/15550/12669/14708/214084/224129/14809/20510/11515/70155/15560/14807/18751/108071,23
Organismal Systems,Endocrine system,mmu04925,Aldosterone synthesis and secretion,15/292,97/7649,0.15463917525773196,4.050804971049287,6.023990928504458,3.408450121295234e-6,9.927110978272369e-5,7.893252912473174e-5,18750/432530/12288/18795/12322/269060/67972/11941/18754/16438/224129/12289/320707/11515/18751,15
Organismal Systems,Nervous system,mmu04723,Retrograde endocannabinoid signaling,18/292,139/7649,0.12949640287769784,3.3921848822312013,5.670184107800625,4.97880199481852e-6,1.28895651643635e-4,1.0248762001029936e-4,14400/18750/432530/14395/14397/12288/18795/53623/269060/66082/16519/14708/16438/224129/12289/11515/18751/108071,18
Organismal Systems,Endocrine system,mmu04911,Insulin secretion,13/292,82/7649,0.15853658536585366,4.152898429669229,5.718340694838263,1.1688533511731403e-5,2.7234283082334167e-4,2.1654546295418183e-4,18750/432530/12288/18795/16531/12322/20191/26875/224129/12289/116838/11515/18751,13
Organismal Systems,Nervous system,mmu04725,Cholinergic synapse,15/292,110/7649,0.13636363636363635,3.5720734744707348,5.412997529147599,1.654393600162478e-5,3.5043064439805216e-4,2.786347116063121e-4,18750/432530/226922/12288/18795/12322/12669/16519/14708/16438/224129/16536/12289/11515/18751,15
Human Diseases,Substance dependence,mmu05032,Morphine addiction,13/292,88/7649,0.14772727272727273,3.8697462640099634,5.393990826899056,2.560879820642375e-5,4.972374985080612e-4,3.953639021342615e-4,14400/18750/432530/14395/14397/109689/241489/16519/14708/224129/18573/11515/18751,13
Organismal Systems,Nervous system,mmu04726,Serotonergic synapse,15/292,120/7649,0.125,3.274400684931507,5.002694000845036,4.717040657592389e-5,8.454388255530975e-4,6.722260370334094e-4,14400/18750/12288/18795/15562/16508/15550/16519/14708/16438/214084/224129/12289/15560/18751,15
Environmental Information Processing,Signal transduction,mmu04070,Phosphatidylinositol signaling system,13/292,94/7649,0.13829787234042554,3.6227411833284755,5.0970291292737055,5.231082634660678e-5,8.706016099113842e-4,6.922334915039695e-4,217480/18750/224020/18795/225326/104015/227333/16438/110911/380921/110524/18751/320634,13
Organismal Systems,Digestive system,mmu04970,Salivary secretion,12/292,83/7649,0.14457831325301204,3.787258623535237,5.086255035821529,6.521682811267237e-5,0.0010130347300168442,8.054850349354624e-4,18750/432530/18795/16531/67972/11941/16438/234889/224129/320707/11515/18751,12
Environmental Information Processing,Signaling molecules and interaction,mmu04514,Cell adhesion molecule (CAM) interaction,17/292,155/7649,0.10967741935483871,2.8730225364560322,4.693177662375,8.072568386463399e-5,0.001134183546790006,9.018129850239037e-4,386750/76965/192167/245537/245446/75409/17968/241568/53321/192198/320840/18007/269116/58998/18191/18189/54725,17
Cellular Processes,Cellular community - eukaryotes,mmu04540,Gap junction,12/292,85/7649,0.1411764705882353,3.698146655922643,4.983267973868513,8.275158925077298e-5,0.001134183546790006,9.018129850239037e-4,18750/432530/18795/22145/16438/234889/224129/22153/11515/15560/18751/108071,12
Organismal Systems,Nervous system,mmu04727,GABAergic synapse,12/292,86/7649,0.13953488372093023,3.655144950621217,4.932935057590784,9.294670873627029e-5,0.0012031435075306098,9.566444875779866e-4,14400/18750/432530/14395/14397/12288/14708/268566/224129/12289/11515/18751,12
Organismal Systems,Nervous system,mmu04728,Dopaminergic synapse,15/292,130/7649,0.11538461538461539,3.0225237091675448,4.633404780760027,1.1950880748162835e-4,0.0014655553759589162,0.0011652936352779275,18750/12288/18795/14812/12322/14811/109689/53623/16519/14708/16438/214084/224129/12289/18751,15
Organismal Systems,Nervous system,mmu04720,Long-term potentiation,10/292,65/7649,0.15384615384615385,4.030031612223394,4.887307479039944,1.5654916235485647e-4,0.0018237977414340778,0.0014501396091818285,18750/432530/12288/18795/14812/12322/14811/16438/18751/108071,10
Organismal Systems,Sensory system,mmu04742,Taste transduction,9/292,54/7649,0.16666666666666666,4.3658675799086755,4.944757571039174,1.7821463454144882e-4,0.001977333802293218,0.0015722193322954886,14395/14397/12288/18795/110876/11418/20269/15550/18573,9
Organismal Systems,Endocrine system,mmu04921,Oxytocin signaling pathway,16/292,151/7649,0.10596026490066225,2.775650911730019,4.390240700400289,1.9604531049060008e-4,0.002053753166208266,0.0016329819618371578,12293/18750/432530/12288/18795/12322/20191/329251/16519/16438/234889/224129/12289/12296/11515/18751,16
