category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,mmu04668,TNF signaling pathway,29/420,114/7649,0.2543859649122807,4.632852965747703,9.419288319010446,1.4761347597235883e-12,4.398881583976293e-10,3.837950375281329e-10,12702/20296/16477/231991/12977/16476/11911/16362/15945/15894/16449/13614/26397/14281/14825/16176/20293/12051/53859/217344/20310/21926/20339/12675/26410/14102/21938/19766/11797,29
Human Diseases,Cardiovascular disease,mmu05417,Lipid and atherosclerosis,33/420,193/7649,0.17098445595854922,3.1139526276831972,7.169360654551931,3.6781316858788558e-9,5.480416211959495e-7,4.781571191642512e-7,20296/193740/15511/20302/16476/15519/15510/11911/15894/16835/24088/15481/26397/14281/14828/21933/14825/12475/16176/20293/20310/19016/21926/20339/12491/13198/12675/21353/14102/16801/18018/18024/50527,33
Environmental Information Processing,Signal transduction,mmu04010,MAPK signaling pathway,42/420,294/7649,0.14285714285714285,2.6017006802721085,6.750301317829595,7.380252907541523e-9,7.331051221491246e-7,6.396219186535987e-7,15370/23882/70686/193740/15511/12977/16175/16476/63953/11601/11911/240672/15481/67603/13537/13836/26397/13197/14281/17869/22339/12475/16542/19252/18034/15507/14254/16176/53859/211429/20807/21926/13198/12675/26410/14102/240168/56636/15234/18018/75590/17873,42
Human Diseases,Immune disease,mmu05323,Rheumatoid arthritis,18/420,79/7649,0.22784810126582278,4.149547920433996,6.782242264378839,1.7659145039805878e-7,1.3156063054655378e-5,1.147844427587382e-5,20296/20302/12977/16175/16476/15894/24088/14281/22339/14825/14254/16176/20293/20310/21926/12524/16156/13039,18
Human Diseases,Cardiovascular disease,mmu05418,Fluid shear stress and atherosclerosis,24/420,137/7649,0.17518248175182483,3.190406673618353,6.235434483326898,3.3224461378965877e-7,1.9801778981863663e-05,1.7276719917062255e-5,20296/15368/16175/16476/15519/12562/15894/13614/14281/22339/16598/16542/19252/18791/16176/20293/18613/21926/20339/12675/13039/18024/12390/11898,24
Environmental Information Processing,Signal transduction,mmu04064,NF-kappa B signaling pathway,20/420,101/7649,0.19801980198019803,3.6063177746346065,6.355234490620343,4.246305836231051e-7,2.1089985653280885e-5,1.840065862366789e-5,23882/20303/240354/15894/18792/13197/14825/12475/18034/16176/53859/20310/21926/12675/12042/19766/11797/12044/17873/17000,20
Environmental Information Processing,Signaling molecules and interaction,mmu04060,Cytokine-cytokine receptor interaction,33/420,240/7649,0.1375,2.5041369047619053,5.7065373345707675,8.006053294510042e-7,3.4082912596628464e-5,2.9736769379608727e-5,20296/20303/20302/12977/16175/23886/20306/15945/18413/21933/14825/100532/27279/16190/12156/16181/12778/16176/20293/12984/20310/21926/66102/56221/14102/21938/16156/326623/240873/12768/320100/16164/17000,33
Environmental Information Processing,Signaling molecules and interaction,mmu04061,Viral protein interaction with cytokine and cytokine receptor,16/420,82/7649,0.1951219512195122,3.553542392566783,5.603348107962491,7.506985752146914e-6,2.6077249390515174e-4,2.2751962555483032e-4,20296/20303/20302/12977/20306/15945/21933/14825/12778/20293/20310/21926/56221/21938/12768/17000,16
Cellular Processes,Cell growth and death,mmu04210,Apoptosis,21/420,131/7649,0.16030534351145037,2.919465648854962,5.341021225720318,7.875679346128742e-6,2.6077249390515174e-4,2.2751962555483032e-4,23882/16476/11911/13197/14281/17210/21933/58801/12984/53859/21926/13032/13198/12675/14102/12125/13039/19766/11797/12044/17873,21
Human Diseases,Infectious disease: bacterial,mmu05134,Legionellosis,13/420,58/7649,0.22413793103448276,4.081978653530378,5.678761115465661,1.1201611941013736e-5,3.3380803584220935e-4,2.912419104663571e-4,193740/15511/15510/12747/24088/15481/12750/14825/12475/18034/16176/20310/21926,13
