category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,mmu04517,IgSF CAM signaling,128/1761,292/7649,0.4383561643835616,1.9040240212208193,8.613719697673472,8.191887533727633e-16,2.858968749270944e-13,1.6814927042914618e-13,15894/18750/192167/110862/20743/11735/243743/12524/58220/19303/18213/386750/17698/13176/380928/67951/268902/239857/109676/76965/20273/18858/16536/17756/17886/245446/13449/21873/18186/18481/11867/11845/16492/56637/238205/23797/18751/22330/75409/16402/99167/29875/12558/12805/18844/22145/16490/228785/99571/19876/245537/259302/19266/20563/16542/67703/214230/26414/216963/66713/26413/66797/241568/331461/20740/18607/20564/13821/54725/227613/70584/20742/71740/12361/327814/16414/434782/67771/67374/18752/22324/74117/242894/16485/17096/18709/17968/22154/216856/74144/67268/94332/50791/13052/12927/22153/68507/107449/12523/111173/22034/19294/22253/52118/20562/107589/16822/13823/26419/18845/15170/16728/21872/76709/22152/60367/13822/14083/272381/17967/11820/18479/18106/69524/116837/210801/18710/56458,128
Environmental Information Processing,Signaling molecules and interaction,mmu04519,Cadherin signaling,153/1761,390/7649,0.3923076923076923,1.7040099593762283,7.804452204057954,1.3188709370508902e-13,2.3014297851538033e-11,1.3535780669732822e-11,56332/16475/14400/216795/22352/14367/53883/14402/22411/21414/14397/19697/329165/12562/76884/93880/14394/26397/54216/22421/11867/97064/19229/270120/21679/56637/110886/14395/219257/211712/22330/18035/93708/59079/18016/279653/12552/12558/93889/215654/14406/14365/75599/232906/14260/14407/12675/14257/71602/22323/16542/13346/17913/18595/14401/26414/57265/66713/93891/246177/26413/14369/83767/14362/93890/12564/50884/22601/12006/18033/209760/12565/93878/93882/72821/16001/14370/269788/93893/93876/243548/21415/67451/12385/235281/434782/29806/67771/64010/22324/74117/93714/231646/22419/14366/242894/93879/13543/232157/12614/338367/21676/16480/54401/21678/93887/65970/216965/93883/93710/93888/192164/19877/93885/75723/14404/93709/93886/19049/22628/93723/18163/13506/93712/93716/26419/93884/14371/93840/93874/13649/21872/22631/16151/101543/76709/14083/12005/93875/13800/109620/192163/353237/23836/12941/18530/219228/16653/74127/11487/239096/14368/245578,153
Environmental Information Processing,Signal transduction,mmu04010,MAPK signaling pathway,120/1761,294/7649,0.40816326530612246,1.7728795095550998,7.390330098421889,3.018100593412223e-12,3.5110570236695526e-10,2.065016195492574e-10,193740/15511/12475/12977/15370/11601/16176/70686/18018/16175/19252/13836/17873/12290/12293/18750/240672/17869/13198/53859/16476/23882/14102/15507/16478/12064/13537/19419/22339/21803/21926/18034/19697/20807/63953/26397/13197/23797/19055/18751/17164/12288/12296/13712/14281/26410/19698/12675/11911/26401/14254/19056/14257/109880/16542/26398/18595/15234/16177/26414/13636/26413/109689/12298/18015/21937/19058/21813/18033/21809/16001/12295/17874/18591/12287/26406/18752/102626/60597/67603/17260/192176/13869/14573/21808/18749/239556/18021/19417/16590/216965/19713/12286/75590/14186/18188/22034/18590/12294/26419/26412/18099/56636/13649/30957/16151/14172/11909/13163/18053/269881/26403/81905/19279/14013/140723/14165/18479/16653/26399,120
Human Diseases,Cardiovascular disease,mmu05417,Lipid and atherosclerosis,84/1761,193/7649,0.43523316062176165,1.8904590832458008,6.851874348090445,1.3800141597757498e-10,1.2040623544043418e-8,7.0816516093755595e-9,193740/15511/12475/20296/18019/15894/16176/18018/20302/14828/18750/13198/16476/12322/14102/14825/20293/21926/16193/19697/20310/20339/26397/18795/56637/225164/23797/19055/12491/20848/18035/24088/14281/12323/12675/11911/19056/117149/16438/18024/22035/26398/26414/21933/26413/12313/21937/18607/19058/18033/16801/16835/15510/17874/22324/11303/17096/18709/18021/12315/18797/22034/15525/26419/17970/11783/15519/54131/16151/54123/22359/20181/13666/21898/14083/216799/20344/226641/21899/12368/16653/18710/12314/26399,84
Environmental Information Processing,Signal transduction,mmu04668,TNF signaling pathway,56/1761,114/7649,0.49122807017543857,2.1336760413242075,6.66913460227487,7.661024461283915e-10,5.347395073976173e-8,3.1450521472639234e-8,12702/20296/12977/15894/16477/231991/16176/15945/13614/12051/53859/16476/14102/14825/20293/16362/21926/16193/19697/208647/20310/20339/12608/26397/23797/18035/21929/217344/13650/14281/26410/12675/16878/11911/20312/16449/19766/26398/26414/12912/26413/21937/18033/19225/11796/18709/21938/26419/74006/16151/11909/11797/67384/56532/18710/26399,56
Organismal Systems,Development and regeneration,mmu04360,Axon guidance,75/1761,180/7649,0.4166666666666667,1.8098144993374978,6.012571973286313,1.4003673988069502e-8,7.252105096790441e-7,4.265300841122414e-7,18019/13836/18750/243743/58220/12322/13176/13838/268902/13841/20353/20356/171171/18186/18481/56637/50780/19055/13839/223881/13641/192198/20349/13840/14365/18844/12323/12168/19056/19876/259302/22066/20563/214230/13844/13636/26413/241568/18607/19058/20564/237860/70584/18762/20348/18007/65254/22419/244058/18709/19206/20359/20352/18021/67268/319713/107449/20355/14677/19877/13846/22253/20562/18845/16728/13643/108151/14083/13800/13642/22063/18479/16653/210801/18710,75
Environmental Information Processing,Signal transduction,mmu04390,Hippo signaling pathway,67/1761,155/7649,0.432258064516129,1.8775365902804493,6.035926681759316,1.4545769535109768e-8,7.252105096790441e-7,4.265300841122414e-7,17131/15901/16475/216795/18787/17869/58220/12443/170770/14367/56289/21803/23859/22411/21414/209456/22421/97064/21679/56637/12445/18016/15902/14365/53310/17125/12168/12156/13385/93960/57265/14369/14362/21813/22601/12006/269643/21809/14370/11796/319710/18762/105782/21415/14219/12385/16414/29806/64010/22419/14366/13543/232157/21808/21676/54401/21678/22628/14371/73699/22631/12163/101543/11797/51792/12005/14368,67
Human Diseases,Infectious disease: viral,mmu05163,Human cytomegalovirus infection,87/1761,220/7649,0.39545454545454545,1.7176784884621341,5.906712151854267,1.9653455244215312e-8,8.57381985028893e-7,5.04266285871314e-7,20296/18019/231991/16176/18018/20302/18750/20303/17869/12443/19303/14102/12774/22339/20293/14972/14708/21926/16193/19697/208647/18795/19229/13685/56637/23797/19055/18751/15015/20848/18035/224129/14702/13712/12571/12768/14682/12675/11911/20312/14674/19056/16438/19766/18595/16177/12912/26413/12313/21937/14964/19058/18033/19225/16801/432530/18752/58988/19217/18709/66066/18749/18021/56717/12927/14707/12315/16194/14677/19645/19877/18797/14706/14672/13649/54131/16151/110557/11909/72508/14083/19219/16653/21354/18710/12314/26399,87
Environmental Information Processing,Signal transduction,mmu04020,Calcium signaling pathway,95/1761,247/7649,0.38461538461538464,1.6705979993884594,5.858762682598182,2.2488752338271972e-8,8.72063840672991e-7,5.129013691184836e-7,18019/14812/20541/18018/12290/67972/12062/18750/14811/18213/12322/108071/11941/20191/22339/233011/227541/18125/320404/18795/19229/11554/19055/18751/14810/12288/12669/110891/18799/21425/14682/15562/12323/228785/14680/14254/19056/228550/16438/269717/14257/16542/68279/18595/15234/242443/12671/11549/12313/19058/18439/14816/14675/18573/14062/18591/12287/432530/18752/11548/13869/14573/18749/239556/18021/19713/12286/12315/14186/18797/18590/11556/20698/15465/107589/21390/14672/18440/14813/13492/12326/56636/13649/381290/11938/14172/320707/19204/11540/20866/215999/14165/116873/20190/12314,95
Human Diseases,Substance dependence,mmu05031,Amphetamine addiction,36/1761,67/7649,0.5373134328358209,2.333850339444176,5.996838207667463,4.434333279285158e-8,1.54758231447052e-6,9.102052520637957e-7,14812/231991/11838/18750/14811/14282/16476/12322/208647/19055/18751/14810/224129/12288/14799/14281/12323/11911/19056/242443/12912/53623/12313/19058/18752/18749/93759/14800/12315/19049/214084/14813/12326/11909/433759/12314,36
Human Diseases,Cancer: overview,mmu05205,Proteoglycans in cancer,78/1761,198/7649,0.3939393939393939,1.7110973448281794,5.544011052522859,1.2974476748676088e-7,3.979042166179706e-6,2.340260058528254e-6,21825/15200/18750/216795/18793/17869/11735/14388/12443/19303/12322/17698/14102/18792/14367/22339/109676/21803/22411/21926/22421/12505/23797/18751/20848/16402/13712/29875/24088/14365/12323/12512/21859/14268/16438/20969/13039/109880/16542/12389/15234/329251/57265/26413/14369/18607/14362/16801/16001/14370/83383/18752/22324/22419/14366/58988/18709/192176/71950/13869/19206/21808/18749/56717/19877/14371/12390/15170/13649/232807/72508/21898/14083/18479/16653/18710/15530/14368,78
Human Diseases,Infectious disease: parasitic,mmu05142,Chagas disease,46/1761,98/7649,0.46938775510204084,2.038811435988365,5.6600105628087105,1.4439952087485637e-7,3.979042166179706e-6,2.340260058528254e-6,20296/16176/20302/12062/18787/16476/14102/20293/21803/21926/16193/19697/18795/23797/18035/24088/14281/14682/12675/14680/26398/26414/26413/21937/21813/18033/12260/269643/21809/14675/17874/432530/18709/21808/14677/18797/22034/14672/26419/73699/16151/51792/21898/21899/18710/12262,46
Organismal Systems,Nervous system,mmu04724,Glutamatergic synapse,51/1761,113/7649,0.45132743362831856,1.9603654399903514,5.6243846825529795,1.4821647037345608e-7,3.979042166179706e-6,2.340260058528254e-6,14812/18750/14811/16519/108071/210274/224997/26557/14708/26556/18795/19055/243961/18751/14810/224129/58234/12288/14702/14799/14682/19056/16438/26562/20510/13385/108073/72961/242443/53623/26413/19058/14816/432530/18752/66066/18749/12286/14800/14707/110355/14677/18797/14809/14706/14813/105727/14805/22063/18806/76257,51
Organismal Systems,Environmental adaptation,mmu04713,Circadian entrainment,43/1761,93/7649,0.46236559139784944,2.008310283135804,5.350069366520739,6.181029926767681e-7,1.3884193958602124e-5,8.16594125147765e-6,14812/18626/18750/14811/16519/12322/20191/14708/18125/18795/18751/14810/224129/12288/14702/14799/14281/14682/12323/16438/12912/53623/16522/26413/12313/432530/18752/16521/70729/66066/18749/239556/14800/14707/12315/14677/18797/14706/14813/11516/54195/20190/12314,43
Environmental Information Processing,Signal transduction,mmu04371,Apelin signaling pathway,56/1761,133/7649,0.42105263157894735,1.8288651782778922,5.2733433144851,6.36524651397232e-7,1.3884193958602124e-5,8.16594125147765e-6,20541/30878/13653/18787/12443/18791/20191/16598/18754/14708/18125/18795/23797/224129/17261/14702/20750/110891/14682/241113/228785/14674/16438/16449/23796/17258/26413/30955/12313/14219/19079/432530/18576/58988/17260/208727/66066/18749/16890/56717/14707/12315/14677/18797/108079/14706/20698/107589/225326/12326/320207/72508/18131/20190/16653/12314,56
Human Diseases,Infectious disease: bacterial,mmu05135,Yersinia infection,56/1761,133/7649,0.42105263157894735,1.8288651782778922,5.2733433144851,6.36524651397232e-7,1.3884193958602124e-5,8.16594125147765e-6,20296/18019/16176/18018/16476/19303/330319/20293/21926/16193/19697/26397/11867/19229/11845/56637/23797/18035/16402/14281/14131/14682/12675/14268/26398/26414/66713/26413/140579/18033/16801/17874/434782/67771/22324/74117/242894/110596/18709/18021/12927/19877/54126/22034/16822/26419/54131/16151/76709/21898/14083/216799/18717/18710/26399/54353,56
Human Diseases,Cancer: specific types,mmu05221,Acute myeloid leukemia,34/1761,68/7649,0.5,2.171777399204997,5.307696020583471,9.901490140543727e-7,1.9666285373872934e-5,1.1566658567049382e-5,12475/18712/17869/12394/12443/12606/21414/19401/19697/12047/13685/23797/20848/12044/20375/12675/109880/26413/18033/21415/12045/58988/67603/18709/20850/16480/56717/16590/20851/16151/72508/19015/16653/18710,34
Cellular Processes,Cellular community - eukaryotes,mmu04510,Focal adhesion,76/1761,200/7649,0.38,1.6505508233957977,5.098201055318205,1.014306982033561e-6,1.9666285373872934e-5,1.1566658567049382e-5,13730/21825/18750/16476/12443/19303/286940/22339/70549/18481/21923/56637/12445/23797/18751/22330/16402/13712/20750/12826/232906/19211/16400/228785/14254/14268/14257/16404/109880/22323/16542/12389/18595/214230/15234/26414/329251/26413/18607/21894/12827/16001/70584/11796/16403/81877/18591/18752/12824/22324/226519/21826/18709/22371/192176/67268/19417/12927/21960/19877/21827/18590/107589/26419/12390/13649/232807/11797/16775/14083/18717/16777/107746/18479/18710/16399,76
Human Diseases,Infectious disease: bacterial,mmu05132,Salmonella infection,88/1761,243/7649,0.36213991769547327,1.5729745772019732,4.963823750669659,1.6135409098273159e-6,2.9178245490231334e-5,1.7161085418775782e-5,12475/16176/17869/12306/16476/67951/21414/21926/16193/19697/72318/76884/26397/170625/18481/11867/11845/23797/27205/18035/24088/14281/22145/12675/192656/117149/16646/12363/19766/22035/80837/226421/26398/26414/21933/66713/26413/30955/21937/235406/50884/140579/18033/13424/19264/227613/234686/11796/20336/21415/17874/19344/434782/67771/74117/242894/21402/22154/192176/105504/218035/67268/17920/22153/74734/22034/18704/225326/26419/15519/16151/76709/110750/11797/22152/21898/216799/67166/319642/16648/21899/77573/16574/18479/56444/56532/26399/107607,88
