ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0050803,regulation of synapse structure or activity,111/967,422/17130,0.26303317535545023,4.659522537578968,18.618156372789944,1.0438178742359887e-44,6.085458206795815e-41,4.957585524792402e-41,Grin2b/Bdnf/Tanc2/Ntrk3/Cdkl5/Epha4/Mrtfb/Plppr4/Slitrk5/Prkca/Dock4/Prickle2/Nrn1/Vldlr/Adgrl1/Agap1/Pcdh8/Shank2/Slitrk3/Grid1/Phactr1/Homer1/Nedd4l/Slitrk4/Grm5/Mdga1/Map1b/Robo1/Tiam1/Tanc1/Lrfn5/Ppp1r9a/Iqsec2/Pum2/Neurl1a/Fam107a/Slitrk1/Gpr158/Shank3/Ephb2/Nlgn1/Ntrk2/Mycbp2/Syngap1/Neurod2/Mecp2/Srgap3/Pcdh7/Sipa1l1/Cap2/Ppp1r9b/Amigo2/Kalrn/Cdh2/Abi2/Opcml/Gsk3b/Zfp804a/Arhgap44/Clstn2/Lrrtm2/Ptk2b/Etv5/Ago2/Ank3/Camk2b/Nlgn3/Usp9x/Htr4/Psd/Cyfip2/Baiap2/Adgrb3/Dtnbp1/Erbb4/Cdk5r1/Amigo1/Lhfpl4/Slc12a5/Slc17a7/Stx1b/Dab2ip/Lrrn1/Asic2/Lrfn2/Dlg4/Opa1/Itpka/Pten/Grin1/Nf1/Dcx/Tubb5/Cd47/Nefl/Prmt8/Dgkb/Clstn1/Ptpro/Nlgn2/Dclk1/Lrfn3/Lrp8/Pak3/Lrrtm1/Rapgef2/Snap91/Iqsec1/Adgrb2/Adgrl3/Il1rapl1,111
GO:0050807,regulation of synapse organization,108/967,413/17130,0.26150121065375304,4.6323844245075385,18.2770422019652,3.1226115176150086e-43,9.10241257384775e-40,7.415380614462589e-40,Grin2b/Bdnf/Tanc2/Ntrk3/Cdkl5/Epha4/Mrtfb/Plppr4/Slitrk5/Prkca/Dock4/Prickle2/Nrn1/Vldlr/Adgrl1/Agap1/Pcdh8/Shank2/Slitrk3/Grid1/Phactr1/Homer1/Nedd4l/Slitrk4/Grm5/Mdga1/Map1b/Robo1/Tiam1/Tanc1/Lrfn5/Ppp1r9a/Iqsec2/Pum2/Neurl1a/Fam107a/Slitrk1/Gpr158/Shank3/Ephb2/Nlgn1/Ntrk2/Mycbp2/Neurod2/Mecp2/Srgap3/Pcdh7/Sipa1l1/Cap2/Ppp1r9b/Amigo2/Kalrn/Cdh2/Abi2/Opcml/Gsk3b/Zfp804a/Arhgap44/Clstn2/Lrrtm2/Ptk2b/Etv5/Ago2/Ank3/Camk2b/Nlgn3/Usp9x/Htr4/Psd/Cyfip2/Baiap2/Adgrb3/Dtnbp1/Erbb4/Cdk5r1/Amigo1/Lhfpl4/Slc12a5/Dab2ip/Lrrn1/Asic2/Lrfn2/Dlg4/Opa1/Itpka/Pten/Grin1/Nf1/Dcx/Tubb5/Cd47/Nefl/Prmt8/Dgkb/Clstn1/Ptpro/Nlgn2/Dclk1/Lrfn3/Lrp8/Pak3/Lrrtm1/Rapgef2/Snap91/Iqsec1/Adgrb2/Adgrl3/Il1rapl1,108
GO:0099173,postsynapse organization,92/967,326/17130,0.2822085889570552,4.999206958463656,17.83177592994351,8.332264829035308e-40,1.619236798442528e-36,1.3191290845125372e-36,Grin2b/Tanc2/Ntrk3/Cdkl5/Epha4/Shisa6/Sptbn2/Lrrc4/Plppr4/Grin2a/Dock4/Prickle2/Tmem108/Shank2/Slitrk3/Grid1/Homer1/Abl2/Grm5/Map1b/Dlg2/Tiam1/Tanc1/Ppp1r9a/Pum2/Neurl1a/Fam107a/Shank3/Ephb2/Nlgn1/Syngap1/Srgap3/Pcdh7/Sipa1l1/Frrs1l/Ppp1r9b/Cnksr2/Iqsec3/Kalrn/Nos1ap/Cdh2/Abi2/Dgkz/Zfp804a/Arhgap44/Lrrtm2/Ptk2b/Etv5/Nptxr/Camk2b/Nlgn3/Usp9x/Htr4/Psd/Cyfip2/Baiap2/Dtnbp1/Erbb4/Git1/Cdk5r1/Shisa7/Igf1r/Lhfpl4/Slc12a5/Nrp1/Nrxn3/Asic2/Lrfn2/Dlg4/Opa1/Itpka/Pten/Grin1/Nf1/Dcx/Nefl/Arhgef7/Zfp365/Shank1/Dgkb/Epha5/Ina/Sh3gl2/Nlgn2/Dclk1/Lrp8/Pak3/Lrrtm1/Arhgef9/Adgrl3/Il1rapl1/Myo9a,92
GO:0007416,synapse assembly,87/967,318/17130,0.27358490566037735,4.846442020643499,16.93484847232235,1.618265540446126e-36,2.3586220252002284e-33,1.9214773996034002e-33,Bdnf/Ntrk3/Plxna4/Add2/Sptbn2/Lrrc4/Slitrk5/Prkca/Dock4/Prickle2/Bsn/Vldlr/Gabra4/Adgrl1/Shank2/Slitrk3/Slitrk4/Mdga1/Map1b/Robo1/Plxnd1/Gabrb3/Lrfn5/Ppp1r9a/Iqsec2/Pum2/Neurl1a/Fam107a/Slitrk1/Shank3/Ephb2/Nlgn1/Gabrb2/Ntrk2/Mycbp2/Gabra5/Mecp2/Srgap3/Pcdh7/Sipa1l1/Ppp1r9b/Gria1/Large1/Amigo2/Cdh2/Opcml/Gsk3b/Clstn2/Gabra2/Plxna1/Lrrtm2/Ptk2b/Nptxr/Nlgn3/Usp9x/Htr4/Psd/Cyfip2/Adgrb3/Hapln4/Erbb4/Amigo1/Lhfpl4/Slc12a5/Lrrn1/Nrxn3/Asic2/Dlg4/Fgf13/Pten/Grin1/Slc25a46/Dcx/Gabrg3/Cdh9/Gabra1/Clstn1/Nlgn2/Dclk1/Lrfn3/Lrrtm1/Akap5/Iqsec1/Arhgef9/Adgrb2/Adgrl3/Il1rapl1,87
GO:0048167,regulation of synaptic plasticity,79/967,279/17130,0.2831541218637993,5.0159566778975,16.54232453681986,2.2772314102160722e-34,2.6552518243119403e-31,2.163130131135772e-31,Grin2b/Bdnf/Adcy1/Cx3cr1/Camk2a/Epha4/Shisa6/Map1a/Grin2a/Kcnq3/Shank2/Grid1/Sorcs3/Slitrk4/Grm5/Map1b/Slc24a2/Unc13a/Syt7/Ppp1r9a/Iqsec2/Rin1/Neurl1a/Fam107a/Shank3/Nsmf/Ephb2/Nlgn1/Kcnq2/Cplx2/Ntrk2/Syngap1/Neurod2/Mecp2/Agt/Sipa1l1/Nos1/Synpo/Gria1/Large1/Lnpep/Ptgs2/Gsk3b/Crtc1/Adora1/Slc1a1/Lrrtm2/Ptk2b/Camk2b/Atp2b2/Nlgn3/Baiap2/Slc8a2/Gnal/Ncdn/Slc4a10/Shisa7/Bace1/Syngr1/Prkcz/Cnr1/Jph4/Dlg4/Itpka/Pten/Grin1/Nf1/Ywhag/Mapk1/Rgs14/Plk2/Rasgrf1/Braf/Zzef1/Lrrtm1/Rapgef2/Akap5/Htt/Jph3,79
GO:0016358,dendrite development,82/967,327/17130,0.25076452599388377,4.442188552507993,15.372106117794894,1.7146541731575974e-31,1.666072304918132e-28,1.3572841454889611e-28,Bdnf/Tanc2/Cdkl5/Camk2a/Epha4/Map1a/Slitrk5/Camk1d/Vldlr/Celsr2/Fat3/Btbd3/Phactr1/Nedd4l/Abl2/Arid1b/Grm5/Map2/Map1b/Robo1/Tiam1/Camsap2/Ppp1r9a/Neurl1a/Shank3/Nsmf/Ephb2/Ppp3ca/Nlgn1/Ntrk2/Syngap1/Trpc5/Mecp2/Sipa1l1/Ppp1r9b/Syne1/Kalrn/Dgkg/Abi2/Tbc1d24/Gsk3b/Crtc1/Arhgap44/Fstl4/Rbfox2/Camk2b/Nlgn3/Baiap2/Adgrb3/Dtnbp1/Git1/Matn2/Cdk5r1/Spire1/Slc12a5/Gpr37/Nrp1/Dab2ip/Dlg4/Opa1/Itpka/Pten/Grin1/Mir212/Slc25a46/Dcx/Plk2/Zfp365/Shank1/Trak1/Epha5/Nlgn2/Dclk1/Lrp8/Pak3/Bcl11a/Rapgef2/Akap5/Iqsec1/Sult4a1/Pacsin1/Il1rapl1,82
GO:0050890,cognition,90/967,403/17130,0.22332506203473945,3.956109940698125,14.688665190400643,2.3137484483499606e-30,1.927021921982896e-27,1.569869623903011e-27,Grin2b/Bdnf/Nptx2/Adcy1/Cx3cr1/Btbd9/Map1a/Grin2a/Scn2a/Ttbk1/Prkca/Pak6/Cacna1e/Shank2/Sorcs3/Abl2/Slitrk4/Grm5/Ppp1r1b/Slc24a2/Gabrb3/Tanc1/Chrm1/Rin1/Fam107a/Gpr158/Chl1/Shank3/Ephb2/Kcnq2/Ntrk2/Syngap1/Neurod2/Gabra5/Tmod2/Mecp2/Agt/Synj1/Synpo/Ppp1r9b/Gria1/Large1/Camk4/Brinp1/Kalrn/Ptgs2/Kctd16/Abi2/Gsk3b/Crtc1/Mgat3/Adora1/Slc1a1/Clstn2/Atxn1/Nlgn3/Cacna1c/Adgrb3/Slc8a2/Nr4a2/Dtnbp1/Git1/Shisa7/Bace1/Prkcz/Slc12a5/Slc17a7/Tafa2/Ankrd11/Cnr1/Jph4/Nrxn3/Syt11/Fgf13/Pten/Grin1/Nf1/Rgs14/Plk2/Cck/Shank1/Cic/Ccnd2/Braf/Zzef1/Shc3/Htt/Jph3/Lins1/Plcb1,90
GO:0007611,learning or memory,82/967,364/17130,0.22527472527472528,3.990647408434379,14.106505084652088,5.357429017882883e-28,3.9042263967821513e-25,3.180621016932575e-25,Grin2b/Bdnf/Nptx2/Adcy1/Cx3cr1/Btbd9/Map1a/Grin2a/Scn2a/Ttbk1/Prkca/Pak6/Cacna1e/Shank2/Sorcs3/Abl2/Slitrk4/Grm5/Ppp1r1b/Slc24a2/Gabrb3/Tanc1/Rin1/Shank3/Ephb2/Kcnq2/Ntrk2/Syngap1/Neurod2/Gabra5/Tmod2/Mecp2/Agt/Synj1/Synpo/Ppp1r9b/Gria1/Large1/Camk4/Brinp1/Kalrn/Ptgs2/Kctd16/Abi2/Gsk3b/Crtc1/Slc1a1/Clstn2/Atxn1/Nlgn3/Cacna1c/Adgrb3/Slc8a2/Nr4a2/Dtnbp1/Git1/Shisa7/Bace1/Prkcz/Slc12a5/Slc17a7/Tafa2/Cnr1/Jph4/Nrxn3/Syt11/Fgf13/Pten/Grin1/Nf1/Rgs14/Plk2/Cck/Shank1/Cic/Ccnd2/Braf/Zzef1/Shc3/Htt/Jph3/Plcb1,82
GO:0060078,regulation of postsynaptic membrane potential,55/967,174/17130,0.3160919540229885,5.599436579538566,14.915431101327773,7.352252633006578e-27,4.762625872269817e-24,3.879925600014699e-24,Grin2b/Bdnf/Grin2a/Gabrb1/Gabra4/Hcn1/Tmem108/Nr3c2/Grid1/Grm5/Gabrb3/Chrm1/Igsf9b/Ppp1r9a/Shank3/P2rx6/Kcnd2/Ppp3ca/Nlgn1/Gabrb2/Ntrk2/Gabra5/Mecp2/Nos1/Cx3cl1/Gria1/Syne1/Kctd16/Tbc1d24/Gsk3b/Adora1/Gabra2/Ptk2b/Atxn1/Nlgn3/Baiap2/Slc8a2/Grm1/Erbb4/Prkcz/Rgs7bp/Chrna5/Slc17a7/Stx1b/Dlg4/Pten/Grin1/Gabrg3/Plk2/Sv2c/Kcnk1/Shank1/Gabra1/Dpp6/Nlgn2,55
GO:0007409,axonogenesis,95/967,499/17130,0.1903807615230461,3.37251545490153,13.155834349233587,2.3836030112855548e-26,1.3896405555794785e-23,1.132085977570571e-23,Bdnf/Ntrk3/Adcy1/Cdkl5/Arhgap32/Epha4/Plxna4/Plppr4/Map1a/Slitrk5/Ptprj/Foxp1/Prkca/Nrn1/Lgi1/Celsr2/Slitrk3/Slitrk4/Dcc/Map2/Map1b/Robo1/Bcl11b/Tiam1/Plxnd1/Dscaml1/Pcdhac2/Sema3e/Slitrk1/Chl1/Arhgap35/Ephb2/Robo2/Epha6/Ntrk2/Mycbp2/Stxbp5/Syngap1/Trpc5/Megf9/Unc5c/Sipa1l1/Tgfb2/Kalrn/Nell2/Cdh2/Nova2/Gsk3b/Fstl4/Rtn4rl1/Atp8a2/Lmtk2/Ank3/Nlgn3/Usp9x/Cyfip2/Nr4a2/Matn2/Cdk5r1/Cntn1/Arhgef28/Ttc3/Igf1r/Amigo1/Slit3/Neo1/Col25a1/Cdh11/Nrp1/Ttl/Adarb1/Fgf13/Pten/Grin1/Slc25a46/Dcx/Lrrc4c/Nefl/Fgfr3/Cck/B4galt6/Trak1/Epha5/Braf/Atl1/Ptpro/Dclk1/Pak3/Ece1/Efna3/Bcl11a/Epha3/Bmpr2/Fzd3/Snap91,95
