ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0045667,regulation of osteoblast differentiation,35/669,150/17130,0.23333333333333334,5.974588938714499,12.336300577172016,5.890492645572325e-18,2.696731394303925e-14,1.8217862956837826e-14,Cebpd/Id1/Id3/Nfatc1/Bmp2/Tnfaip6/Bambi/Fzd1/Tob1/Id2/Jag1/Hey1/Pdlim7/Rest/Ptprb/Jund/Tnf/Ptch1/Clic1/Cited1/Atf4/Cebpb/Chrd/Cebpa/Tent5a/Wwtr1/Nog/Gdpd2/Tmem64/Vegfc/Vegfa/Pparg/Ccn4/Fermt2/Axin2,35
GO:0001649,osteoblast differentiation,42/669,221/17130,0.19004524886877827,4.866181036057058,11.661926961970474,9.17411598674579e-18,2.696731394303925e-14,1.8217862956837826e-14,Ccn2/Cebpd/Junb/Spp1/Id1/Id3/Epha2/Nfatc1/Bmp2/Tnfaip6/Bambi/Fzd1/Tob1/Id2/Jag1/Hey1/Pdlim7/Rest/Ptprb/Jund/Tnf/Ptch1/Clic1/Lox/Ccl3/Cited1/Atf4/Cebpb/Chrd/Cebpa/Tent5a/Wwtr1/Nog/Gdpd2/Tmem64/Vegfc/Vegfa/Pparg/Ccn4/Igfbp3/Fermt2/Axin2,42
GO:0001503,ossification,59/669,432/17130,0.13657407407407407,3.497031224049161,10.597040012722132,3.239162241446339e-17,5.531954875600616e-14,3.7371314035937233e-14,Ccn2/Cebpd/Junb/Spp1/Csf1/Id1/Id3/Epha2/Nfatc1/Smad7/Srgn/Bmp2/Tnfaip6/Bambi/Sbno2/Fzd1/S1pr1/Tob1/Mn1/Id2/Stc1/Jag1/Hey1/Pdlim7/Tob2/Rest/Ptprb/Jund/Tnf/Ptch1/Clic1/Tgfb1/Lox/Rsad2/Lrp4/Ccl3/Cited1/Atf4/Cebpb/Chrd/Cebpa/Tent5a/Wwtr1/Nog/Bmp2k/Gdpd2/Tmem64/Ccr1/Vegfc/Vegfa/Pparg/Ccn4/Igfbp3/Inppl1/Fermt2/Egr2/Axin2/Intu/P2ry2,59
GO:0030856,regulation of epithelial cell differentiation,36/669,168/17130,0.21428571428571427,5.486867392696989,11.781763531520362,3.763874724001099e-17,5.531954875600616e-14,3.7371314035937233e-14,Apold1/Btg1/Hes1/Cdh5/Id1/Wnt9a/Bmp2/Maff/Dll1/Hes5/Mycn/Serpine1/Spry1/Il1a/Atoh8/Jag1/Hey1/Acvrl1/Tnf/Gdnf/Ptch1/Ccnd1/Zfp36l1/Sfrp4/Il1b/Cited1/Prkch/Cebpb/Errfi1/Zfp36/S1pr3/Wwtr1/Vegfa/Prkx/Etv4/Rock1,36
GO:0030099,myeloid cell differentiation,61/669,471/17130,0.12951167728237792,3.316195862252816,10.275719177034865,1.209908202036914e-16,1.4226100639550035e-13,9.610491886916373e-14,Hspa1b/Hspa1a/Hmox1/Junb/Klf2/Csf1/Cited2/Epha2/Dab2/Nfatc1/Bmp2/Tnfaip6/Jun/Sbno2/Dll1/Hmgb2/Myc/Ets1/Gpr183/Gpr137b/Id2/Jag1/Ccl9/Tjp2/Ifi207/Trib1/Tob2/Anxa2/Tnf/Tgfb1/Zfp36l1/Plscr1/Lox/Ccl3/Fas/Itpkb/Stat3/F2rl1/Cebpb/Srf/Cebpa/Sirt1/Zfp36/Rab7b/Cd74/Tmem64/Spi1/Ccr1/Vegfa/Chuk/Alas1/Prkx/Socs1/Pparg/Ccn4/Irf8/Adgrf5/Rarg/Tlr2/Ripk1/Arid3c,61
GO:1903706,regulation of hemopoiesis,56/669,416/17130,0.1346153846153846,3.4468782338737496,10.185205132560387,4.138772762160363e-16,4.055307511456796e-13,2.7395771283563244e-13,Hspa1b/Hspa1a/Hspb1/Csf1/Zfp36l2/Smad7/Dusp10/Tnfaip6/Jun/Il4ra/Nfkbiz/Dll1/Nfkbid/Hmgb2/Myc/Ets1/Ctla2a/Gpr137b/Id2/Malt1/Jag1/Hsp90aa1/Ccl9/Prdm1/Tjp2/Tcim/Trib1/Tob2/Tnf/Tgfb1/Zfp36l1/Tnfsf18/Lox/Ccl3/Fas/Il6/Cd83/Itpkb/Stat3/Cebpb/Cebpa/Zfp36/Rab7b/Irf1/Cd74/Tmem64/Rhoh/Spi1/Ccr1/Socs1/Lilrb4a/Sox4/Rarg/Ripk2/Il18/Ripk1,56
GO:1901342,regulation of vasculature development,45/669,308/17130,0.1461038961038961,3.741045949566129,9.785968555526942,1.799305309912813e-14,1.511159416711061e-11,1.0208690126768487e-11,Hmox1/Btg1/Klf2/Ccl2/Hspb1/Angpt2/Cdh5/Id1/Epha2/Klf4/Pxn/C3ar1/Thbs1/Adm/Dll1/Serpine1/Ets1/Il1a/C5ar1/Itga5/Cemip2/Gab1/Gpr4/Acvrl1/Tnf/Ppp1r15a/Tgfb1/Kdr/Il1b/Tnfrsf12a/Gadd45a/Stat3/Cd36/Sirt1/Tgm2/Ccl24/Shc1/Vegfc/Vegfa/Stard13/Nfe2l2/Pparg/Nr2e1/Rock1/Thbs2,45
GO:0071216,cellular response to biotic stimulus,41/669,263/17130,0.155893536121673,3.9917134136984433,9.856662734311827,2.9159451182858037e-14,1.9927458713102944e-11,1.3462064211517788e-11,Cd14/Ccl2/Litaf/Pxn/Map2k3/Txnip/Sbno2/Nfkbiz/Hmgb2/Serpine1/Il1a/Malt1/Hspa5/Prdm1/Cd180/Trib1/Ccr5/Tnf/Vim/Plscr1/Il6/Il1b/Efnb2/Cebpb/Ptafr/Tnfaip3/Cd36/Cd68/Irf3/Zfp36/Cd300lb/Nr1d1/Irf5/Spi1/Ddit3/Lilrb4a/Irf8/Tlr2/Ripk2/Il18/Clec7a,41
GO:0050673,epithelial cell proliferation,58/669,487/17130,0.11909650924024641,3.049511514626937,9.25017593094851,3.050640047932072e-14,1.9927458713102944e-11,1.3462064211517788e-11,Hmox1/Plau/Ccl2/Apln/Hes1/Id1/Dll4/Epha2/Dab2/Nfatc1/Gas1/Dusp10/Jun/Fzd7/Thbs1/Nfkbiz/Hes5/Mycn/Tgfb3/Hmgb2/Myc/Id2/Atoh8/Jag1/Hey1/C5ar1/Prdm1/Acvrl1/Tnf/Ptch1/Ccnd1/Wnt7a/Tgfb1/Zfp36l1/Six4/Il6/Kdr/Efnb2/Stat3/Cebpb/Tnfaip3/Sirt1/Errfi1/Zfp36/Nog/Nr1d1/Ccl24/Vegfc/Vegfa/Chuk/Prkx/Pparg/Igfbp3/Etv4/Zfas1/Il18/Intu/Nr4a1,58
GO:0045765,regulation of angiogenesis,44/669,301/17130,0.1461794019933555,3.7429793066460086,9.6789351477083585,3.481185696045012e-14,2.0465890707048627e-11,1.3825803822292455e-11,Hmox1/Btg1/Klf2/Ccl2/Hspb1/Angpt2/Cdh5/Id1/Epha2/Klf4/Pxn/C3ar1/Thbs1/Adm/Dll1/Serpine1/Ets1/Il1a/C5ar1/Itga5/Cemip2/Gab1/Gpr4/Acvrl1/Tnf/Ppp1r15a/Kdr/Il1b/Tnfrsf12a/Gadd45a/Stat3/Cd36/Sirt1/Tgm2/Ccl24/Shc1/Vegfc/Vegfa/Stard13/Nfe2l2/Pparg/Nr2e1/Rock1/Thbs2,44
