ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007416,synapse assembly,107/2201,318/17130,0.33647798742138363,2.6187496249560662,11.187787712529088,3.684313720782173e-22,2.857185290466575e-18,2.020167386479404e-18,Npas4/Ntrk3/Plxna4/Slitrk3/Prkca/Nlgn1/Trim47/Efnb1/Gabrb3/Htr4/Slitrk4/Fzd5/Slitrk5/Epha7/Bsn/Map1b/Sptbn2/Fam107a/Samd4/Arf6/Tpbg/Large1/Gabra4/Dcx/Ptk2b/Pum2/Tlr2/Opcml/Ppp1r9a/Nptx1/Clstn2/Arhgef9/Ogt/Lrtm2/Cdh9/Plxna2/Six4/Lrfn5/Dock4/Wnt7a/Shank3/Add2/Amigo2/Nrg1/Robo1/S1pr2/Ptpn1/Nrxn3/Mdga1/Pcdh17/Slitrk1/Usp9x/Erbb4/Cadm1/Lrrn1/Slit2/Nptxr/Vldlr/Lrrtm1/Srgap3/Nlgn3/Pcdhb16/Iqgap1/Sema4c/Icam5/Lrrtm2/Cdh2/Adgrb3/Sipa1l1/Magi2/Elavl2/Mycbp2/Ppp1r9b/Pclo/Gabra5/Gabrg3/Thbs2/Plxna1/Gsk3b/Lrrc4/Adgrl4/Flrt2/Lrrc15/Cyfip2/Gabrg2/Slc25a46/Ephb3/Adgrl1/Nrg2/Nrxn1/Mecp2/Neurl1a/Sdk1/Cbln1/Gpm6a/Ptprs/Gabrb2/Mdga2/Iqsec2/Agrn/Ntn1/Dkk1/Ntng2/Nrg3/Podxl/Gabre/Syndig1,107
GO:0050803,regulation of synapse structure or activity,127/2201,422/17130,0.3009478672985782,2.3422248827008834,10.719633686336193,3.1299622006982854e-21,9.829238809669127e-18,6.949744471759e-18,Arc/Grin2b/Ntrk3/Slitrk3/Prkca/Nlgn1/Dact1/Kalrn/Trim47/Plppr4/Htr4/Gpr158/Epha4/Slitrk4/Grm5/Slitrk5/Epha7/Map1b/Fam107a/Samd4/Arf6/Tpbg/Cdkl5/Cd44/Tnf/Dcx/Ptk2b/Pum2/Tlr2/Opcml/Ppp1r9a/Slc17a7/Strn/Clstn2/Grid1/Ogt/Lrtm2/Ank3/Six4/Lrfn5/Dock4/Ror2/Wnt7a/Shank3/Amigo2/Pak3/Nedd4l/Nrg1/Itpka/Robo1/S1pr2/Ptpn1/Mdga1/Efna1/Camk2b/Slitrk1/Dab1/Usp9x/Opa1/Myo5b/Erbb4/Lrrn1/Ppfia2/Slit2/Vldlr/Lrp8/Mrtfb/Lrrtm1/Srgap3/Nlgn3/Iqgap1/Sema4c/Slc30a1/Syngap1/Abi2/Frmpd4/Neurod2/Icam5/Lrrtm2/Ube3a/Cdh2/Adgrb3/Sipa1l1/Magi2/Elavl2/Mycbp2/Ppp1r9b/Cd47/Cacna2d3/Cap2/Thbs2/Snap91/Actr2/Mink1/Gsk3b/Zfp804a/Adgrl4/Prmt8/Flrt2/Lrrc15/Adgrg1/Cyfip2/Ephb3/Adgrl1/Nrg2/Rbmx/Nrxn1/Mecp2/Neurl1a/Nrn1/Pafah1b1/Cbln1/Cdh8/Nf1/Gpm6a/Ptprs/Mdga2/Iqsec2/Chrna7/Dgkb/Agrn/Ntn1/Ptpro/Dkk1/Ntng2/Podxl/Syndig1,127
GO:0050807,regulation of synapse organization,125/2201,413/17130,0.3026634382566586,2.3555768729380104,10.707317292252961,3.802413466022873e-21,9.829238809669127e-18,6.949744471759e-18,Arc/Grin2b/Ntrk3/Slitrk3/Prkca/Nlgn1/Dact1/Kalrn/Trim47/Plppr4/Htr4/Gpr158/Epha4/Slitrk4/Grm5/Slitrk5/Epha7/Map1b/Fam107a/Samd4/Arf6/Tpbg/Cdkl5/Cd44/Tnf/Dcx/Ptk2b/Pum2/Tlr2/Opcml/Ppp1r9a/Strn/Clstn2/Grid1/Ogt/Lrtm2/Ank3/Six4/Lrfn5/Dock4/Ror2/Wnt7a/Shank3/Amigo2/Pak3/Nedd4l/Nrg1/Itpka/Robo1/S1pr2/Ptpn1/Mdga1/Efna1/Camk2b/Slitrk1/Dab1/Usp9x/Opa1/Myo5b/Erbb4/Lrrn1/Ppfia2/Slit2/Vldlr/Lrp8/Mrtfb/Lrrtm1/Srgap3/Nlgn3/Iqgap1/Sema4c/Slc30a1/Abi2/Frmpd4/Neurod2/Icam5/Lrrtm2/Ube3a/Cdh2/Adgrb3/Sipa1l1/Magi2/Elavl2/Mycbp2/Ppp1r9b/Cd47/Cacna2d3/Cap2/Thbs2/Snap91/Actr2/Mink1/Gsk3b/Zfp804a/Adgrl4/Prmt8/Flrt2/Lrrc15/Adgrg1/Cyfip2/Ephb3/Adgrl1/Nrg2/Rbmx/Nrxn1/Mecp2/Neurl1a/Nrn1/Pafah1b1/Cbln1/Cdh8/Nf1/Gpm6a/Ptprs/Mdga2/Iqsec2/Chrna7/Dgkb/Agrn/Ntn1/Ptpro/Dkk1/Ntng2/Podxl/Syndig1,125
GO:0099173,postsynapse organization,102/2201,326/17130,0.3128834355828221,2.43511733372728,10.045013865020731,1.343688612134187e-18,2.605076296775155e-15,1.84191420542289e-15,Arc/Grin2a/Grin2b/Ntrk3/Slitrk3/Nlgn1/Dact1/Kalrn/Trim47/Plppr4/Iqsec3/Htr4/Epha4/Frrs1l/Grm5/Epha7/Epha5/Map1b/Sptbn2/Fam107a/Cnksr2/Samd4/Arf6/Htr1a/Cdkl5/Cd44/Dcx/Lgmn/Ptk2b/Pum2/Ppp1r9a/Nptx1/Grid1/Arhgef9/Dock4/Ror2/Wnt7a/Shank3/Pak3/Gdnf/Itpka/S1pr2/Ptpn1/Nrxn3/Efna1/Camk2b/Usp9x/Opa1/Myo5b/Erbb4/Cadm1/Ppfia2/Nptxr/Lrp8/Dgkz/Lrrtm1/Srgap3/Nlgn3/Iqgap1/Sema4c/Slc30a1/Syngap1/Abi2/Nos1ap/Frmpd4/Lrrtm2/Ube3a/Cdh2/Sipa1l1/Magi2/Ppp1r9b/Abl2/Myo9a/Actr2/Mink1/Lrrc4/Zfp804a/Itga3/Flrt2/Cyfip2/Ephb3/Rbmx/Nrxn1/Neurl1a/Pafah1b1/Enah/Cbln1/Nf1/Shisa7/Ptprs/Chrdl1/Ophn1/Chrna7/Dgkb/Sh3gl2/Agrn/Igf1r/Gphn/Arhgap39/Dlg2/Ntng2/Syndig1,102
GO:0048762,mesenchymal cell differentiation,81/2201,256/17130,0.31640625,2.4625347853248525,9.052693810516905,2.4114203483279253e-15,3.718015715982805e-12,2.6288158898577395e-12,Folr1/Smad7/Glipr2/Efnb1/Tcf7l2/Plaur/Nog/Pdpn/Il1b/Epha4/Rgcc/Tgfb1/Trip10/Wnt11/Spry1/Zfp703/Bmp2/Sema4b/Fam83d/Trim62/Vasn/Nfatc1/Snai1/Hey1/Dab2/Sox9/Pawr/Msx1/Dicer1/Rdh10/Usf3/Gdnf/Crb2/Efna1/Erbb4/Rflnb/Has2/Sema4c/Timp3/Cul5/Gja1/Cdh2/Edn1/Sema6a/Sema3e/Hes1/Agt/Bambi/Kbtbd8/Cited2/Wnt4/Slc39a10/Gsk3b/Fn1/Sema4f/Il6/Epha3/Ret/Tgfb3/Mapk1/Sema5a/Tcof1/Wwtr1/Polr1b/Hey2/Ovol2/Gbx2/Zeb2/Axin2/Rbpj/Eng/Ext1/Tgfbr3/Sfrp1/Spsb3/Ppp3r1/Zfp64/Osr1/Tgfbr3l/Spred2/Shh,81
GO:0043410,positive regulation of MAPK cascade,127/2201,493/17130,0.25760649087221094,2.004906491885949,8.69305185270611,3.1324295813574383e-15,3.718015715982805e-12,2.6288158898577395e-12,Gadd45b/Gadd45g/Jun/Ntrk3/Akap12/C5ar1/Prkca/Ccl3/Lpar2/Icam1/Thbs1/Glipr2/Ccn2/Prkce/Rell1/Gab1/Il1b/Epha4/Tgfb1/Grm5/Pdgfra/Fgfr3/Gadd45a/Bmp2/Cd74/Tpbg/Ksr1/Ptprj/Sh3rf1/Clec7a/Cd44/Cdon/Tnf/Ltbr/Ngfr/Ptk2b/Myh9/Tlr2/Dab2/Map2k3/Gdf15/Pecam1/Bcar3/Lif/Spi1/Wnt7a/Nrg1/Robo1/Ptpn1/Zfp622/Efna1/Laptm5/Ripk1/Gpr101/Gpr37/Il1a/Erbb4/Zc3h12a/Adrb1/Iqgap1/Sema4c/Ptprc/Esr2/Kl/Nkd1/Map2k4/Flt1/Gnai2/Cdh2/Edn1/Agt/Ccr1/Nr2c2/Tnik/Wnt4/Kit/Abl2/Mink1/Osm/Htr2c/Mturn/Il11/Taok1/Il6/Cd36/Myd88/Ret/Drd1/Tgfb3/Itpripl1/Ksr2/Adra1b/Braf/Dcc/Nrxn1/Prok1/Adra2b/Slco3a1/Hgf/Fgf18/Ccdc88c/F2rl1/Pdgfa/Cavin3/Ndst1/Pja2/Fgf2/Gpnmb/Trpv4/Adora1/Dsc2/Chrna7/Tenm1/Adra2a/Map3k11/Fgfbp3/Mapkbp1/Adra1d/Cd84/Igf1r/Dkk1/Tirap/Gpr183/Jak2/Ar/Pdgfd/Garem1,127
GO:0060485,mesenchyme development,93/2201,316/17130,0.29430379746835444,2.290515243358888,8.890615440363856,3.356042554723357e-15,3.718015715982805e-12,2.6288158898577395e-12,Folr1/Smad7/Thbs1/Glipr2/Efnb1/Tcf7l2/Plaur/Nog/Pdpn/Il1b/Epha4/Rgcc/Tgfb1/Trip10/Wnt11/Spry1/Zfp703/Myc/Bmp2/Sema4b/Fam83d/Trim62/Vasn/Nfatc1/Snai1/Hey1/Dab2/Sox9/Pawr/Msx1/Six4/Rbm24/Dicer1/Rdh10/Usf3/Gdnf/Crb2/Robo1/Efna1/Zfp36l1/Erbb4/Rflnb/Has2/Sema4c/Timp3/Cul5/Adamts5/Gja1/Cdh2/Edn1/Sema6a/Sema3e/Nckap1/Sox4/Hes1/Agt/Bambi/Kbtbd8/Cited2/Wnt4/Slc39a10/Gsk3b/Fn1/Sema4f/Il6/Epha3/Ret/Tgfb3/Mapk1/Sema5a/Ptk7/Tcof1/Meox1/Wwtr1/Bmpr2/Polr1b/Hey2/Ovol2/Gbx2/Zeb2/Axin2/Rbpj/Eng/Ext1/Tgfbr3/Sfrp1/Spsb3/Ppp3r1/Zfp64/Osr1/Tgfbr3l/Spred2/Shh,93
GO:0030099,myeloid cell differentiation,122/2201,471/17130,0.25902335456475584,2.015933695454006,8.584441021687084,7.257456790642612e-15,7.035197176429181e-12,4.974222687165443e-12,Ccl9/Zfp36/Hspa1a/Hspa1b/Jun/Hmox1/Csf1/Junb/Sbno2/Trib1/Prkca/Klf2/Ccl3/Klf10/Rara/Cebpb/Tnfaip6/Pla2g3/Epha2/Runx1/Tgfb1/Fgfr3/Myc/Tfrc/Bmp2/Cd74/Stat3/Plscr1/Rab7b/Tjp2/Anxa2/Ptprj/Fas/Tnf/Large1/Ltbr/Cbfa2t3/Ptk2b/Nfatc1/Myh9/Cebpa/Tlr2/Exoc6/Dab2/Bcl6/Nfkbia/Irf8/Tob2/Lif/Hmgb2/Socs1/Ror2/Hmga1/Spi1/Fos/Srf/Fam20c/Gpr137b/Gpr68/Zfp36l1/Itpkb/Ripk1/Dll1/Ireb2/Cdkn2b/Jmjd6/Pparg/Ppp3ca/Eif6/Nfix/Batf3/Nrros/Irf9/Ptbp3/Ccr1/Cited2/Hbb-b1/Zbtb16/Sirt1/Kit/Tyrobp/Hbb-bt/Gsk3b/Slc25a38/Rabgap1l/Mturn/Cdk6/Myd88/Camk4/Foxp1/Ptpn2/Mxra7/Zfp385a/Rps19/Ubash3b/Tpm4/Rarg/Il17c/Pafah1b1/Dlk1/Rcor1/F2rl1/Ncor1/Fcer1g/Ocstamp/Nf1/Rbpj/Mafb/Tcirg1/Ifi207/C1qc/Hsf1/Tgfbr3/Sfrp1/Id2/Hcls1/Tirap/Gpr183/Jak2/Calca/Gata2/Ucp2,122
GO:1901888,regulation of cell junction assembly,93/2201,321/17130,0.2897196261682243,2.2548374358299323,8.714243901553449,9.735471457130582e-15,8.388731238894185e-12,5.9312363532389715e-12,Ntrk3/Slitrk3/Prkca/Nlgn1/Trim47/Htr4/Epha2/Il1b/Slitrk4/Fzd5/Slitrk5/Epha7/Map1b/Fam107a/Samd4/Arf6/Tpbg/Ptprj/Enpp2/Tnf/Dcx/Ptk2b/Myh9/Snai1/Pum2/Tlr2/Opcml/Ppp1r9a/Cldn1/Dlc1/Clstn2/Ogt/Lrtm2/Six4/Lrfn5/Dock4/Wnt7a/Amigo2/Nedd4l/Nrg1/Robo1/S1pr2/Ptpn1/Mdga1/Slitrk1/Vcl/Usp9x/Lrrn1/Slit2/Vldlr/Lrrtm1/Srgap3/Nlgn3/Iqgap1/Sema4c/Prkch/Cul5/Icam5/Lrrtm2/Gja1/Adgrb3/Sipa1l1/Elavl2/Mycbp2/Ppp1r9b/Agt/Wnt4/Thbs2/Gsk3b/Cldn5/Adgrl4/Myo1c/Flrt2/Epha3/Lrrc15/Cyfip2/Ephb3/Adgrl1/Nrg2/Nrxn1/Neurl1a/Phldb2/Cbln1/Ptprs/Mdga2/Iqsec2/Nphp4/Agrn/Ntn1/Dkk1/Ntng2/Podxl/Syndig1,93
GO:0002573,myeloid leukocyte differentiation,80/2201,263/17130,0.3041825095057034,2.367399540132985,8.580548456579791,4.060094081686761e-14,2.811862813227574e-11,1.9881222157660503e-11,Ccl9/Jun/Csf1/Junb/Sbno2/Trib1/Prkca/Ccl3/Klf10/Rara/Cebpb/Tnfaip6/Pla2g3/Epha2/Runx1/Tgfb1/Fgfr3/Myc/Tfrc/Bmp2/Cd74/Tjp2/Anxa2/Tnf/Large1/Ltbr/Cbfa2t3/Nfatc1/Myh9/Cebpa/Tlr2/Tob2/Lif/Socs1/Ror2/Spi1/Fos/Fam20c/Gpr137b/Gpr68/Zfp36l1/Ripk1/Ireb2/Pparg/Ppp3ca/Nfix/Batf3/Nrros/Ccr1/Cited2/Sirt1/Kit/Tyrobp/Gsk3b/Cdk6/Myd88/Camk4/Foxp1/Ptpn2/Ubash3b/Il17c/Pafah1b1/Dlk1/F2rl1/Fcer1g/Ocstamp/Nf1/Rbpj/Mafb/Tcirg1/Ifi207/C1qc/Hsf1/Sfrp1/Id2/Hcls1/Gpr183/Calca/Gata2/Ucp2,80
