category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,mmu04010,MAPK signaling pathway,80/1132,294/7649,0.272108843537415,1.8386577245739286,6.111395227407084,1.37498710234625e-8,2.428774417154202e-6,1.6317153205029778e-6,193740/17873/12475/15511/23882/16476/53859/12977/11601/15370/11911/18750/16478/19252/12288/12290/13198/21937/70686/13836/16176/21803/18595/14184/13537/17869/19697/13197/14102/23797/21926/240672/63953/18053/18018/18034/225028/12296/12293/15507/26397/17164/26410/14281/20807/14573/81905/13636/16175/13869/19055/12289/26398/14254/12294/16177/16590/19419/216965/102626/17874/19713/21809/26413/26414/109880/12287/15234/14172/18590/18015/14173/19056/18752/26403/16001/19058/71785/16151/75590,80
Environmental Information Processing,Signal transduction,mmu04668,TNF signaling pathway,41/1132,114/7649,0.35964912280701755,2.430173268861199,6.411693394904365,1.4286908336201189e-8,2.428774417154202e-6,1.6317153205029778e-6,12702/16476/53859/12977/16477/11911/15894/14825/231991/12608/20293/21937/16176/19697/12051/15945/14102/23797/21926/26397/18035/26410/16878/21929/14281/19766/26398/13614/16362/16193/26413/20296/208647/26414/217344/20339/67384/19225/20310/21938/16151,41
Human Diseases,Cardiovascular disease,mmu05417,Lipid and atherosclerosis,58/1132,193/7649,0.3005181347150259,2.030621212398616,6.043632866632141,3.4240789223174644e-8,3.4343502926444e-6,2.3072879675041324e-6,193740/12475/15511/16476/18019/11911/18750/20302/15894/14825/13198/20293/21937/16176/19697/20848/14102/23797/21926/225164/18018/24088/26397/14828/18035/22433/14281/13057/12323/18024/22359/19016/19055/26398/75600/56637/13666/16803/16193/12491/17874/18607/26413/20296/26414/20339/18797/22324/19056/20310/216799/16438/117149/19058/16452/12322/16151/226641,58
Environmental Information Processing,Signal transduction,mmu04020,Calcium signaling pathway,69/1132,247/7649,0.2793522267206478,1.8876017510479108,5.9096992410612925,4.578360180597986e-8,3.4343502926444e-6,2.3072879675041324e-6,14811/14812/20541/18213/12062/18019/18750/67972/12288/227541/12290/15562/108071/18595/14184/12669/233011/107589/19229/18018/21425/18799/11515/12671/14573/18573/228550/269717/12323/14682/320404/13869/11554/19055/12289/320707/14254/15465/109305/20191/75600/14675/15560/18440/20192/12326/19713/13488/242443/14813/11548/65973/12287/15234/14172/12426/18797/18590/14173/19056/11441/18752/16438/11550/19058/15566/12322/71785/213788,69
Organismal Systems,Nervous system,mmu04725,Cholinergic synapse,39/1132,110/7649,0.35454545454545455,2.395687439768712,6.144703526946907,5.0505151362417644e-8,3.4343502926444e-6,2.3072879675041324e-6,11911/18750/12672/12288/231991/16519/226922/12669/16536/110862/23797/16522/11515/12671/14281/12323/14682/12289/14678/30955/14708/60613/12326/26413/14702/208647/12287/18797/14707/11441/14677/11438/18752/16438/16452/224129/16515/12322/213788,39
Environmental Information Processing,Signaling molecules and interaction,mmu04517,IgSF CAM signaling,77/1132,292/7649,0.2636986301369863,1.7818293479839296,5.677096925523117,1.1044414287287078e-7,6.258501429462678e-6,4.204627895335606e-6,18213/243743/16485/16402/386750/18750/192167/380928/58220/15894/18858/245446/75409/67951/20273/20743/11845/21873/16536/13449/110862/23797/107589/17886/22145/12524/19303/19294/11735/18845/238205/11867/18481/16492/19876/12805/20564/76965/22330/239857/54725/12927/327814/20563/99167/259302/245537/29875/74144/109676/12558/50791/243911/74053/16490/17756/18844/17698/66713/56637/71740/18607/26413/22153/26414/13176/22253/434782/22324/227613/19280/18208/18752/242894/12523/67771/93742,77
Organismal Systems,Development and regeneration,mmu04360,Axon guidance,53/1132,180/7649,0.29444444444444445,1.9895808794660386,5.599246803273041,2.7889309455580913e-7,1.2966908798724025e-5,8.711514579947719e-6,243743/18019/18750/58220/13641/50780/13836/13838/223881/13841/13839/20352/18845/18481/19876/13636/20564/12323/22419/22066/20563/259302/20353/19055/18007/22067/14678/20358/20349/22417/18844/56637/20355/192198/18607/13837/26413/20356/13845/12168/13176/22253/13800/19056/14677/18208/14365/19058/93742/171171/12322/20423/57764,53
Human Diseases,Substance dependence,mmu05031,Amphetamine addiction,27/1132,67/7649,0.40298507462686567,2.722997204788777,5.903415846942649,3.051037364405653e-7,1.2966908798724025e-5,8.711514579947719e-6,11838/14811/16476/14812/11911/18750/12288/231991/14800/53623/14281/12323/19055/12289/75600/93759/12326/13488/242443/208647/19049/14813/19056/18752/19058/224129/12322,27
Environmental Information Processing,Signaling molecules and interaction,mmu04082,Neuroactive ligand signaling,55/1132,191/7649,0.2879581151832461,1.945752317170185,5.51640572730767,3.7259057275016466e-7,1.4075643859450666e-5,9.456392314243944e-6,14811/14812/14400/18750/70839/12672/14402/15562/108071/74191/12669/15550/14397/14800/72961/53623/11515/18442/12671/14806/14682/11554/14678/70155/15465/110886/14407/14708/15560/18440/20510/13488/14406/14702/242443/14813/11548/11552/18797/14664/14707/11539/14401/11441/14677/11438/11551/18752/11550/15552/15566/224129/213788/108069/14404,55
Environmental Information Processing,Signaling molecules and interaction,mmu04519,Cadherin signaling,92/1132,390/7649,0.2358974358974359,1.5939748119960133,5.018052799626123,1.5951257008769265e-6,5.42342738298155e-5,3.643602916739927e-5,216795/56332/14400/21416/14402/14367/18595/22411/19697/71602/75599/14397/19229/53883/12552/270120/26397/18035/16475/12565/11867/93880/22352/22421/16480/279653/83767/219228/93708/22330/93890/22419/18016/93887/353237/12562/329165/75723/14609/12558/50884/110886/14407/22417/21415/66713/93882/56637/93878/22323/93883/17913/216965/29806/93723/76884/14406/26413/97064/93888/17921/19049/26414/93710/93893/93714/12006/14370/13800/93885/434782/12564/93711/22324/227485/21679/93717/93881/235281/13506/14401/13346/242894/74127/14365/16001/67771/246177/16151/353236/93876/14404,92
Human Diseases,Substance dependence,mmu05033,Nicotine addiction,18/1132,39/7649,0.46153846153846156,3.118646371296548,5.528047183895565,2.8629548009726465e-6,8.849133021188181e-5,5.945083175225496e-5,14811/14812/14400/14402/14397/14800/72961/53623/110886/14407/14406/242443/14813/12287/14401/11441/11438/14404,18
Organismal Systems,Endocrine system,mmu04924,Renin secretion,26/1132,71/7649,0.36619718309859156,2.474418951873787,5.2017092191026,4.306337123384088e-6,1.2201288516254914e-4,8.197150489248659e-5,12288/16531/18573/14682/11826/11554/19055/12289/19219/14678/13614/11606/109305/75600/19217/13030/18576/18797/19056/19092/11539/229927/14677/16438/19058/224129,26
Organismal Systems,Environmental adaptation,mmu04713,Circadian entrainment,31/1132,93/7649,0.3333333333333333,2.2523557126030624,5.064032606327134,5.277202373950168e-6,1.380191390110044e-4,9.272493240058189e-5,14811/14812/18626/18750/12288/16519/14800/53623/16522/11515/14281/12323/14682/12289/70729/14678/20191/75600/14708/20192/26413/14702/14813/18797/14707/19092/14677/18752/16438/224129/12322,31
Human Diseases,Cancer: specific types,mmu05221,Acute myeloid leukemia,25/1132,68/7649,0.36764705882352944,2.484215859488672,5.123438984227495,6.051102255514009e-6,1.3884323015932163e-4,9.327857877576716e-5,12475/18712/19401/13685/21416/12443/12394/17869/19697/20848/23797/12606/12045/12047/12044/20375/16480/19015/235320/16590/21415/26413/72508/109880/16151,25
