category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,mmu04517,IgSF CAM signaling,54/513,292/7649,0.18493150684931506,2.7573900504686373,8.209456623385002,3.542221961226561e-12,1.1157999177863667e-9,9.247063646149339e-10,18213/243743/16485/386750/18750/192167/380928/245446/75409/20273/20743/16536/110862/23797/107589/22145/11735/18845/238205/18481/16492/19876/12805/20564/76965/239857/54725/327814/20563/99167/259302/245537/109676/12558/50791/243911/74053/16490/17756/18844/66713/56637/18607/26413/22153/26414/13176/22253/227613/19280/18752/242894/67771/93742,54
Environmental Information Processing,Signal transduction,mmu04020,Calcium signaling pathway,46/513,247/7649,0.1862348178137652,2.7768228488450095,7.610676603609453,1.2330585444079114e-10,1.692345182945916e-8,1.4025116303110684e-8,14811/14812/20541/18213/18750/67972/12288/227541/12290/15562/108071/18595/14184/12669/107589/19229/11515/12671/18573/228550/269717/12323/14682/13869/19055/12289/320707/20191/75600/15560/18440/20192/12326/242443/65973/12287/19056/11441/18752/16438/11550/19058/15566/12322/71785/213788,46
Organismal Systems,Nervous system,mmu04724,Glutamatergic synapse,29/513,113/7649,0.25663716814159293,3.82654522244648,8.115773473761529,1.6117573170913486e-10,1.692345182945916e-8,1.4025116303110684e-8,14811/14812/18750/224997/12288/16519/108071/14800/72961/53623/11515/58234/14806/14682/19055/12289/14708/14660/20510/26557/26413/14702/242443/19056/14677/18752/16438/19058/224129,29
Environmental Information Processing,Signaling molecules and interaction,mmu04082,Neuroactive ligand signaling,38/513,191/7649,0.19895287958115182,2.9664533643591233,7.378946251263269,7.752376054880503e-10,6.104996143218396e-8,5.059445425290434e-8,14811/14812/14400/18750/70839/14402/15562/108071/74191/12669/15550/14397/14800/72961/53623/11515/12671/14806/14682/70155/110886/14407/14708/15560/18440/20510/14406/14702/242443/11539/14401/11441/14677/18752/11550/15566/224129/213788,38
Organismal Systems,Development and regeneration,mmu04360,Axon guidance,36/513,180/7649,0.2,2.982066276803119,7.214868115091199,1.8970708801919755e-9,1.0739977370370397e-7,8.900632875027097e-8,243743/18750/13838/13841/13839/18845/18481/19876/20564/12323/22066/20563/259302/19055/18007/22067/20349/18844/56637/20355/192198/18607/13837/26413/20356/12168/13176/22253/13800/19056/14677/14365/19058/93742/171171/12322,36
Organismal Systems,Nervous system,mmu04725,Cholinergic synapse,27/513,110/7649,0.24545454545454545,3.6598086124401914,7.533469951541381,2.045709975308647e-9,1.0739977370370397e-7,8.900632875027097e-8,18750/12288/16519/226922/12669/16536/110862/23797/16522/11515/12671/12323/14682/12289/30955/14708/12326/26413/14702/12287/11441/14677/18752/16438/224129/12322/213788,27
Environmental Information Processing,Signaling molecules and interaction,mmu04519,Cadherin signaling,58/513,390/7649,0.14871794871794872,2.2174338981356527,6.616746508239856,4.2840368017942795e-9,1.9278165608074258e-7,1.5976558298420773e-7,14400/14402/18595/75599/14397/19229/53883/12552/270120/12565/93880/279653/83767/219228/93708/93890/18016/93887/353237/329165/14609/12558/50884/110886/14407/66713/93882/56637/93878/93883/216965/93723/76884/14406/26413/93888/17921/19049/26414/93710/93893/93714/13800/93885/12564/93711/227485/93717/93881/235281/14401/242894/14365/16001/67771/16151/353236/93876,58
Organismal Systems,Environmental adaptation,mmu04713,Circadian entrainment,24/513,93/7649,0.25806451612903225,3.8478274539395083,7.40822857339825,5.588671996523072e-9,2.2005395986309598e-7,1.8236719146548975e-7,14811/14812/18750/12288/16519/14800/53623/16522/11515/12323/14682/12289/70729/20191/75600/14708/20192/26413/14702/14677/18752/16438/224129/12322,24
Organismal Systems,Nervous system,mmu04723,Retrograde endocannabinoid signaling,30/513,139/7649,0.2158273381294964,3.2180571332407757,7.075634026053532,6.910385349003362e-9,2.418634872151177e-7,2.0044158673132562e-7,14400/18750/12288/269060/14402/16519/108071/14397/14800/72961/53623/16522/11515/14682/12289/110886/14407/14708/14073/14406/26413/14702/26414/12287/19225/14401/14677/18752/16438/224129,30
Human Diseases,Substance dependence,mmu05033,Nicotine addiction,15/513,39/7649,0.38461538461538464,5.734742840005998,7.947701959394081,1.1420155926911523e-8,3.59734911697713e-7,2.9812617577621663e-7,14811/14812/14400/14402/14397/14800/72961/53623/110886/14407/14406/242443/12287/14401/11441,15
Organismal Systems,Nervous system,mmu04727,GABAergic synapse,22/513,86/7649,0.2558139534883721,3.8142708191667802,7.036768514853762,2.9008727789517065e-8,8.307044776088978e-7,6.884367934737065e-7,14400/18750/12288/14402/14397/18195/16522/11515/12289/110886/14407/14708/14660/14406/14702/14417/12287/14401/14677/18752/268566/224129,22
Organismal Systems,Endocrine system,mmu04921,Oxytocin signaling pathway,30/513,151/7649,0.1986754966887417,2.962317493513032,6.529654955467755,5.1558497617877653e-8,1.3534105624692885e-6,1.121623456950321e-6,18750/12288/227541/16519/107589/12296/12293/16522/11515/108097/81905/12323/14682/19055/12289/12294/20191/30955/75600/20192/12326/26413/19225/19056/14677/18752/16438/19058/224129/12322,30
Organismal Systems,Nervous system,mmu04726,Serotonergic synapse,26/513,120/7649,0.21666666666666667,3.2305717998700456,6.603031715449591,6.55836060277024e-8,1.5891412229789426e-6,1.3169825339975866e-6,14400/18750/12288/16508/14402/15562/16519/15550/16522/140492/14682/12289/14708/15560/26413/14702/109880/12287/19225/14401/14677/18752/16438/15566/224129/81906,26
