category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,mmu04668,TNF signaling pathway,34/619,114/7649,0.2982456140350877,3.68542924354505,8.571683225764918,7.691196528963232e-12,2.3765797274496387e-9,1.7649272034884047e-9,12702/16476/53859/12977/16477/11911/15894/14825/231991/12608/20293/21937/16176/19697/12051/15945/14102/21926/26397/18035/26410/16878/21929/14281/19766/13614/16362/16193/20296/208647/217344/20339/20310/21938,34
Environmental Information Processing,Signal transduction,mmu04064,NF-kappa B signaling pathway,28/619,101/7649,0.27722772277227725,3.425710583982469,7.281574980396955,3.545868785922075e-9,3.928014931106446e-7,2.91707462095454e-7,17873/12475/23882/20303/53859/18792/15894/14825/21937/16176/19697/13197/21926/17000/18034/12045/12047/18035/240354/12044/21929/19766/16177/105844/17874/217069/20310/117149,28
Human Diseases,Infectious disease: parasitic,mmu05144,Malaria,19/619,50/7649,0.38,4.695670436187399,7.779319657856787,3.813606729229559e-9,3.928014931106446e-7,2.91707462095454e-7,20969/15894/21825/20293/16176/21803/21926/24088/18613/21826/101488143/16193/12491/17874/21809/20296/20339/15234/110257,19
Human Diseases,Cancer: overview,mmu05202,Transcriptional misregulation in cancer,37/619,171/7649,0.21637426900584794,2.6737427845326835,6.568037810070902,1.9737109758714683e-8,1.2975829301755884e-6,9.636282704080336e-7,17873/12475/23882/80859/18792/19401/12608/13198/14011/12394/17125/17869/19697/13197/140780/18109/18053/12606/12045/12047/12524/20474/12044/20375/16480/17355/19016/14254/19696/18791/16193/17349/12575/18590/360198/11908/15902,37
Environmental Information Processing,Signaling molecules and interaction,mmu04060,Cytokine-cytokine receptor interaction,46/619,240/7649,0.19166666666666668,2.3684302638664514,6.391313129727488,2.0996487543294312e-8,1.2975829301755884e-6,9.636282704080336e-7,20308/20303/16190/12977/20302/20305/14825/18414/56221/20293/27279/21937/100532/16176/21803/56708/12156/20306/320100/16181/15945/14102/20292/21926/17000/18053/23886/12774/16878/60505/16175/12768/16177/18413/12804/16156/16193/21809/16172/20296/234836/12983/20310/21949/21938/21948,46
Environmental Information Processing,Signal transduction,mmu04390,Hippo signaling pathway,34/619,155/7649,0.21935483870967742,2.7105737662202305,6.383993168978007,5.2516375558978055e-8,2.610267910926897e-6,1.938471826203589e-6,216795/17131/58220/14219/21416/12443/17125/21803/14367/22411/12445/17869/12156/18787/56289/15901/16475/209456/22421/170770/22419/93960/22417/21415/29806/21809/97064/73699/12006/14370/71978/21679/15902/319710,34
Human Diseases,Cardiovascular disease,mmu05417,Lipid and atherosclerosis,39/619,193/7649,0.20207253886010362,2.497015912343995,6.250197244964165,5.913228277180672e-8,2.610267910926897e-6,1.938471826203589e-6,193740/12475/15511/16476/18019/11911/20302/15894/14825/13198/20293/21937/16176/19697/20848/14102/21926/18018/24088/26397/14828/18035/22433/14281/13057/18024/19016/13666/16193/12491/17874/20296/20339/18797/22324/20310/216799/117149/16452,39
Environmental Information Processing,Signal transduction,mmu04010,MAPK signaling pathway,51/619,294/7649,0.17346938775510204,2.143565988592529,5.933147683429514,1.0742771128849068e-7,4.149395348517953e-6,3.081479086959338e-6,193740/17873/12475/15511/23882/16476/53859/12977/11601/15370/11911/16478/19252/13198/21937/70686/13836/16176/21803/13537/17869/19697/13197/14102/21926/240672/63953/18053/18018/18034/15507/26397/17164/26410/14281/20807/14573/13636/16175/14254/16177/102626/17874/19713/21809/15234/14172/18590/14173/26403/75590,51
Human Diseases,Infectious disease: parasitic,mmu05142,Chagas disease,25/619,98/7649,0.25510204081632654,3.1523029244007783,6.362910288749079,1.4854119437656448e-7,5.0999143402620474e-6,3.787366125624685e-6,16476/12062/20302/20293/21937/16176/21803/19697/18787/14102/21926/24088/18035/14281/12260/14678/14675/16193/17874/21809/20296/73699/18797/71978/12262,25
Human Diseases,Endocrine and metabolic disease,mmu04933,AGE-RAGE signaling pathway in diabetic complications,25/619,101/7649,0.24752475247524752,3.058670164270062,6.179781405095649,2.7890219510309493e-7,8.618077828685633e-6,6.40007142447102e-6,13653/16476/18712/15894/20293/12443/16176/21803/19697/20848/18787/21926/18018/18799/16175/13614/14268/12827/16193/21809/20296/12826/20339/18797/16452,25
Organismal Systems,Development and regeneration,mmu04380,Osteoclast differentiation,28/619,126/7649,0.2222222222222222,2.7460061030335665,5.863772342039975,6.044669361089027e-7,1.6980025750695538e-5,1.2609932255668976e-5,12702/16476/53859/12977/16477/18019/16478/21937/16176/21803/19697/21926/18018/18034/14728/18035/14131/12703/20375/14281/14283/13057/16175/21682/19016/16391/16177/22177,28
Human Diseases,Immune disease,mmu05323,Rheumatoid arthritis,21/619,79/7649,0.26582278481012656,3.284779452362937,6.056915179932929,7.072680865731689e-7,1.82121532292591e-5,1.352495112920621e-5,16476/12977/20302/15894/14825/20293/16176/21803/21926/24088/12524/14281/16175/14254/13039/16156/16193/21809/20296/27060/20310,21
Organismal Systems,Immune system,mmu04620,Toll-like receptor signaling pathway,22/619,88/7649,0.25,3.0892568659127626,5.849047613999764,1.208054486502561e-6,2.871452587148395e-5,2.1324362595753706e-5,20750/12475/20303/16476/20302/16176/19697/15945/21926/24088/26397/12524/18035/26410/14281/19766/21897/16391/16193/17874/117149/27056,22
Cellular Processes,Cell growth and death,mmu04210,Apoptosis,28/619,131/7649,0.21374045801526717,2.6411967097880105,5.62194673283508,1.3927656964244803e-6,3.0359378160520522e-5,2.2545884649952213e-5,17873/23882/16476/53859/16905/11911/13198/21937/12125/19697/13197/14102/21926/64138/17210/12045/12047/18035/12044/14281/170770/19766/58801/13039/13666/13030/12983/235587,28
