ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-1474244,Extracellular matrix organization,43/553,235/8093,0.1829787234042553,2.67784233003732,7.068607962924267,1.7097841581552412e-9,1.5986481878751504e-6,1.4668148304173912e-6,Spp1/Serpinh1/Itga5/Icam1/A2m/Cd44/Timp1/Sdc1/Fgf2/Col12a1/Adamts4/Tgfb1/Mmp12/Itgb2/Adam8/Bmp2/Mmp19/Adamts5/Nid2/Pecam1/Col8a2/Ddr2/Ctsl/Cast/Col27a1/Col8a1/Sdc4/Loxl2/Ddr1/Plod2/Col6a2/Ltbp1/Fn1/Plod3/Tnc/Itga9/Col5a3/Lox/Efemp2/Col4a1/Col18a1/Col16a1/Mmp11,43
R-MMU-1280215,Cytokine Signaling in Immune system,58/553,423/8093,0.13711583924349882,2.0066518752217646,5.75912677048632,1.745848918062202e-7,8.161843691940794e-5,7.488772990635235e-5,Hspa1a/Osmr/Hspa1b/Socs3/Tnfrsf12a/Fos/Clcf1/Csf1/Il4ra/Sdc1/Stat3/Il21/Tubb6/Gbp2/Ltbr/Mapkapk3/Il1r1/Nfkb2/Gbp5/Il1rn/Il6/Map2k3/Csf2rb/Map3k14/Il11/Isg15/Mapkapk2/Lif/Rela/Osm/Il1a/Il1rl2/Il6st/Tnfsf15/Atf1/Irf9/Eda2r/Trim25/Socs1/Irak3/Usp18/Map3k8/Tnfsf8/Flnb/Il1b/Tnfrsf1b/Oasl1/Birc3/Il31ra/Ptpn2/Nfkb1/Stat6/Stat5a/Myd88/Jun/Tifa/Nlrc5/Nod1,58
R-MMU-6783589,Interleukin-6 family signaling,10/553,21/8093,0.47619047619047616,6.968914147937656,7.416845509863592,3.631654672496425e-7,1.0569296768852408e-4,9.697694192642515e-5,Osmr/Socs3/Clcf1/Stat3/Il6/Il11/Lif/Osm/Il6st/Il31ra,10
R-MMU-373076,Class A/1 (Rhodopsin-like receptors),42/553,273/8093,0.15384615384615385,2.251495340102935,5.69655131147763,4.521624286140068e-7,1.0569296768852408e-4,9.697694192642515e-5,Bdkrb2/S1pr3/Cxcl10/Ccl9/Ccl3/Ccl6/C3ar1/Ccl4/Ccl12/C5ar1/Hcar2/F2r/Ccl7/Anxa1/Hrh1/Lpar1/Cxcl16/Ccr5/Gpr183/Apln/P2ry2/S1pr2/Trh/Cxcl2/Cxcl1/Ptgir/Aplnr/P2ry1/F2rl1/Prokr1/Bdkrb1/Ccl11/Prok2/Edn1/Cxcl5/Ackr3/Sucnr1/Gpr35/Ece1/S1pr1/Cxcl3/Gpr4,42
R-MMU-109582,Hemostasis,61/553,473/8093,0.12896405919661733,1.8873528590926292,5.385850168793027,7.279696235707921e-7,1.3613031960773813e-4,1.2490426172846224e-4,Anxa2/Maff/Itga5/Cav1/A2m/Cd44/Timp1/Plek/Cd74/Pdpn/Tagln2/Angpt2/Plau/Ehd2/Cd36/Tubb6/F2r/Dok2/Timp3/Plaur/Srgn/Dock5/Vcl/Sele/Tgfb1/Kif26a/Itgb2/Hgf/Plat/P2rx7/Apbb1ip/Mafk/Gna14/Pecam1/Anxa5/Selp/Cd84/Cd63/Fgr/Procr/Epcam/Pros1/Ptgir/Cd9/Gng11/Pla2g4a/P2ry1/Thbd/Fcer1g/Gata6/Prkch/Slc3a2/Slc16a3/Fn1/H3f3b/Tln1/Gata2/Nos2/Stxbp3/Ecm1/Lamp2,61
R-MMU-168898,Toll-like Receptor Cascades,27/553,142/8093,0.19014084507042253,2.782657973155388,5.803715982999867,8.99936300677177e-7,1.4024007352219343e-4,1.2867510264068412e-4,Cd14/Fos/Cd36/Mapkapk3/Tirap/Nfkb2/Map2k3/Itgb2/Mapkapk2/Rela/Tlr1/Ripk1/Cd180/Ctsl/Atf1/Irf7/Usp18/Map3k8/Birc3/Tlr2/Lbp/Nfkb1/Lgmn/Jun/Tifa/Nlrc5/Nod1,27
R-MMU-449147,Signaling by Interleukins,39/553,254/8093,0.15354330708661418,2.2470632626617877,5.468646379063731,1.2409470534938267e-6,1.6575507071667545e-4,1.5208599227029609e-4,Osmr/Socs3/Fos/Clcf1/Csf1/Il4ra/Sdc1/Stat3/Il21/Mapkapk3/Il1r1/Nfkb2/Il1rn/Il6/Map2k3/Csf2rb/Il11/Mapkapk2/Lif/Rela/Osm/Il1a/Il1rl2/Il6st/Atf1/Socs1/Irak3/Usp18/Map3k8/Il1b/Il31ra/Nfkb1/Stat6/Stat5a/Myd88/Jun/Tifa/Nlrc5/Nod1,39
R-MMU-375276,Peptide ligand-binding receptors,29/553,166/8093,0.1746987951807229,2.5566679012614655,5.487827036628748,2.1975134155859526e-6,2.568343804466082e-4,2.3565439917138834e-4,Bdkrb2/Cxcl10/Ccl9/Ccl3/Ccl6/C3ar1/Ccl4/Ccl12/C5ar1/F2r/Ccl7/Anxa1/Cxcl16/Ccr5/Apln/Trh/Cxcl2/Cxcl1/Aplnr/F2rl1/Prokr1/Bdkrb1/Ccl11/Prok2/Edn1/Cxcl5/Ackr3/Ece1/Cxcl3,29
R-MMU-380108,Chemokine receptors bind chemokines,13/553,43/8093,0.3023255813953488,4.424450145086,6.097221400503449,3.342753768255348e-6,3.1724719130352363e-4,2.910852360398219e-4,Cxcl10/Ccl3/Ccl4/Ccl12/Ccl7/Cxcl16/Ccr5/Cxcl2/Cxcl1/Ccl11/Cxcl5/Ackr3/Cxcl3,13
R-MMU-418594,G alpha (i) signalling events,36/553,235/8093,0.15319148936170213,2.2419145088684544,5.232080887161472,3.3930180888077394e-6,3.1724719130352363e-4,2.910852360398219e-4,Bdkrb2/S1pr3/Cxcl10/Ccl9/Ccl6/C3ar1/Ccl4/C5ar1/Hcar2/Rgs1/Anxa1/Rgs3/Rgs16/Lpar1/Cxcl16/Ccr5/Gpr183/Apln/Gna14/Ccr1/S1pr2/Cxcl2/Cxcl1/Pde4b/Rgs20/Gng11/Aplnr/Pla2g4a/Bdkrb1/Ccl11/Adcy4/Cxcl5/Ackr3/Sucnr1/Cxcl3/Plcb3,36
