ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-112316,Neuronal System,125/858,311/8093,0.40192926045016075,3.7911579310293138,17.285076470289884,2.0501949611008464e-44,2.2449634824054267e-41,1.9854519623292405e-41,Grin2b/Gabrb1/Prkca/Nlgn1/Kcnd2/Grin2a/Kcnma1/Kcnj3/Ntrk3/Hcn1/Slitrk3/Camk2a/Lrfn2/Grm5/Slitrk1/Gabrb3/Dlgap1/Dlg2/Homer2/Dlgap2/Gng7/Gabbr2/Gabra4/Apba1/Slitrk4/Kcnab2/Homer1/Kcnab1/Gabra1/Plcb1/Kcnb2/Kcna4/Lrfn3/Gabra5/Gabra2/Shank1/Dlgap3/Prkcb/Grin1/Adcy5/Slitrk5/Shank3/Kcnq5/Gng2/Cacnb2/Nrxn3/Ap2b1/Gria1/Gabrg2/Kcna2/Camk2b/Kcnd3/Dlg3/Gabrg3/Kcnk9/Kcnv1/Syt1/Gnal/Nlgn3/Ptprd/Camkk2/Slc1a1/Dlg4/Gabrb2/Slc17a7/Grin3a/Kcnh3/Creb1/Kcnj6/Ap2a2/Nsf/Lrrtm2/Cacnb4/Calm1/Dnajc5/Akap5/Epb41l1/Nefl/Grm1/Lrrc7/Cacnb1/Cask/Ppfia2/Nrxn1/Arhgef9/Cacna1b/Kcns2/Syn2/Adcy1/Prkcg/Kcnh7/Kcna1/Lrrtm1/Camkk1/Kcnk10/Glrb/Prkacb/Nlgn2/Syn1/Cacna1a/Ppfia4/Panx2/Gnai1/Kcnc1/Grik5/Cacna2d3/Rtn3/Gng4/Stxbp1/Epb41l3/Slc18a2/Prkar1b/Slc38a1/Kcnc3/Dlgap4/Chrna5/Lin7c/Ncald/Kcnk1/Il1rapl2/Glra2/Panx1/Lrrc4b/Vamp2/Rims1,125
R-MMU-112315,Transmission across Chemical Synapses,74/858,194/8093,0.38144329896907214,3.5979261288539637,12.612289160081191,1.1847708412503042e-24,5.702981337846609e-22,5.043732593913848e-22,Grin2b/Gabrb1/Prkca/Grin2a/Kcnj3/Camk2a/Gabrb3/Dlg2/Gng7/Gabbr2/Gabra4/Apba1/Gabra1/Plcb1/Gabra5/Gabra2/Prkcb/Grin1/Adcy5/Gng2/Cacnb2/Ap2b1/Gria1/Gabrg2/Camk2b/Dlg3/Gabrg3/Syt1/Gnal/Camkk2/Slc1a1/Dlg4/Gabrb2/Slc17a7/Grin3a/Creb1/Kcnj6/Ap2a2/Nsf/Cacnb4/Calm1/Dnajc5/Akap5/Epb41l1/Nefl/Lrrc7/Cacnb1/Cask/Ppfia2/Arhgef9/Cacna1b/Syn2/Adcy1/Prkcg/Camkk1/Glrb/Prkacb/Syn1/Cacna1a/Ppfia4/Gnai1/Grik5/Cacna2d3/Gng4/Stxbp1/Slc18a2/Prkar1b/Slc38a1/Chrna5/Lin7c/Ncald/Glra2/Vamp2/Rims1,74
R-MMU-6794362,Protein-protein interactions at synapses,40/858,62/8093,0.6451612903225806,6.085419956387698,13.841723449950644,1.5624606405059202e-24,5.702981337846609e-22,5.043732593913848e-22,Grin2b/Nlgn1/Grin2a/Ntrk3/Slitrk3/Lrfn2/Grm5/Slitrk1/Dlgap1/Dlg2/Homer2/Dlgap2/Slitrk4/Homer1/Lrfn3/Shank1/Dlgap3/Grin1/Slitrk5/Shank3/Nrxn3/Gria1/Dlg3/Nlgn3/Ptprd/Dlg4/Lrrtm2/Epb41l1/Grm1/Cask/Ppfia2/Nrxn1/Lrrtm1/Nlgn2/Ppfia4/Rtn3/Epb41l3/Dlgap4/Il1rapl2/Lrrc4b,40
R-MMU-112314,Neurotransmitter receptors and postsynaptic signal transmission,52/858,131/8093,0.3969465648854962,3.7441591487393016,10.904008197354317,1.6305386261819262e-18,4.463599489173023e-16,3.947619831808874e-16,Grin2b/Gabrb1/Prkca/Grin2a/Kcnj3/Camk2a/Gabrb3/Dlg2/Gng7/Gabbr2/Gabra4/Gabra1/Plcb1/Gabra5/Gabra2/Prkcb/Grin1/Adcy5/Gng2/Ap2b1/Gria1/Gabrg2/Camk2b/Dlg3/Gabrg3/Gnal/Camkk2/Dlg4/Gabrb2/Grin3a/Creb1/Kcnj6/Ap2a2/Nsf/Calm1/Akap5/Epb41l1/Nefl/Lrrc7/Arhgef9/Adcy1/Prkcg/Camkk1/Glrb/Prkacb/Gnai1/Grik5/Gng4/Prkar1b/Chrna5/Ncald/Glra2,52
R-MMU-6794361,Neurexins and neuroligins,23/858,30/8093,0.7666666666666667,7.231507381507383,11.774913474934694,2.880263659466844e-17,6.3077774142323884e-15,5.5786159299147295e-15,Nlgn1/Grm5/Dlgap1/Dlg2/Homer2/Dlgap2/Homer1/Shank1/Dlgap3/Shank3/Nrxn3/Dlg3/Nlgn3/Dlg4/Lrrtm2/Epb41l1/Grm1/Cask/Nrxn1/Lrrtm1/Nlgn2/Epb41l3/Dlgap4,23
R-MMU-422475,Axon guidance,59/858,243/8093,0.24279835390946503,2.2901714198010494,7.0318247532550195,4.824552099791952e-10,7.845676231650613e-8,6.938737931380498e-8,Grin2b/Prkca/Sptbn2/Plxna4/Epha4/Kalrn/Epha7/Dok6/Nrp1/Pak3/Gsk3b/Grin1/Shank3/Ap2b1/Sema3e/Plxna1/Tuba4a/Arhgap35/Robo1/Slit2/Dab1/Creb1/Ephb2/Git1/Actr2/Ap2a2/Mapk1/Sptan1/Slit3/Tubb4b/Sptbn1/Sh3gl2/Dpysl3/Dnm3/Arpc5/Dpysl5/Actr3/Csnk2a1/Cdk5r1/Arhgef28/Pik3r2/Prkacb/Tubb4a/Dscaml1/Arhgef7/Dscam/Plxna2/Efnb3/Arpc2/Vldlr/Dnm1/Cltc/Tubb3/Ptk2/Ncam1/Enah/Pip5k1c/Kras/Pik3r3,59
R-MMU-442755,Activation of NMDA receptors and postsynaptic events,18/858,33/8093,0.5454545454545454,5.144945963127781,8.216003874453504,5.345802109122801e-10,7.845676231650613e-8,6.938737931380498e-8,Grin2b/Grin2a/Camk2a/Dlg2/Grin1/Gria1/Camk2b/Dlg3/Camkk2/Dlg4/Grin3a/Creb1/Calm1/Nefl/Lrrc7/Camkk1/Prkacb/Prkar1b,18
R-MMU-9675108,Nervous system development,59/858,244/8093,0.24180327868852458,2.2807854713592417,6.995462846802763,5.732000899836063e-10,7.845676231650613e-8,6.938737931380498e-8,Grin2b/Prkca/Sptbn2/Plxna4/Epha4/Kalrn/Epha7/Dok6/Nrp1/Pak3/Gsk3b/Grin1/Shank3/Ap2b1/Sema3e/Plxna1/Tuba4a/Arhgap35/Robo1/Slit2/Dab1/Creb1/Ephb2/Git1/Actr2/Ap2a2/Mapk1/Sptan1/Slit3/Tubb4b/Sptbn1/Sh3gl2/Dpysl3/Dnm3/Arpc5/Dpysl5/Actr3/Csnk2a1/Cdk5r1/Arhgef28/Pik3r2/Prkacb/Tubb4a/Dscaml1/Arhgef7/Dscam/Plxna2/Efnb3/Arpc2/Vldlr/Dnm1/Cltc/Tubb3/Ptk2/Ncam1/Enah/Pip5k1c/Kras/Pik3r3,59
R-MMU-112040,G-protein mediated events,17/858,35/8093,0.4857142857142857,4.581451881451882,7.311926622608646,1.6546078871689567e-8,2.0131062627222306e-6,1.7803967908718596e-6,Prkca/Plcb1/Adcy5/Gnaq/Gnal/Camkk2/Mapk1/Calm1/Pde1a/Adcy1/Prkcg/Camkk1/Prkacb/Grk2/Gnai1/Gna11/Prkar1b,17
R-MMU-438066,"Unblocking of NMDA receptors, glutamate binding and activation",12/858,19/8093,0.631578947368421,5.957305852042694,7.449557140558475,4.6602224672811447e-8,5.102943601672853e-6,4.513057547261739e-6,Grin2b/Grin2a/Camk2a/Dlg2/Grin1/Gria1/Camk2b/Dlg3/Dlg4/Calm1/Nefl/Lrrc7,12
