ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-112316,Neuronal System,84/488,311/8093,0.27009646302250806,4.479284170576142,15.849396177778155,6.6944212654382415e-34,5.763896709542326e-31,4.953871736424299e-31,Grin2b/Ntrk3/Adcy1/Camk2a/Slitrk5/Prkcb/Kcna1/Grin2a/Kcnc1/Prkca/Kcnj3/Kcnab2/Kcnb2/Adcy9/Gabrb1/Gabra4/Gng7/Hcn1/Slitrk3/Homer1/Homer2/Slitrk4/Grm5/Dlg2/Gabrb3/Dlgap1/Kcnma1/Slitrk1/Shank3/Kcnd2/Nlgn1/Gabrb2/Gabra5/Gria1/Kcnq5/Ap2b1/Adcy5/Cacnb2/Slc1a1/Gabra2/Lrrtm2/Kcnj6/Nsf/Camkk2/Camk2b/Gabbr2/Nlgn3/Dlgap2/Kcnd3/Grm1/Gnal/Calm1/Kcnc3/Epb41l1/Dlg3/Dnajc5/Dlgap3/Chrna5/Slc17a7/Syn2/Nrxn3/Lrfn2/Dlg4/Camkk1/Grin1/Gabrg3/Kcnv1/Nefl/Ap2a2/Kcnk6/Kcnk1/Cacna1b/Lrrc7/Shank1/Gabra1/Cacnb1/Nlgn2/Lrfn3/Lrrtm1/Kcnk10/Akap5/Apba1/Arhgef9/Plcb1,84
R-MMU-6794362,Protein-protein interactions at synapses,30/488,62/8093,0.4838709677419355,8.024524061343204,14.064236964348185,8.037329526396644e-21,3.4600703611137553e-18,2.9738119247667586e-18,Grin2b/Ntrk3/Slitrk5/Grin2a/Slitrk3/Homer1/Homer2/Slitrk4/Grm5/Dlg2/Dlgap1/Slitrk1/Shank3/Nlgn1/Gria1/Lrrtm2/Nlgn3/Dlgap2/Grm1/Epb41l1/Dlg3/Dlgap3/Nrxn3/Lrfn2/Dlg4/Grin1/Shank1/Nlgn2/Lrfn3/Lrrtm1,30
R-MMU-112314,Neurotransmitter receptors and postsynaptic signal transmission,40/488,131/8093,0.3053435114503817,5.063821799524465,11.87811308768694,1.629425196453256e-18,4.676450313820844e-16,4.019248817918031e-16,Grin2b/Adcy1/Camk2a/Prkcb/Grin2a/Prkca/Kcnj3/Adcy9/Gabrb1/Gabra4/Gng7/Dlg2/Gabrb3/Gabrb2/Gabra5/Gria1/Ap2b1/Adcy5/Gabra2/Kcnj6/Nsf/Camkk2/Camk2b/Gabbr2/Gnal/Calm1/Epb41l1/Dlg3/Chrna5/Dlg4/Camkk1/Grin1/Gabrg3/Nefl/Ap2a2/Lrrc7/Gabra1/Akap5/Arhgef9/Plcb1,40
R-MMU-112315,Transmission across Chemical Synapses,48/488,194/8093,0.24742268041237114,4.103261788068278,11.082084586513092,8.330069617789776e-18,1.793047485229249e-15,1.5410628792911086e-15,Grin2b/Adcy1/Camk2a/Prkcb/Grin2a/Prkca/Kcnj3/Adcy9/Gabrb1/Gabra4/Gng7/Dlg2/Gabrb3/Gabrb2/Gabra5/Gria1/Ap2b1/Adcy5/Cacnb2/Slc1a1/Gabra2/Kcnj6/Nsf/Camkk2/Camk2b/Gabbr2/Gnal/Calm1/Epb41l1/Dlg3/Dnajc5/Chrna5/Slc17a7/Syn2/Dlg4/Camkk1/Grin1/Gabrg3/Nefl/Ap2a2/Cacna1b/Lrrc7/Gabra1/Cacnb1/Akap5/Apba1/Arhgef9/Plcb1,48
R-MMU-6794361,Neurexins and neuroligins,19/488,30/8093,0.6333333333333333,10.503210382513661,13.209028588154673,1.4035044583512826e-16,2.4168346772809085e-14,2.0771865983598987e-14,Homer1/Homer2/Grm5/Dlg2/Dlgap1/Shank3/Nlgn1/Lrrtm2/Nlgn3/Dlgap2/Grm1/Epb41l1/Dlg3/Dlgap3/Nrxn3/Dlg4/Shank1/Nlgn2/Lrrtm1,19
R-MMU-438066,"Unblocking of NMDA receptors, glutamate binding and activation",12/488,19/8093,0.631578947368421,10.474115616911131,10.472716498020764,6.927120801876747e-11,9.940418350693133e-9,8.54344898898132e-9,Grin2b/Camk2a/Grin2a/Dlg2/Gria1/Camk2b/Calm1/Dlg3/Dlg4/Grin1/Nefl/Lrrc7,12
R-MMU-422475,Axon guidance,42/488,243/8093,0.1728395061728395,2.8663732038048977,7.4826432143815715,3.5119695094094147e-10,4.314643020681568e-8,3.708287845881952e-8,Grin2b/Epha4/Plxna4/Sptbn2/Prkca/Vldlr/Robo1/Plxnd1/Dscaml1/Dok6/Sema3e/Shank3/Arhgap35/Ephb2/Tubb4b/Kalrn/Ap2b1/Gsk3b/Plxna1/Tuba4a/Git1/Cdk5r1/Arhgef28/Arpc2/Slit3/Dpysl3/Nrp1/Sptan1/Grin1/Mapk1/Ap2a2/Arhgef7/Arhgef11/Tubb4a/Sptbn1/Sh3gl2/Arpc5/Shc3/Tubb2a/Pak3/Efna3/Arhgef12,42
R-MMU-9675108,Nervous system development,42/488,244/8093,0.1721311475409836,2.854625772641763,7.451303929707253,4.0089598333858937e-10,4.314643020681568e-8,3.708287845881952e-8,Grin2b/Epha4/Plxna4/Sptbn2/Prkca/Vldlr/Robo1/Plxnd1/Dscaml1/Dok6/Sema3e/Shank3/Arhgap35/Ephb2/Tubb4b/Kalrn/Ap2b1/Gsk3b/Plxna1/Tuba4a/Git1/Cdk5r1/Arhgef28/Arpc2/Slit3/Dpysl3/Nrp1/Sptan1/Grin1/Mapk1/Ap2a2/Arhgef7/Arhgef11/Tubb4a/Sptbn1/Sh3gl2/Arpc5/Shc3/Tubb2a/Pak3/Efna3/Arhgef12,42
R-MMU-442755,Activation of NMDA receptors and postsynaptic events,14/488,33/8093,0.42424242424242425,7.035643318430204,8.800376542525758,1.9798702208470754e-9,1.8940758446103688e-7,1.6278932926964843e-7,Grin2b/Camk2a/Grin2a/Dlg2/Gria1/Camkk2/Camk2b/Calm1/Dlg3/Dlg4/Camkk1/Grin1/Nefl/Lrrc7,14
R-MMU-1266738,Developmental Biology,54/488,393/8093,0.13740458015267176,2.278719809786009,6.582858875791967,6.453024652075181e-9,5.55605422543673e-7,4.775238242535634e-7,Grin2b/Epha4/Plxna4/Sptbn2/Tcf4/Prkca/Vldlr/Lgi1/Myo5a/Akt3/Robo1/Plxnd1/Dscaml1/Dok6/Sema3e/Shank3/Arhgap35/Ephb2/Mef2d/Pkp4/Tubb4b/Kalrn/Cdh2/Ap2b1/Gsk3b/Plxna1/Adam23/Tuba4a/Git1/Cdk5r1/Arhgef28/Arpc2/Slit3/Dpysl3/Sox10/Stx1b/Nrp1/Dlg4/Sptan1/Grin1/Mapk1/Ap2a2/Arhgef7/Adam22/Arhgef11/Tubb4a/Sptbn1/Sh3gl2/Arpc5/Shc3/Tubb2a/Pak3/Efna3/Arhgef12,54
