ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-112316,Neuronal System,85/1121,311/8093,0.2733118971061093,1.9731607344154705,7.017318892281241,1.3773598560343473e-10,1.7354734186032777e-7,1.6107861053201684e-7,Grin2a/Grin2b/Ntrk3/Kcna1/Gabrb1/Slitrk3/Prkca/Nlgn1/Dlgap1/Dlgap2/Kcnd2/Kcnab2/Gabrb3/Slitrk4/Kcnj3/Grm5/Slitrk5/Kcnq5/Kcnma1/Kcnc3/Hcn1/Gabra4/Nsf/Kcnb2/Cacnb2/Slc17a7/Kcnj6/Arhgef9/Adcy9/Shank3/Kcna4/Grik2/Kcnf1/Nrxn3/Kcnn2/Camk2b/Ppfibp1/Slitrk1/Kcnd3/Ppfia2/Lrrtm1/Nlgn3/Ap2b1/Kcng1/Syn2/Lrrtm2/Gnai2/Grip1/Kcna2/Cacna2d3/Gabra5/Gabrg3/Lrrc7/Kcnh4/Kcnk3/Gng7/Gjc1/Kcnq4/Gls/Slc1a1/Homer2/Gabrg2/Gng2/Grin3a/Gad2/Grin2c/Nrxn1/Cacna1b/Hcn4/Plcb3/Ap2a2/Gng5/Panx1/Ptprs/Gabrb2/Chrna7/Gnai1/Chrna4/Prkcg/Adcy5/Dlg2/Kcnj12/Chrna5/Camk2a/Camkk1,85
R-MMU-6794362,Protein-protein interactions at synapses,23/1121,62/8093,0.3709677419354839,2.678181922822365,5.318658726132292,3.870349662169919e-6,0.0017370456977714617,0.0016122454220752664,Grin2a/Grin2b/Ntrk3/Slitrk3/Nlgn1/Dlgap1/Dlgap2/Slitrk4/Grm5/Slitrk5/Shank3/Nrxn3/Ppfibp1/Slitrk1/Ppfia2/Lrrtm1/Nlgn3/Lrrtm2/Homer2/Grin2c/Nrxn1/Ptprs/Dlg2,23
R-MMU-112314,Neurotransmitter receptors and postsynaptic signal transmission,38/1121,131/8093,0.2900763358778626,2.0941907103118123,5.062553649738619,4.135823089932052e-6,0.0017370456977714617,0.0016122454220752664,Grin2a/Grin2b/Gabrb1/Prkca/Gabrb3/Kcnj3/Gabra4/Nsf/Kcnj6/Arhgef9/Adcy9/Grik2/Camk2b/Ap2b1/Gnai2/Grip1/Gabra5/Gabrg3/Lrrc7/Gng7/Gabrg2/Gng2/Grin3a/Grin2c/Plcb3/Ap2a2/Gng5/Gabrb2/Chrna7/Gnai1/Chrna4/Prkcg/Adcy5/Dlg2/Kcnj12/Chrna5/Camk2a/Camkk1,38
R-MMU-6783589,Interleukin-6 family signaling,11/1121,21/8093,0.5238095238095238,3.7816150545856164,5.117621391365215,3.1897192469367765e-5,0.009150175767604159,0.008492769655645965,Socs3/Osmr/Clcf1/Stat3/Lif/Lifr/Osm/Cntfr/Il11/Il6/Jak2,11
R-MMU-375280,Amine ligand-binding receptors,14/1121,32/8093,0.4375,3.158508028545941,4.905533558667657,3.63102213000165e-5,0.009150175767604159,0.008492769655645965,Chrm4/Htr4/Chrm1/Htr1a/Chrm3/Adrb1/Hrh1/Htr2c/Drd1/Adra2b/Adra2a/Htr1d/Htr7/Chrm5,14
R-MMU-2559580,Oxidative Stress Induced Senescence,15/1121,37/8093,0.40540540540540543,2.9268028063746176,4.7101035774414814,5.6747458867272336e-5,0.009204035778810904,0.008542760025278958,Jun/Kdm6b/Map2k3/Mapkapk2/Ubc/Fos/Cdkn2b/Map2k4/Tnik/Mink1/Cdk6/Mapkapk3/Mapk1/Mapk10/Uba52,15
R-MMU-422475,Axon guidance,56/1121,243/8093,0.23045267489711935,1.6637408545427181,4.212296300961082,5.8290754268326047e-5,0.009204035778810904,0.008542760025278958,Grin2b/Plxna4/Itga5/Prkca/Kalrn/Efnb1/Gab1/Epha2/Epha4/Rnd1/Tubb6/Epha7/Sptbn2/Rhoc/Dok2/Dok6/Irs2/Tuba4a/Plxna2/Ubc/Arpc1b/Shank3/Pak3/Gdnf/Robo1/Efna1/Slit3/Dab1/Slit2/Vldlr/Ap2b1/Ptprc/Arhgef28/Dscaml1/Sema3e/Tyrobp/Plxna1/Msn/Actr2/Gsk3b/Col4a2/Vasp/Ret/Mapk1/Tubb4a/Ephb3/Col4a1/Pdlim7/Uba52/Enah/Ap2a2/Tubb4b/Sh3gl2/Dpysl3/Arpc5/Ntn4,56
R-MMU-112315,Transmission across Chemical Synapses,47/1121,194/8093,0.2422680412371134,1.749041264702907,4.2342120701780415,6.257411885218934e-5,0.009204035778810904,0.008542760025278958,Grin2a/Grin2b/Gabrb1/Prkca/Gabrb3/Kcnj3/Gabra4/Nsf/Cacnb2/Slc17a7/Kcnj6/Arhgef9/Adcy9/Grik2/Camk2b/Ppfia2/Ap2b1/Syn2/Gnai2/Grip1/Cacna2d3/Gabra5/Gabrg3/Lrrc7/Gng7/Gls/Slc1a1/Gabrg2/Gng2/Grin3a/Gad2/Grin2c/Cacna1b/Plcb3/Ap2a2/Gng5/Gabrb2/Chrna7/Gnai1/Chrna4/Prkcg/Adcy5/Dlg2/Kcnj12/Chrna5/Camk2a/Camkk1,47
R-MMU-9675108,Nervous system development,56/1121,244/8093,0.22950819672131148,1.6569222444831166,4.177858923716472,6.574311270579217e-5,0.009204035778810904,0.008542760025278958,Grin2b/Plxna4/Itga5/Prkca/Kalrn/Efnb1/Gab1/Epha2/Epha4/Rnd1/Tubb6/Epha7/Sptbn2/Rhoc/Dok2/Dok6/Irs2/Tuba4a/Plxna2/Ubc/Arpc1b/Shank3/Pak3/Gdnf/Robo1/Efna1/Slit3/Dab1/Slit2/Vldlr/Ap2b1/Ptprc/Arhgef28/Dscaml1/Sema3e/Tyrobp/Plxna1/Msn/Actr2/Gsk3b/Col4a2/Vasp/Ret/Mapk1/Tubb4a/Ephb3/Col4a1/Pdlim7/Uba52/Enah/Ap2a2/Tubb4b/Sh3gl2/Dpysl3/Arpc5/Ntn4,56
R-MMU-418594,G alpha (i) signalling events,54/1121,235/8093,0.2297872340425532,1.6589367396131873,4.110301653258429,8.541834044356571e-5,0.01076271089588928,0.00998945012976858,Ccl9/Ccl4/Rgs16/Bdkrb2/C3ar1/C5ar1/Prkca/Lpar2/Ccl6/Cxcl1/P2ry12/Chrm4/Rgs3/Rgs1/Pde4b/P2ry13/S1pr3/Cxcl10/Ccl11/Hcar2/Ccr5/Adcy9/Opn3/Rgs14/Pde1a/S1pr2/Gnaq/Gpr37/Mchr1/Gnai2/Ccr1/Gna14/Gng7/Mapk1/Gng2/Ppp2r1b/Ppp1r1b/Adra2b/Plcb3/Gng5/Rgs20/Adora1/Apln/Cxcl2/Gnai1/Adra2a/Prkcg/Htr1d/Gpr183/Adcy5/Npw/Sucnr1/Camkk1/Grm3,54
