comparison,input_id,SYMBOL,ENTREZID,ENSEMBL,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction,significant
Microglia_1d_HI_vs_Control,Plin2,Plin2,11520,ENSMUSG00000028494,perilipin 2,7670.439529533273,4.568799515167429,0.20998033895102144,21.758225260476006,5.774011438085738e-105,6.843358356419216e-101,Up,TRUE
Microglia_1d_HI_vs_Control,P2ry12,P2ry12,70839,ENSMUSG00000036353,"purinergic receptor P2Y, G-protein coupled 12",8711.638058578837,-4.28760048858937,0.20061918955741231,-21.371836353482845,2.4433180761588488e-101,1.4479102919317338e-97,Down,TRUE
Microglia_1d_HI_vs_Control,Tmem119,Tmem119,231633,ENSMUSG00000054675,transmembrane protein 119,3675.1756393454693,-4.412290350316052,0.21272126986673157,-20.742121147924333,1.4441489687070137e-95,5.705351192371842e-92,Down,TRUE
Microglia_1d_HI_vs_Control,Lpl,Lpl,16956,ENSMUSG00000015568,lipoprotein lipase,11808.293689464597,4.424429029779419,0.23014226714448366,19.22475642860403,2.297151616960231e-82,6.806460241053164e-79,Up,TRUE
Microglia_1d_HI_vs_Control,Lilrb4,Lilrb4,NA,NA,NA,1017.0641201284393,5.91737802397042,0.32660314786695177,18.117945471796187,2.3002549398754283e-73,5.4525243094807155e-70,Up,TRUE
Microglia_1d_HI_vs_Control,Ptgs1,Ptgs1,19224,ENSMUSG00000047250,prostaglandin-endoperoxide synthase 1,2010.2192502290345,-3.2682353508425366,0.1819002889885758,-17.96718064064097,3.521631531526438e-72,6.95639615194189e-69,Down,TRUE
Microglia_1d_HI_vs_Control,4632428N05Rik,4632428N05Rik,NA,NA,NA,2587.402302013265,-2.0986010803959605,0.11772345611054158,-17.826533043893882,4.398658905827334e-71,7.447557907409367e-68,Down,TRUE
Microglia_1d_HI_vs_Control,Selplg,Selplg,20345,ENSMUSG00000048163,"selectin, platelet (p-selectin) ligand",3671.208264791811,-3.907447606209482,0.21947609568814025,-17.80352249277153,6.6360501573300076e-71,9.831308308084406e-68,Down,TRUE
Microglia_1d_HI_vs_Control,Rsrp1,Rsrp1,27981,ENSMUSG00000037266,arginine/serine rich protein 1,808.5708814696073,-3.3290942632691696,0.19971607363931143,-16.669135351026057,2.1975031789205142e-62,2.8922327992854535e-59,Down,TRUE
Microglia_1d_HI_vs_Control,Ccl2,Ccl2,20296,ENSMUSG00000035385,C-C motif chemokine ligand 2,1974.9922113590703,3.587423225064954,0.2152944405370387,16.66286977088841,2.440290920760592e-62,2.8922327992854535e-59,Up,TRUE
Microglia_1d_HI_vs_Control,Glul,Glul,14645,ENSMUSG00000026473,glutamate-ammonia ligase,2075.767195531994,-3.118422507104168,0.1955413216520454,-15.947639510452028,2.958703375411866e-57,3.187868400489222e-54,Down,TRUE
Microglia_1d_HI_vs_Control,Hpgd,Hpgd,15446,ENSMUSG00000031613,hydroxyprostaglandin dehydrogenase 15 (NAD),716.0215476751765,-2.9046752014385433,0.1843758752689605,-15.754095795891486,6.437349933615232e-56,6.357955951100644e-53,Down,TRUE
Microglia_1d_HI_vs_Control,Siglech,Siglech,233274,ENSMUSG00000051504,sialic acid binding Ig-like lectin H,3954.803084174279,-3.342264844218758,0.21283846924847521,-15.70329299971087,1.4359086637837972e-55,1.3091068833204282e-52,Down,TRUE
Microglia_1d_HI_vs_Control,Adssl1,Adssl1,NA,NA,NA,612.7219679054696,3.36173095770615,0.21673412329726288,15.510852220973756,2.929645010669701e-54,2.480153761889807e-51,Up,TRUE
Microglia_1d_HI_vs_Control,Plek,Plek,56193,ENSMUSG00000020120,pleckstrin,4913.292171799444,2.675568121394922,0.18179307608065354,14.717656904644107,4.9656956722012886e-49,3.923561673795311e-46,Up,TRUE
Microglia_1d_HI_vs_Control,Ccl9,Ccl9,20308,ENSMUSG00000019122,C-C motif chemokine ligand 9,2095.271534551698,2.5959761869845135,0.17876592804980312,14.52164970866982,8.835787496083537e-48,6.54510958772388e-45,Up,TRUE
