comparison,input_id,SYMBOL,ENTREZID,ENSEMBL,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction,significant
Microglia_3d_HI_vs_Control,Ctsd,Ctsd,13033,ENSMUSG00000007891,cathepsin D,89851.61970120238,2.7697249315590002,0.0717705357833248,38.591392711917294,0,0,Up,TRUE
Microglia_3d_HI_vs_Control,Ctsb,Ctsb,13030,ENSMUSG00000021939,cathepsin B,39934.873597681406,2.834961691116132,0.07546268477091396,37.56772900039767,7.23563807945603e-309,4.5143145977726173e-305,Up,TRUE
Microglia_3d_HI_vs_Control,Tlr2,Tlr2,24088,ENSMUSG00000027995,toll-like receptor 2,1451.3082466817937,3.515253598012818,0.12153650684601676,28.923437814997783,6.058087541601655e-184,2.5197605448035147e-180,Up,TRUE
Microglia_3d_HI_vs_Control,Lgals3,Lgals3,16854,ENSMUSG00000050335,"lectin, galactose binding, soluble 3",1517.5382753822819,6.274117591260408,0.21747983097393278,28.849192879924697,5.186379182112742e-183,1.61789098586007e-179,Up,TRUE
Microglia_3d_HI_vs_Control,Gpx3,Gpx3,14778,ENSMUSG00000018339,glutathione peroxidase 3,1161.6981587047812,2.9803225436504888,0.11001657330261878,27.089759789669312,1.2999841133092727e-161,3.2442403531746208e-158,Up,TRUE
Microglia_3d_HI_vs_Control,Apoe,Apoe,11816,ENSMUSG00000002985,apolipoprotein E,94555.01468079502,3.308522465629655,0.12725783370335558,25.998576035342445,5.139181278863583e-149,1.0687783999609965e-145,Up,TRUE
Microglia_3d_HI_vs_Control,Plin2,Plin2,11520,ENSMUSG00000028494,perilipin 2,4224.226501296969,4.27699802768666,0.1689231021639511,25.319201298680564,1.963272317518771e-141,3.499673139714175e-138,Up,TRUE
Microglia_3d_HI_vs_Control,Cd83,Cd83,12522,ENSMUSG00000015396,CD83 antigen,4664.3119382594705,4.478236333360621,0.1850268639418729,24.203168328937796,2.0602424189722104e-129,3.2134631129919055e-126,Up,TRUE
Microglia_3d_HI_vs_Control,Lgals1,Lgals1,16852,ENSMUSG00000068220,"lectin, galactose binding, soluble 1",2245.5677269370844,4.028441937089748,0.16865012212434444,23.88638612499556,4.242512133967552e-126,5.882007378627457e-123,Up,TRUE
Microglia_3d_HI_vs_Control,Ctsl,Ctsl,13039,ENSMUSG00000021477,cathepsin L,11815.682644225399,2.036673846977779,0.08528286639454348,23.88139532688231,4.780587703904723e-126,5.9652173369323125e-123,Up,TRUE
Microglia_3d_HI_vs_Control,Lyz2,Lyz2,17105,ENSMUSG00000069516,lysozyme 2,6066.967641769764,3.631239764725339,0.15275724047571113,23.77131030527301,6.616107053138772e-125,7.505071255369599e-122,Up,TRUE
Microglia_3d_HI_vs_Control,Lpl,Lpl,16956,ENSMUSG00000015568,lipoprotein lipase,5185.243479151353,4.220465814649489,0.17829671962570018,23.671023356512386,7.171094839196431e-124,7.4567434502910876e-121,Up,TRUE
Microglia_3d_HI_vs_Control,Abcg1,Abcg1,11307,ENSMUSG00000024030,ATP binding cassette subfamily G member 1,3543.6056974214907,3.094018678229285,0.13142273921688813,23.542491175162603,1.4986152662643887e-122,1.4384400994190032e-119,Up,TRUE
Microglia_3d_HI_vs_Control,Anxa5,Anxa5,11747,ENSMUSG00000027712,annexin A5,1116.071936871413,3.0548884341006928,0.13800537325145024,22.136010809771786,1.4228688916110538e-108,1.2681827163944808e-105,Up,TRUE
Microglia_3d_HI_vs_Control,Igf1,Igf1,16000,ENSMUSG00000020053,insulin-like growth factor 1,1356.4477022005326,3.641705775506422,0.1655769820222151,21.994034019884616,3.284516535309112e-107,2.7322798218391402e-104,Up,TRUE
Microglia_3d_HI_vs_Control,Csrnp1,Csrnp1,215418,ENSMUSG00000032515,cysteine-serine-rich nuclear protein 1,796.5561824587131,3.2175848280444383,0.14719143176466012,21.859865003480206,6.262912663455482e-106,4.884289013412344e-103,Up,TRUE
Microglia_3d_HI_vs_Control,Ctsz,Ctsz,64138,ENSMUSG00000016256,cathepsin Z,10725.041649022744,1.8741165255747492,0.08631799964886959,21.71176965636845,1.5882341743100278e-104,1.1657638839435604e-101,Up,TRUE
Microglia_3d_HI_vs_Control,Anxa2,Anxa2,12306,ENSMUSG00000032231,annexin A2,578.046486285889,4.665718669408104,0.21955457779037954,21.250837565603913,3.2383721664392195e-100,2.2449115496015876e-97,Up,TRUE
Microglia_3d_HI_vs_Control,Ccl3,Ccl3,20302,ENSMUSG00000000982,C-C motif chemokine ligand 3,4041.9857206439524,4.75556991809167,0.23235054041225545,20.46722124964266,4.2200700584068625e-93,2.771475483621096e-90,Up,TRUE
Microglia_3d_HI_vs_Control,Id2,Id2,15902,ENSMUSG00000020644,inhibitor of DNA binding 2,1256.3433570882626,3.7156658825356366,0.18353982025578255,20.244467262512597,3.974575403510885e-91,2.479737594250441e-88,Up,TRUE
Microglia_3d_HI_vs_Control,Cd9,Cd9,12527,ENSMUSG00000030342,CD9 antigen,2922.8128879439214,2.0739423890496673,0.10340631920145801,20.05624419344408,1.7803412869408323e-89,1.0578618370689383e-86,Up,TRUE
Microglia_3d_HI_vs_Control,Psat1,Psat1,107272,ENSMUSG00000024640,phosphoserine aminotransferase 1,1047.481734572066,2.3289820512330897,0.12029228200453347,19.36102643015216,1.6457346440550512e-83,9.334307676599512e-81,Up,TRUE
Microglia_3d_HI_vs_Control,Sdc4,Sdc4,20971,ENSMUSG00000017009,syndecan 4,1589.0123196542784,3.400254972843916,0.1783168507921749,19.068612740401367,4.60356065589995e-81,2.4975317332312857e-78,Up,TRUE
