category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Genetic Information Processing,Translation,mmu03008,Ribosome biogenesis in eukaryotes,48/1897,67/5072,0.7164179104477612,1.915483206004768,5.83034626304896,1.0762724346634413e-8,3.7884789700153135e-6,3.2741340380814165e-6,102216272/52530/68272/30877/55989/67134/110816/217109/14113/72515/104444/213895/67973/245474/68147/237107/208366/216987/67619/217995/19384/230737/73674/98956/66181/69237/97112/21453/27993/73736/225348/213773/16418/237082/14791/105372/54364/227522/74778/103573/100019/67459/13001/224092/13000/53319/72554/230082,48
Human Diseases,Neurodegenerative disease,mmu05020,Prion disease,106/1897,202/5072,0.5247524752475248,1.4030282311309676,4.518094168585706,6.170169541477315e-6,0.0010859498393000074,9.385152618352337e-4,21926/66997/67951/20304/14828/16175/13665/19175/26416/26443/22123/20463/67089/19179/22142/230075/16193/26417/18753/66142/70247/26444/66413/13058/73710/66414/12367/227197/13653/66445/227613/17463/21762/12028/15481/23996/20867/22272/12389/26445/18708/19184/193740/19055/67680/16439/23997/67530/59029/12858/22143/26441/16176/20655/66218/19353/11739/19166/67273/67003/57296/19177/19173/13057/22154/72900/17992/19172/12866/12390/14812/12862/110323/70316/19167/66152/17967/19056/17993/12259/22273/18706/16572/67264/12015/68194/19354/56436/66377/19094/19058/22153/22145/19057/68197/18749/18747/12913/13001/226519/13000/26427/68198/14810/12859/68202,106
Human Diseases,Cardiovascular disease,mmu05417,Lipid and atherosclerosis,88/1897,165/5072,0.5333333333333333,1.4259708311368828,4.299544124582244,1.6856383524258527e-5,0.0019159861970270938,0.001655861276736932,20296/20293/20302/12475/15977/21926/15510/16160/12491/20310/18033/20304/24088/14828/16476/13665/11307/15525/26416/12322/68652/12370/16193/26417/54123/20656/108078/19878/18796/12048/13058/56489/12313/16835/12367/22027/22329/14281/12028/12314/15481/20182/15461/18803/16179/18018/18708/193740/18750/19055/15519/11303/16176/12323/19353/216799/18021/12122/215449/14825/13057/26397/23797/18024/66824/20779/22325/19056/18706/18019/12015/16653/15516/11651/22433/19094/19058/21933/19057/22059/226641/22031/76580/26408/17096/11652/330122/12362,88
Organismal Systems,Immune system,mmu04625,C-type lectin receptor signaling pathway,54/1897,92/5072,0.5869565217391305,1.5693428983979283,4.2595307334167964,2.3426149739321212e-5,0.0019159861970270938,0.001655861276736932,21926/83430/16160/17246/18033/16476/19698/17474/26416/56619/12370/16193/26417/18753/16985/18479/56489/12313/12314/15461/18018/18708/19055/16439/20130/13654/19225/16176/216799/18021/16153/23797/66824/20779/20963/19056/18706/66922/18019/56644/16653/11651/56620/69632/19094/19058/19057/16362/17532/20846/11652/18034/12362/20299,54
Human Diseases,Immune disease,mmu05321,Inflammatory bowel disease,28/1897,40/5072,0.7,1.8715867158671584,4.277390374075063,2.7215713025953035e-5,0.0019159861970270938,0.001655861276736932,15979/21926/83430/16160/18033/24088/16476/16175/16193/14998/17132/17127/16186/15001/18018/21803/53791/16176/20852/15002/16153/14999/60504/16190/14969/14960/20846/14961,28
Human Diseases,Endocrine and metabolic disease,mmu04933,AGE-RAGE signaling pathway in diabetic complications,45/1897,75/5072,0.6,1.604217185028993,4.0745310914145705,5.2834615895908624e-5,0.0030996307992266392,0.0026788077182311565,20296/20293/21926/18033/21812/14268/16476/16175/26416/18751/16193/26417/18753/18796/17127/13058/12367/14066/13653/22329/12028/56458/15461/18803/18018/18708/18750/21803/18754/16176/13614/19353/12576/12567/23797/22340/18706/12843/16653/17390/11651/19094/20846/11652/18712,45
Environmental Information Processing,Signaling molecules and interaction,mmu04080,Neuroactive ligand-receptor interaction,40/1897,66/5072,0.6060606060606061,1.620421399019185,3.9212264165582296,9.994575292587665e-5,0.005025843575701226,0.004343507157229827,74191/12273/18438/12257/14293/18442/19219/11555/58861/11542/22354/18436/67168/15559/14815/13614/233571/19218/12267/108069/14289/13618/11541/20604/11539/15466/12424/14812/23936/16995/320343/70804/14809/70155/14402/54393/21833/18217/14810/14799,40
Human Diseases,Neurodegenerative disease,mmu05012,Parkinson disease,100/1897,206/5072,0.4854368932038835,1.2979103438745898,3.3739741167134674,5.602463879498821e-4,0.023636470618524894,0.020427452179287365,14678/66997/67951/14977/14828/213053/13665/19175/26443/22123/20463/67089/12322/19179/22142/230075/68943/214922/66142/70247/26444/18174/12048/277468/66413/73710/78294/66414/12313/12367/227197/66445/227613/17463/21762/12028/12314/68015/23996/22272/22201/18803/26445/19184/67680/16439/67547/23997/67530/59029/12858/22143/26441/20655/66218/12323/11739/14683/19166/67273/67003/57296/19177/19173/18024/22154/72900/30791/17992/19172/12866/22166/12862/17762/110323/70316/19167/66152/17993/22273/16572/67264/68194/56436/66377/22433/22153/22145/68197/22059/18749/18747/226641/110877/26408/68198/17161/170731/12859/68202,100
Organismal Systems,Immune system,mmu04662,B cell receptor signaling pathway,39/1897,68/5072,0.5735294117647058,1.5334428974541845,3.4228853199678504,6.043415783145569e-4,0.023636470618524894,0.020427452179287365,18033/12517/16476/170758/18751/12520/26417/68713/14784/26377/15985/14281/18036/15461/16331/18018/18708/19055/19353/18021/83490/23797/26396/242248/20963/22325/19056/18706/18019/16653/19354/20662/11651/19058/16332/232801/19057/17096/11652,39
Human Diseases,Immune disease,mmu05323,Rheumatoid arthritis,36/1897,62/5072,0.5806451612903226,1.5524682435764452,3.3829291876305656,7.083932157298709e-4,0.024935441193691458,0.021550067299571863,20296/20293/20302/21926/83430/20310/13039/20304/24088/16476/16175/11966/12977/16193/11964/14998/11973/15001/14281/11972/66335/21803/108664/73834/16176/76252/15002/14254/14825/14999/11975/14969/14960/66290/14961/330122,36
Environmental Information Processing,Signal transduction,mmu04370,VEGF signaling pathway,28/1897,46/5072,0.6086956521739131,1.6274667094497033,3.3042048830386213,9.955726752596357e-4,0.030561379107504682,0.026412196656904467,26416/170758/18751/26417/15461/15507/18803/18708/18750/19055/19225/102626/18783/19353/23797/26396/20779/19056/18706/18019/12015/16653/19354/11651/19094/19058/19057/11652,28
Organismal Systems,Immune system,mmu04659,Th17 cell differentiation,42/1897,76/5072,0.5526315789473685,1.4775684598951255,3.242200169135098,0.0010724562542873386,0.030561379107504682,0.026412196656904467,15979/83430/50498/18033/16194/21812/16476/26416/16193/26417/14998/17127/16186/15251/15001/14281/18036/20182/18803/50931/18018/19055/21803/15519/16176/18021/20852/15002/14999/19056/18019/60504/16190/15516/19094/19058/14969/14960/19057/16364/20846/14961,42
Human Diseases,Neurodegenerative disease,mmu05010,Alzheimer disease,132/1897,286/5072,0.46153846153846156,1.2340132192530717,3.148804275493942,0.0011286872965839798,0.030561379107504682,0.026412196656904467,16956/27373/21926/18033/29869/66997/67951/14977/213053/16175/13665/19175/26443/22123/12977/20463/67089/19179/22142/230075/12370/16193/26417/214922/66142/70247/14433/26444/18174/18796/277468/66413/13058/11820/73710/66414/67738/20168/12313/12367/227197/11487/14296/66445/227613/17463/21762/12314/16974/11789/15461/23996/22272/26445/18708/19184/19055/22241/67680/16439/67547/19225/23997/67530/59029/23821/12858/22143/26441/16176/66218/19165/11739/16973/12122/19166/67273/67003/57296/19177/19173/14365/23797/22154/72900/30791/26396/17992/19172/12866/68118/14812/12862/17762/110323/100504663/70316/19167/66152/19056/11785/17993/22273/212398/18706/16572/67264/12015/68194/234664/16653/56436/12421/66377/11651/22433/19058/22153/22145/19057/68197/226641/13001/26408/13000/12569/68585/11652/68198/14810/12859/68202,132
Organismal Systems,Immune system,mmu04640,Hematopoietic cell lineage,31/1897,53/5072,0.5849056603773585,1.5638595199968173,3.189399047292848,0.0013892132452202764,0.034928790165538376,0.030186663749523304,233274/12475/12978/21926/12491/16194/12489/12493/16175/16178/12977/12527/16193/54368/16402/14998/15001/12505/12479/16403/16176/13857/16197/15002/12490/14999/16190/12986/14969/14960/14961,31
