ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0120039,plasma membrane bounded cell projection morphogenesis,146/2057,480/10587,0.30416666666666664,1.5654897909577052,6.226483330517723,2.4937412730187425e-9,9.586691304902635e-6,8.30876187594834e-6,Wasf2/Csf1r/Ulk2/Nfix/Srgap2/Camk2a/Tuba1a/Sema4b/Tet1/Marcks/Rac3/Mef2a/Arhgap4/Abl1/Grcc10/Plxnb2/Rtn4rl1/Abi3/Dip2b/Clasp2/Rere/Rock2/Etv1/Slc39a12/Map1b/Smad3/Sema4d/Pak1/Mef2c/Shank1/Scn1b/Tubb2b/Cpe/Aurka/Adam10/Stmn1/Fam168b/Ptprz1/Dock10/Tanc2/Metrn/Numb/Ptprs/Apc/Mycbp2/Twf2/Akap5/Enpp2/Cnp/Bcan/Ep300/Prkca/Atp8a2/Cntn1/Ppp3ca/Ulk1/Egr2/Hecw1/Rap2a/L1cam/Sipa1l1/Plxnb1/Pacsin1/Dnm2/Camk2b/Foxp1/Kif20b/Rac1/Trio/Ptpro/Sh3glb1/Ptn/Pten/Rock1/Syt1/Eef2k/Ppp1r9a/Map2/Pak6/Map4k4/Fzd3/Aplp1/Efnb1/Cck/Sema6d/Tsc22d4/Ttc3/Coro1b/Mapt/Ctnnd2/Src/Dst/Nfib/Zswim6/Mgll/Plxna4/Cpne6/Ncam1/Apbb1/Smurf1/Mt3/Cd2ap/Wasl/Adnp/Kif5a/Dicer1/Sema4g/Nfasc/Bcl11a/Mark2/Pitpna/Sin3a/Clu/Plxnb3/Stxbp5/Bmpr2/Chl1/Ntrk3/Klk8/Nedd4/Sult4a1/Mfsd2a/Top2b/Syt3/Lifr/Rnf157/Nefm/Pak2/Rbfox2/Cdk5r1/Kif1a/Amigo1/Rtn4/Rreb1/Taok2/Stk11/Nckap1l/Chn1/Picalm/Dcx/Btbd3/Grin1/Rab3a/Gpm6a/Bcl11b/Efna4,146
GO:0048858,cell projection morphogenesis,147/2057,485/10587,0.3030927835051546,1.5599627121872006,6.1991889061068175,2.8604181127562688e-9,9.586691304902635e-6,8.30876187594834e-6,Wasf2/Csf1r/Ulk2/Nfix/Srgap2/Camk2a/Tuba1a/Sema4b/Tet1/Marcks/Rac3/Mef2a/Arhgap4/Abl1/Grcc10/Plxnb2/Rtn4rl1/Abi3/Dip2b/Clasp2/Rere/Rock2/Etv1/Slc39a12/Map1b/Smad3/Sema4d/Pak1/Mef2c/Shank1/Scn1b/Tubb2b/Cpe/Aurka/Adam10/Stmn1/Fam168b/Ptprz1/Dock10/Tanc2/Metrn/Numb/Ptprs/Apc/Mycbp2/Twf2/Akap5/Enpp2/Cnp/Bcan/Ep300/Prkca/Atp8a2/Cntn1/Ppp3ca/Ulk1/Egr2/Hecw1/Rap2a/L1cam/Sipa1l1/Plxnb1/Pacsin1/Dnm2/Camk2b/Foxp1/Kif20b/Rac1/Cspg5/Trio/Ptpro/Sh3glb1/Ptn/Pten/Rock1/Syt1/Eef2k/Ppp1r9a/Map2/Pak6/Map4k4/Fzd3/Aplp1/Efnb1/Cck/Sema6d/Tsc22d4/Ttc3/Coro1b/Mapt/Ctnnd2/Src/Dst/Nfib/Zswim6/Mgll/Plxna4/Cpne6/Ncam1/Apbb1/Smurf1/Mt3/Cd2ap/Wasl/Adnp/Kif5a/Dicer1/Sema4g/Nfasc/Bcl11a/Mark2/Pitpna/Sin3a/Clu/Plxnb3/Stxbp5/Bmpr2/Chl1/Ntrk3/Klk8/Nedd4/Sult4a1/Mfsd2a/Top2b/Syt3/Lifr/Rnf157/Nefm/Pak2/Rbfox2/Cdk5r1/Kif1a/Amigo1/Rtn4/Rreb1/Taok2/Stk11/Nckap1l/Chn1/Picalm/Dcx/Btbd3/Grin1/Rab3a/Gpm6a/Bcl11b/Efna4,147
GO:0007420,brain development,140/2057,462/10587,0.30303030303030304,1.5596411366950989,6.040065899167273,7.0397932313563995e-9,1.2208404905591133e-5,1.0580994633032729e-5,P2ry12/Hes1/Cx3cr1/Rogdi/Csf1r/Sall1/Nfix/Hhex/Srgap2/Kif21b/Tuba1a/Btg2/Whrn/Cenpf/Rac3/Smad1/Git2/Abl1/Grcc10/Slc1a2/Plxnb2/Rtn4rl1/Zmiz1/Rere/Ikzf1/Arid1a/Tacc3/Akirin2/Pak1/Ski/Sox4/Tubb2b/Nr2c2/Rtn3/Casp3/Ldb1/Aim2/Fos/Akna/Stil/Numb/Lrp6/Brinp1/Ptprs/Setd2/Pbx1/Rtn1/Ophn1/Bcan/Sall3/Cntn1/Olig2/Psap/Ssbp3/Tcf7l2/Ulk1/Fez1/Egr2/L1cam/Trappc9/Ezh2/Nde1/Zbtb18/Rac1/Nanos1/Epor/Ptger3/Rbbp4/Pten/Nrgn/Gpr37l1/Bmpr1a/Fzd3/Aplp1/Nnat/Akt3/Atat1/Sptbn2/Atrx/Ppp1r9b/Sema6d/Cic/Src/Ncor1/Nfib/Rrm1/Zswim6/Lypd6/Pbx2/Plxna4/Ncam1/Ndst1/Rtn2/Chd5/Atp1a2/Atp1b2/Sox12/Dll1/Dicer1/Nfasc/Kras/Sos1/Amigo3/Bptf/Sin3a/Nf1/Comt/Nipbl/Fabp7/Samd4b/Dnajc30/Slc38a2/Gabrb3/Trp53/Hdac2/Sez6l/Mfsd2a/Sez6/Atxn1l/Top2b/Sox15/Kif14/Rbfox2/Cbs/Cdk5r1/Kif1a/Amigo1/Tacc1/Rtn4/Csnk1d/Neurod2/Dcx/E2f1/Btbd3/Mdga1/Grin1/Bcl11b/Gria1/Mboat7/Aspm,140
GO:0048812,neuron projection morphogenesis,141/2057,468/10587,0.30128205128205127,1.5506432070603193,5.983192690470704,9.377089664699592e-9,1.2208404905591133e-5,1.0580994633032729e-5,Csf1r/Ulk2/Nfix/Srgap2/Camk2a/Tuba1a/Sema4b/Tet1/Marcks/Rac3/Mef2a/Arhgap4/Abl1/Grcc10/Plxnb2/Rtn4rl1/Abi3/Dip2b/Clasp2/Rere/Rock2/Etv1/Slc39a12/Map1b/Smad3/Sema4d/Pak1/Mef2c/Shank1/Scn1b/Tubb2b/Cpe/Aurka/Adam10/Stmn1/Fam168b/Ptprz1/Dock10/Tanc2/Metrn/Numb/Ptprs/Apc/Mycbp2/Twf2/Akap5/Cnp/Bcan/Ep300/Prkca/Atp8a2/Cntn1/Ppp3ca/Ulk1/Egr2/Hecw1/Rap2a/L1cam/Sipa1l1/Plxnb1/Pacsin1/Dnm2/Camk2b/Foxp1/Kif20b/Rac1/Trio/Ptpro/Sh3glb1/Ptn/Pten/Rock1/Syt1/Eef2k/Ppp1r9a/Map2/Pak6/Map4k4/Fzd3/Aplp1/Efnb1/Cck/Sema6d/Tsc22d4/Ttc3/Mapt/Ctnnd2/Dst/Nfib/Zswim6/Mgll/Plxna4/Cpne6/Ncam1/Apbb1/Smurf1/Mt3/Cd2ap/Wasl/Adnp/Kif5a/Dicer1/Sema4g/Nfasc/Bcl11a/Mark2/Pitpna/Sin3a/Clu/Plxnb3/Stxbp5/Bmpr2/Chl1/Ntrk3/Klk8/Nedd4/Sult4a1/Mfsd2a/Top2b/Syt3/Lifr/Rnf157/Nefm/Pak2/Rbfox2/Cdk5r1/Kif1a/Amigo1/Rtn4/Taok2/Stk11/Nckap1l/Chn1/Picalm/Dcx/Btbd3/Grin1/Rab3a/Gpm6a/Bcl11b/Efna4,141
GO:0001568,blood vessel development,146/2057,489/10587,0.2985685071574642,1.5366770954186064,5.967032209219756,9.785765987421404e-9,1.2208404905591133e-5,1.0580994633032729e-5,Glul/Hpgd/Hes1/Sparc/Serpinf1/Cx3cr1/Wasf2/Lyl1/Il6ra/Tgfbr1/Ecscr/Ramp1/Prcp/Jun/Hhex/Mapk14/Tmem100/Pde3b/Myo18b/Smad1/Casp8/Prkcb/Tjp1/Klf2/Epn1/Abl1/Ang/Ets1/Pik3cg/Zmiz1/Smad7/Rock2/Cfh/Ago1/Adipor2/Sh2b3/Fmnl3/Arid1a/Tspan18/Slc39a12/Adrb2/Acvr2b/Nrarp/Eng/Mef2c/Zfp36l1/Cysltr1/Sox4/Ldlr/Wnk1/Foxj2/Egr1/Map3k3/Foxo1/Cib1/Setd2/Ceacam1/Vhl/Cav1/Plcg1/Gpx1/Mtdh/Prkca/Jup/Tcf7l2/Tgfb1/Rras/Mfge8/Egr2/Hipk2/Add1/Dnm2/E2f8/Arid2/Cited2/Slc12a2/Epor/Rapgef1/Nfatc3/Ptn/Lrp5/Hmgb1/Pten/Cntrl/Rock1/Smad5/Ctnnd1/Hif3a/Rin2/Cd34/Hspb6/Klf4/Adtrp/Bmpr1a/Akt3/Vezf1/Epha2/Tcf4/E2f2/Foxm1/B4galt1/Tgfa/Elk3/Hbegf/Lemd3/Dctn5/Syk/Vav2/Gab1/Vegfb/Stim1/Rasa1/Ndst1/Pik3ca/Fbxw7/Dll1/Dicer1/Tal1/Snx17/Col1a2/Mmp2/Sos1/E2f7/Epn2/Nf1/Akt1/Egfl7/Arhgap22/Bmpr2/Comt/Nedd4/Bcas3/Pank2/Cd47/Vash2/Pbrm1/Amotl1/Vash1/Gtf2i/Sp1/Rtn4/Stk4/Hs6st1/Ccm2/Wars2/Mapk7,146
GO:0007059,chromosome segregation,113/2057,355/10587,0.3183098591549296,1.6382821968270491,6.006966597443563,1.0928006778091421e-8,1.2208404905591133e-5,1.0580994633032729e-5,Ccnb2/Klhdc8b/Prc1/Cdca8/Cenpf/Top2a/Racgap1/Zcwpw1/Birc5/Ncaph/Cdk1/Mki67/Tpx2/Clasp2/Nusap1/Smc4/Arid1a/Tacc3/Kif11/Espl1/Plk1/Aurka/Cdc20/Rad21/Numa1/Dlgap5/Ctcf/Cenpq/Stil/Apc/Cdca2/Kif23/Bub1b/Kif15/Ska2/Brd4/Kif22/Ccnb1/Ube2c/Tubgcp5/Kif4/Hspa1a/Cenpe/Smarca2/Ncapg/Incenp/Pum2/Rcc2/Nde1/Spc24/Arid2/Esco2/Fbxo5/Naa60/Nuf2/Ndc80/Stag2/Kifc1/Hnrnpu/Pten/Chek2/Smarcd2/Ncapd2/Ppp2r2d/Akap8l/Senp6/Ect2/Tubb5/Rab24/Lsm14a/Aurkb/Knstrn/Smarcd1/Mzt1/Cenpl/Ncor1/Spag5/Cenpp/Baz1b/Ppp2r2b/Nek2/Spc25/Dicer1/Pmf1/Cep192/Smc2/Tlk2/Klhl22/Kif2a/Smc3/Zwilch/Mis18a/Nipbl/Ago4/Cenpo/Trappc12/Top2b/Haus5/Pbrm1/Kif14/Cenpn/Kifc5b/Brip1/Csnk2a2/Cep63/Csnk1d/Ppp2r2c/Ube2b/Haus4/Top3b/Actl6b/Cenpi/Aspm,113
GO:0070848,response to growth factor,145/2057,489/10587,0.2965235173824131,1.5261519098335476,5.850008170127729,1.7996735471648056e-8,1.5721875552666295e-5,1.3626111038288481e-5,Tmem119/Hpgd/Hes1/Sparc/Csnk1e/Hfe/Itgb5/Nfkb1/Tgfbr1/Nfix/Jun/Zfhx3/Hhex/Pmepa1/Mapk14/Tmem100/Ptp4a3/Ldlrad4/Tet1/Ccna2/Smad1/Pdcd4/Prkcb/Mapk3/Abl1/Tmem204/Zmiz1/Grb2/Smad7/Rab35/Rock2/Sort1/Arid4a/Map1b/Smad3/Acvr2b/Eng/Mef2c/Ski/Zfp36l1/Rgmb/Htra3/Dusp6/Casp3/Numa1/Egr1/Nrep/Fos/Cib1/Zfp36l2/Cdkn1c/Twf2/Cav1/Plcg1/Nrxn1/Ep300/Gpr155/Hspa1a/Cat/Tcf7l2/Ulk1/Tgfb1/Fez1/Prkce/Nr3c1/Hipk2/Gstp1/Dnm2/Acap2/Zeb1/Cited2/Mcm7/Zfp703/Rapgef1/Bcl9l/Dusp22/Rbbp4/Sh3glb1/Shcbp1/Eef2/Tsc22d1/Htra1/Tspan32/Rock1/Smad5/Eef2k/Gclc/Arrb2/Klf4/Bmpr1a/Rab14/Nfia/Ing1/Epha2/Ppp1r9b/Lpxn/Tcf4/Cav2/Knstrn/Eef1a1/Suds3/Coro1b/Src/Tob1/Lemd3/Kmt2a/Rasl11b/Gab1/Vegfb/Ctdspl2/Smurf1/Rasa1/Ndst1/Pik3ca/Arf6/Mt3/Cd2ap/Ppm1a/Dll1/Col1a2/Sos1/Bptf/Sin3a/Epn2/Akt1/Kdm6a/Bmpr2/Ing2/Trim33/Ntrk3/Nedd4/Trp53/Hdac2/Lefty1/Stmn2/Smpd3/Arid4b/Pak2/Spry1/Stk11/Cpne3/Frs3/Mapk7/E2f1/Gria1,145
GO:0007610,behavior,143/2057,482/10587,0.2966804979253112,1.5269598597643508,5.8148895518498955,2.1845579022780095e-8,1.5721875552666295e-5,1.3626111038288481e-5,Ptgs1/Csnk1e/Serpinf1/Cx3cr1/Man2b1/Rogdi/Nfix/Camk2n1/Jun/Cdh23/Zfhx3/Crebrf/Tuba1a/Hexb/Btg2/Etv5/Tifab/Rptor/Sdk1/Git2/Eif4ebp2/Abl1/Grcc10/Slc1a2/Kcnip3/Etv1/Spire1/Adrb2/Slc1a3/Pak1/Mef2c/Pias1/Shank1/Ap1s2/Apba1/Nr2c2/Ldlr/Casp3/Hexa/Aim2/Oxr1/Egr1/Rnf180/Ptprz1/Paip2/Fos/Gm2a/Brinp1/Cnp/Snap25/Nrxn1/Ep300/Prkca/Atp8a2/Cntn1/Psap/P2rx1/Slc6a1/Kcnj10/Usp2/Alb/Egr2/Arrdc3/Prkce/Nr3c1/Bace1/Hipk2/Gnao1/Ckap5/Astn1/Sod1/Fbxl20/Foxp1/Lpar5/Ptger3/Cln6/Ptn/Pten/Nrgn/Jph4/Nrxn2/Ednrb/Tmod2/Arrb2/Pak6/Mafg/Cebpa/Jph3/Adora1/Hrh2/Sptbn2/Cck/Ppp1r9b/Grin2b/Cic/Mapt/Ctnnd2/Zfp385a/Ncor1/Kmt2a/Ncam1/Ppp3cb/Apbb1/Per3/Gng7/Atp1a2/Atp1b2/Adnp/Tal1/Kras/Nf1/Akt1/Chl1/Comt/Synj1/Klk8/Gabrb3/Trp53/Hdac2/Sez6l/Mfsd2a/Sez6/Atxn1l/Adam22/Zfp212/Fosb/Deaf1/Nr1d2/Slc17a7/Zfx/Nrxn3/Specc1/Thra/Ntsr2/Neurod2/Cacnb4/Bahcc1/Epm2a/Picalm/Mmp17/Grin1/Amph/Gria1,143
GO:0007186,G protein-coupled receptor signaling pathway,111/2057,351/10587,0.3162393162393162,1.6276254939356545,5.872155815220651,2.199967786186623e-8,1.5721875552666295e-5,1.3626111038288481e-5,P2ry12/Hpgd/P2ry13/Cx3cr1/Entpd1/Gnai2/Ramp1/Rgs10/Rap1gds1/Camk2a/Gng2/C5ar2/Prex1/Prkcb/Git2/Abl1/Pik3cg/Ly6g6e/Gna15/Orai1/Grk6/Rock2/Gpr165/Sort1/Gpr34/Sh2b3/Gng10/Plcb2/Adrb2/Akap13/Kctd12/Cysltr1/Wnk1/Kctd12b/Adora3/Stmn1/Rgs7bp/Ccr6/Cib1/Vipr1/Akap5/Cav1/Nrxn1/Gna11/Prkca/Ppp3ca/Psap/Lpar6/Rgs2/Deptor/Rgs19/Arrdc3/Gnao1/Dnm2/Enho/Lpar5/P2ry6/Rac1/Ptger3/Gpr146/Tpra1/Gnas/Pcsk1n/Grm3/Dnm1/Arrb1/Rock1/Ednrb/Tmod2/Arrb2/Sst/Gpr37l1/Gna12/Fzd3/Adora1/Aplp1/Hrh2/Cck/Ppp1r9b/Cav2/Spns2/Src/Padi2/Syk/Mgll/Gprasp1/Gprc5c/Stim1/Gpr17/Gng7/Rac2/Abhd6/Palm/Akt1/Esr1/Arhgef12/Rgs12/Gnaz/Syp/Prkacb/Prkaca/Gpr160/Gsk3a/Gabbr1/Rab43/Cdk5r1/Lyn/Gng3/Ntsr2/Gpr183/Pik3r5,111
GO:0071363,cellular response to growth factor stimulus,140/2057,470/10587,0.2978723404255319,1.5330940535173099,5.805444361550423,2.3454983668008797e-8,1.5721875552666295e-5,1.3626111038288481e-5,Tmem119/Hpgd/Hes1/Sparc/Csnk1e/Hfe/Itgb5/Nfkb1/Tgfbr1/Nfix/Jun/Hhex/Pmepa1/Mapk14/Tmem100/Ptp4a3/Ldlrad4/Tet1/Ccna2/Smad1/Pdcd4/Prkcb/Mapk3/Abl1/Tmem204/Zmiz1/Grb2/Smad7/Rab35/Sort1/Arid4a/Map1b/Smad3/Acvr2b/Eng/Mef2c/Ski/Zfp36l1/Rgmb/Htra3/Casp3/Numa1/Egr1/Nrep/Fos/Cib1/Zfp36l2/Cdkn1c/Twf2/Cav1/Plcg1/Nrxn1/Ep300/Gpr155/Hspa1a/Cat/Tcf7l2/Ulk1/Tgfb1/Fez1/Prkce/Nr3c1/Hipk2/Gstp1/Dnm2/Acap2/Zeb1/Cited2/Mcm7/Zfp703/Rapgef1/Bcl9l/Dusp22/Rbbp4/Sh3glb1/Shcbp1/Eef2/Tsc22d1/Htra1/Tspan32/Smad5/Eef2k/Gclc/Arrb2/Klf4/Bmpr1a/Rab14/Nfia/Ing1/Ppp1r9b/Lpxn/Tcf4/Cav2/Knstrn/Eef1a1/Suds3/Coro1b/Src/Tob1/Lemd3/Kmt2a/Rasl11b/Gab1/Vegfb/Ctdspl2/Smurf1/Rasa1/Ndst1/Pik3ca/Arf6/Mt3/Cd2ap/Ppm1a/Dll1/Col1a2/Sos1/Bptf/Sin3a/Epn2/Akt1/Kdm6a/Bmpr2/Ing2/Trim33/Ntrk3/Nedd4/Trp53/Hdac2/Lefty1/Stmn2/Smpd3/Arid4b/Pak2/Spry1/Stk11/Cpne3/Frs3/Mapk7/E2f1/Gria1,140
