ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0042254,ribosome biogenesis,136/1551,280/10587,0.4857142857142857,3.315446255871788,16.267893300177516,1.2995666771548074e-42,8.332821533916625e-39,7.277573392066921e-39,Rrs1/Mybbp1a/Ncl/Pa2g4/Npm1/Pno1/Ebna1bp2/Ak6/Rps27l/Nhp2/Ftsj3/Heatr3/Ddx56/Nle1/Eif1ax/Pwp1/Exosc3/Nop58/Bop1/C1qbp/Nop14/Rpf2/Nop56/Nop9/Pwp2/Ppan/Ddx18/Grwd1/Brix1/Mrto4/Utp18/Ipo4/Fbl/Ddx27/Rps19bp1/Wdr12/Wdr43/Rps27a/Bysl/Noc4l/Bms1/Mphosph10/Rrp9/Lyar/Wdr46/Nop16/Dkc1/Gar1/Aatf/Rpl38/Mak16/Ddx21/Nol9/Rps23/Gnl3l/Mettl16/Wdr18/Rpp40/Rrp15/Wdr55/Utp6/Nol11/Tsr1/Pak1ip1/Sdad1/Wdr74/Noa1/Rpl35/Nob1/Pdcd11/Heatr1/Ltv1/Mphosph6/Ran/Rrn3/Gnl2/Wdr75/Rpf1/Nat10/Nop10/Rrp1/Gtpbp4/Isg20l2/Npm3/Ddx54/Nmd3/Imp4/Ddx49/Nol7/Znhit6/Exosc1/Dis3/Nop2/Fcf1/Wdr36/Tbl3/Eif6/Rbm34/Eif5b/Emg1/Fastkd2/Dcaf13/Nol10/Utp15/Rpp30/Kri1/Dhx30/Rpp38/Nip7/Rrp8/Srfbp1/Rrp7a/Rpl26/Xpo1/Zfp593/Mdn1/Dhx37/Nvl/Exosc10/Rpl7l1/Eif5/Rpl14/Tma16/Dhx29/Dimt1/Ddx10/Lsg1/Ddx28/Ngdn/Pes1/Utp14a/Nsun5/Exosc9/Urb1/Exosc4/Nol6,136
GO:0022613,ribonucleoprotein complex biogenesis,166/1551,400/10587,0.415,2.832756286266924,15.480867479860443,1.122173492314455e-40,3.5976882163601426e-37,3.142085778480474e-37,Rrs1/Mybbp1a/Ncl/Pa2g4/Npm1/Pno1/Ebna1bp2/Ak6/Rps27l/Prpf31/Nhp2/Ftsj3/Eif2s2/Heatr3/Ddx56/Nle1/Eif1ax/Smn1/Pwp1/Exosc3/Nop58/Bop1/C1qbp/Nop14/Rpf2/Prmt5/Nop56/Nop9/Pwp2/Ppan/Ddx18/Grwd1/Brix1/Mrto4/Utp18/Eif3i/Ipo4/Fbl/Ddx27/Eif3c/Rps19bp1/Wdr12/Wdr43/Rps27a/Bysl/Noc4l/Bms1/Mphosph10/Eif3l/Rrp9/Lyar/Wdr46/Nop16/Dkc1/Gar1/Snrpd3/Aatf/Eif3d/Rpl38/Mak16/Ddx21/Eif3g/Nol9/Rps23/Gnl3l/Mettl16/Wdr18/Rpp40/Rrp15/Wdr55/Utp6/Nol11/Tsr1/Pak1ip1/Sdad1/Wdr74/Prmt7/Luc7l/Noa1/Denr/Wdr77/Hsp90aa1/Rpl35/Nob1/Pdcd11/Nufip1/Heatr1/Ltv1/Mphosph6/Ran/Rrn3/Gnl2/Wdr75/Gemin5/Rpf1/Nat10/Nop10/Rrp1/Gtpbp4/Isg20l2/Npm3/Ddx54/Nmd3/Imp4/Ddx49/Nol7/Znhit6/Exosc1/Dis3/Nop2/Fcf1/Wdr36/Tbl3/Eif6/Rbm34/Eif5b/Ruvbl2/Emg1/Strap/Fastkd2/Prpf3/Dcaf13/Nol10/Utp15/Snrpd1/Rpp30/Kri1/Dhx30/Rpp38/Ncbp1/Nip7/Rrp8/Srfbp1/Usp39/Rrp7a/Rpl26/Xpo1/Zfp593/Hsp90ab1/Mdn1/Dhx37/Nvl/Exosc10/Snrpc/Rpl7l1/Eif5/Ptges3/Rpl14/Tma16/Dhx29/Dimt1/Ddx10/U2af2/Lsg1/Ddx28/Isy1/Eif3m/Ngdn/Pes1/Utp14a/Nsun5/Mcts1/Exosc9/Urb1/Exosc4/Nol6,166
GO:0006364,rRNA processing,96/1551,195/10587,0.49230769230769234,3.360452313643803,13.783093440713841,7.555848488176789e-31,1.6149366835396526e-27,1.4104250511263341e-27,Rrs1/Ncl/Pa2g4/Npm1/Ebna1bp2/Ak6/Nhp2/Ftsj3/Ddx56/Pwp1/Exosc3/Bop1/Nop14/Rpf2/Nop9/Pwp2/Ppan/Ddx18/Brix1/Mrto4/Utp18/Fbl/Ddx27/Wdr12/Wdr43/Bysl/Bms1/Mphosph10/Rrp9/Lyar/Wdr46/Dkc1/Gar1/Mak16/Ddx21/Nol9/Mettl16/Wdr18/Rpp40/Rrp15/Wdr55/Utp6/Nol11/Tsr1/Pak1ip1/Wdr74/Rpl35/Nob1/Pdcd11/Heatr1/Mphosph6/Wdr75/Rpf1/Nat10/Nop10/Rrp1/Gtpbp4/Npm3/Ddx54/Imp4/Ddx49/Nol7/Znhit6/Exosc1/Dis3/Nop2/Fcf1/Wdr36/Tbl3/Eif6/Rbm34/Emg1/Dcaf13/Nol10/Utp15/Rpp30/Kri1/Rpp38/Rrp8/Srfbp1/Rrp7a/Dhx37/Nvl/Exosc10/Rpl7l1/Rpl14/Dimt1/Ddx10/Ngdn/Pes1/Utp14a/Nsun5/Exosc9/Urb1/Exosc4/Nol6,96
GO:0016072,rRNA metabolic process,103/1551,225/10587,0.4577777777777778,3.124753922200731,13.346329333833753,1.1743346074683853e-29,1.8824583757718216e-26,1.6440684504557394e-26,Rrs1/Ncl/Pa2g4/Slfn2/Npm1/Ebna1bp2/Ak6/Nhp2/Ftsj3/Ddx56/Pwp1/Exosc3/Bop1/Nop14/Rpf2/Nop9/Pwp2/Ppan/Ddx18/Brix1/Myc/Mrto4/Utp18/Fbl/Ddx27/Wdr12/Wdr43/Bysl/Polr1a/Bms1/Mphosph10/Rrp9/Lyar/Wdr46/Dkc1/Gar1/Mak16/Ddx21/Nol9/Mettl16/Wdr18/Rpp40/Rrp15/Wdr55/Utp6/Nol11/Tsr1/Pak1ip1/Wdr74/Rpl35/Nob1/Pdcd11/Heatr1/Mphosph6/Wdr75/Rpf1/Nat10/Nop10/Rrp1/Gtpbp4/Npm3/Ddx54/Tcof1/Imp4/Ddx49/Nol7/Ercc6/Znhit6/Exosc1/Dis3/Nop2/Fcf1/Wdr36/Tbl3/Eif6/Rbm34/Emg1/Dcaf13/Nol10/Polr1e/Utp15/Rpp30/Kri1/Rpp38/Rrp8/Srfbp1/Rrp7a/Polr1b/Dhx37/Nvl/Exosc10/Rpl7l1/Rpl14/Dimt1/Ddx10/Ngdn/Pes1/Utp14a/Nsun5/Exosc9/Urb1/Exosc4/Nol6,103
GO:0042273,ribosomal large subunit biogenesis,39/1551,59/10587,0.6610169491525424,4.512047995279152,11.207203104788043,2.678032649811099e-19,3.434309070117754e-16,2.999396567788431e-16,Rrs1/Npm1/Ebna1bp2/Ftsj3/Heatr3/Nle1/Bop1/Rpf2/Ppan/Ddx18/Brix1/Mrto4/Wdr12/Nop16/Mak16/Nol9/Rrp15/Pak1ip1/Sdad1/Wdr74/Rpl35/Rpf1/Gtpbp4/Znhit6/Nop2/Eif6/Rbm34/Fastkd2/Dhx30/Nip7/Rpl26/Mdn1/Nvl/Rpl7l1/Rpl14/Tma16/Ddx28/Pes1/Urb1,39
GO:0032543,mitochondrial translation,59/1551,124/10587,0.47580645161290325,3.2478161851874963,10.431031490763678,1.7637476586111258e-18,1.88485833116909e-15,1.6461644813703842e-15,Dap3/Gfm1/C1qbp/Mrpl15/Shmt2/Mrps18b/Mrps28/Gadd45gip1/Mrpl12/Mrps22/Mrpl19/Ptcd3/Rars2/Mrpl32/Mrpl17/Mrpl36/Mrpl20/Mrpl40/Mrpl52/Aurkaip1/Mrpl18/Mrpl38/Chchd1/Mrps7/Mrpl21/Mrps27/Mrpl2/Mrps10/Mrpl46/Alkbh1/Mrps26/Mrpl47/Mrpl42/Mrpl35/Mrpl39/Fastkd2/Mrps18c/Mrpl1/Mrpl3/Mrpl57/Iars2/Yars2/Mrpl28/Mrpl41/Mrpl33/Mrpl54/Mrpl11/Tsfm/Mrps15/Mrpl55/Mrps16/Mrps12/Mrpl9/Mrps18a/Mtrf1l/Mrps30/Mrpl37/Uqcc2/Mrps14,59
GO:0051604,protein maturation,128/1551,414/10587,0.30917874396135264,2.1104289892449004,9.548830229929232,6.291809287665753e-18,5.76329730750183e-15,5.033447430132603e-15,Srgn/Bola2/Hspd1/Mdm2/Cd74/Cct3/Plaur/Chac1/Asprv1/Hspa9/Ctsl/Calr/Fn1/Hspa5/Cct6a/Pdia3/Cct8/Hspa4/Timm17a/Il1r2/Plgrkt/Hp/Anxa2/Ctsz/Dnajb11/Pdia4/Mvp/Sdf2l1/Pdia5/Cct5/Naa50/Chchd4/P4hb/Tcp1/Prep/Myc/Rnpep/Atp6ap2/Ppid/Erp44/Bola3/Spcs2/Hsp90b1/F3/Crtap/Cfb/Parl/Gsn/Masp1/Trap1/Hspa8/Hyou1/Dhps/Vps35/Hspb1/Cdk20/Tmem208/Hspe1/Pofut2/Metap2/Dnaja2/Dohh/Mafb/Hsp90aa1/Dnajc2/Pfdn4/Spcs3/Cct4/Casp4/Naa20/Ctla2a/Pigs/Nudcd2/Cct2/Pdcd5/Grpel1/Tbcb/Flna/Afg3l2/Psen2/Chordc1/Nlrp3/St13/Hsph1/Stoml2/Pitrm1/Cln5/Fkbp4/Cisd1/Thbs1/Cpd/Adam9/Ppib/Cct7/Pmpca/Map2k3/Cwc27/Txndc5/Tysnd1/Ufsp1/Spcs1/Ndufab1/Afg3l1/Plau/Pfdn1/Cisd3/Pgk1/Pmpcb/Tbca/Zmpste24/Dnaja3/Serpine2/Zpr1/Slc30a5/Hsp90ab1/Pigf/H13/Mapk11/Dnajb14/Ptges3/Stub1/Ahsa2/Qsox2/Nudc/Immp1l/Ece2/Casp1/Calr3,128
GO:0140053,mitochondrial gene expression,65/1551,157/10587,0.4140127388535032,2.826017321883971,9.549844446669702,2.1582832435441182e-16,1.7298640197006108e-13,1.510798270480883e-13,Dap3/Gfm1/C1qbp/Mrpl15/Slirp/Tbrg4/Shmt2/Mrps18b/Mrps28/Gadd45gip1/Mrpl12/Mrps22/Mrpl19/Ptcd3/Rars2/Mrpl32/Mrpl17/Mrpl36/Mrpl20/Mrpl40/Mrpl52/Aurkaip1/Mrpl18/Mrpl38/Chchd1/Mrps7/Mrpl21/Mrps27/Mrpl2/Mrps10/Mrpl46/Alkbh1/Trnt1/Fastk/Pnpt1/Mrps26/Mrpl47/Mrpl42/Mrpl35/Mrpl39/Fastkd2/Mrps18c/Mrpl1/Mrpl3/Mrpl57/Iars2/Yars2/Mrpl28/Mrpl41/Mrpl33/Mrpl54/Mrpl11/Tsfm/Mrps15/Mrpl55/Mrps16/Mrps12/Mrpl9/Elac2/Mrps18a/Mtrf1l/Mrps30/Mrpl37/Uqcc2/Mrps14,65
GO:0042274,ribosomal small subunit biogenesis,48/1551,98/10587,0.4897959183673469,3.343307148778273,9.655148219928154,6.543745156308576e-16,4.662054882472287e-13,4.071663652814225e-13,Rrs1/Npm1/Pno1/Ak6/Rps27l/Nop58/Nop14/Nop56/Nop9/Pwp2/Utp18/Fbl/Rps19bp1/Wdr43/Rps27a/Bysl/Bms1/Mphosph10/Rrp9/Wdr46/Aatf/Rps23/Rpp40/Utp6/Nol11/Tsr1/Nob1/Heatr1/Ltv1/Wdr75/Nat10/Imp4/Nol7/Fcf1/Wdr36/Tbl3/Emg1/Dcaf13/Nol10/Utp15/Kri1/Srfbp1/Rrp7a/Dhx37/Exosc10/Dimt1/Ngdn/Nol6,48
GO:0045333,cellular respiration,87/1551,266/10587,0.32706766917293234,2.232537339480229,8.43458553801357,4.420686345137953e-14,2.8345440845024558e-11,2.4755843532772542e-11,Pkm/Mybbp1a/Tnf/Ndufb6/Slc2a6/Cox7b/Sod2/Chchd4/Gapdh/Galk1/Shmt2/Myc/Dlat/App/Hif1a/Ndufa12/Ndufs1/Ucp2/Mdh2/Cyc1/Tpi1/Adsl/Trap1/Uqcrq/Dld/Fh1/Idh3a/Vcp/Igf1/Sdhb/Aifm2/Uqcrb/Pfkl/Coq10b/Cox5a/Aco2/Aldoa/Ran/Oas1a/Ndufb9/Suclg1/Stoml2/Pfkp/Gpi1/Pnpt1/Adpgk/Ndufa10/Cisd1/Slc25a13/Uqcrc2/Gale/Eif6/Slc25a25/Ndufv2/Cox7a2/Cox6a2/Etfa/Cox6b1/Ndufab1/Pgk1/Coq7/Dnajc15/Uqcr10/Ndufs4/Uqcrc1/Mtch2/Nupr1/Ndufb8/Ndufb4/Mlx/Ndufc1/Enpp1/Plec/Cs/Coq9/Eno2/Trex1/Pgam1/Ndufc2/Aco1/Ndufb2/Cox10/Mfn2/Idh1/Uqcc2/Cox5b/Ndufa5,87
