ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0009617,response to bacterium,273/4022,469/11083,0.582089552238806,1.6040026124969384,10.087480241878284,5.374963002742609e-23,4.019934829751197e-19,3.0382685604976643e-19,Tlr2/Lyz2/Lpl/Mpeg1/Abca1/Tnfaip3/Grn/Nr4a1/H2-K1/Tnf/Nfkbia/Nfkbiz/Il1b/Hpgd/Cd14/Abcd2/Cxcl2/Havcr2/Slfn2/Axl/Rgs1/Vim/Stab1/Fcgr4/Tspo/Cd68/Fuca2/Trem2/Ptgs2/C5ar1/Naglu/Sbno2/Trem1/Emilin2/Myo1f/Saa3/Cd84/Pmp22/Rac1/Cxcl16/Slc11a1/Ifi204/Plscr3/Wfdc17/Rpl13a/Gbp7/Cxcl10/Litaf/Trib1/Enpp1/Adam9/Il23a/Fos/Nlrc3/Vgf/Bank1/Clec4d/Irf8/Zfp36/H2-M3/Pde4b/Dhx58/Jund/Prkce/Oas1a/Acp5/App/Sirpa/Mapkapk3/Mt2/Nlrp3/Ptger4/Cd180/Pygl/Stat1/Emilin1/Pim1/Klhl6/Nfkbib/Ifnar1/Isg15/Snca/Hnrnpa0/Mcoln1/Ppp3cb/Aqp1/Slc17a5/Zc3h12a/Cd300lb/Ccl2/P2rx7/Cd274/Rps19/Chga/Mmp8/Mif/Il1a/Mapk3/Rpl39/Tab2/Gstp1/Rab14/Gch1/Cyba/Tnfrsf1b/Slamf9/Scarb1/Nagk/Hmgb1/Colec12/Irak1/Mapk14/Ifit3/Prdm1/Defb11/Mef2c/Pten/Nfkb2/Sgms1/Hp/Serpinb9/Nlrc5/Usp18/Rhoa/Lyz1/Nfib/Nfkb1/Oas2/Il6/Pabpn1/Otud5/Prkca/Pck2/Extl3/Il10/Tap2/Letmd1/Naip5/Upk1b/S100a8/Clec4e/Casp4/Trim6/Mr1/Akirin2/Naip2/Cd200/Ifnb1/Mx2/Tlr1/Map2k3/Blvra/Spi1/Gas2l3/Syt11/Cd4/Tnfrsf1a/Mtdh/Cd52/Fabp4/Capn2/Stox2/Gpx1/Irak2/Nod1/Rnase10/Ptger2/Optn/Cfb/Slpi/Cx3cl1/Oas1g/Tnip2/Ptger3/Rnase4/Tifab/Arid5a/Gpm6a/Bin1/Rnf5/Adipor2/Prkcd/Npy/Ifit1/Cd36/Gsk3a/Tnip1/Tslp/Fosl2/Xbp1/Rps6ka3/Notch2/Lcn2/Cx3cr1/Adh5/Bcl3/Anxa3/Chd7/Mgst1/Nr1h3/Traf6/Pglyrp1/Upf1/Map2k7/Jun/Ogt/Cmpk2/Cnr1/Scd1/Mavs/Fgr/Cnr2/B2m/Card9/Herc6/Gbp3/Wfdc2/Oas1c/Fcer1g/Mtor/Lgals9/Thbd/Chmp5/Irf3/Hmgb2/Itgav/Fcgr1/Ang/Xiap/Il7r/Ikbkg/C3/Tcf3/Rnf31/Il12b/Ticam1/Drosha/Slc7a5/Gimap6/Arg2/Mapk1/Cdc73/Tbk1/Wasl/Gbp9/Ednrb/Lyst/Cebpb/Gdap10/Ncf1/Cd47/Alpk1/Cdk19/Casp1/Bnip3/Adam17/Shc1/Mgst2/Zfp709/Ikbip/Plscr1/Il27ra/Pycard/Eif2ak2/Ptafr/Naip6/Ticam2/Trem3/Trim12c/Il12rb2/Nexn/St13/Irak3,273
GO:0050900,leukocyte migration,172/4022,281/11083,0.6120996441281139,1.686698248600668,8.799621932943293,7.771925243248602e-18,2.9063114447128146e-14,2.196591502960263e-14,Tlr2/Lgals3/Ccl3/Cd9/Csf1/Spp1/C3ar1/Ccl4/Tnf/Il1b/Cadm1/Ptk2b/Cxcl14/Selplg/Cxcl2/P2rx4/Ch25h/Icam1/Cd69/Trem2/C5ar1/Trem1/P4hb/S1pr1/Myo1f/Wnk1/Rac1/Cxcl16/P2ry12/Gdf15/Mpp1/Rpl13a/Thbs1/Cxcl10/Aif1/Rabgef1/Enpp1/Vegfb/Adam8/Il23a/Cxcl1/Itgb2/Pde4b/Cd81/App/Sirpa/Ecm1/Dusp1/Ptger4/Emilin1/Masp1/Zfp580/Plec/Ptn/Itgal/Gpsm3/Ccl2/Rps19/Cd300a/Chga/Calr/Add2/Mif/Il1a/Mapk3/F11r/Rac3/Slamf9/Scg2/Thy1/Hmgb1/Ninj1/Cnn2/Gcnt1/Csf3r/Bst1/Gas6/Cdc42/Itga9/Rhoa/Gnai1/Myo1g/Myo9b/Il17ra/Ccl8/Rac2/Adam10/Prkca/Lgmn/S100a8/Podxl2/Alox5/Mcoln2/Tgfb1/Cd200/Ifnb1/Dock8/Rock1/Spi1/Akirin1/Tnfsf14/Pafah1b1/Ggt5/Plvap/Adora1/Mospd2/Pikfyve/Tnfsf18/Cx3cl1/Plcb1/Ptger3/Mia3/Itga4/Ano6/Pik3r1/Prex1/S100a9/Coro1c/Bsg/Rin3/Vav1/Nf1/Aimp1/Trp53/Asb2/Cx3cr1/Gpr183/Ccl5/Ascl2/Nedd9/Flt1/Adtrp/Ripk3/Slc8b1/Cd99l2/Cxcl12/Kitl/Trpm2/Lrp12/Cnr2/Golph3/B4galt1/Fcer1g/Lgals9/Hsd3b7/Crk/Cd74/C3/Pecam1/Jam3/Itgam/Il1r1/Fut9/F7/Mapk1/Wasl/Ednrb/Lyst/Itgb3/Cd47/Kit/Pla2g7/Adam17/Slc37a4/Itga6/Il27ra/Padi2/Pycard/Ppib/Ptafr/Trem3/Cd200r1,172
GO:0099177,regulation of trans-synaptic signaling,243/4022,437/11083,0.5560640732265446,1.5322869526528577,8.56821407661739,4.079041184668796e-17,1.0169049673379308e-13,7.685772337428573e-14,Apoe/Igf1/Sqstm1/Tnf/Il1b/Syngr1/Ptk2b/Gnai2/Fabp5/Map1a/Cln3/Syt1/Glul/Kras/Ptgs2/Syp/Calm2/Cplx2/Syn1/Wnk1/Rac1/Rap1b/Map1b/Nrxn1/Snap25/Prkcg/Ppp3ca/Calm3/Nrgn/Prkcb/Gnao1/Serpine2/Camk2a/Shank1/Enpp1/Slc6a6/Hras/Plk2/Gria1/Ncstn/Nefl/Vgf/Camkv/Camk2b/Prkce/Jph4/App/Pink1/Pak1/Pfn2/Mapt/Homer2/Ptger4/Grm5/Dlgap1/Tubb2b/Ctnnd2/Cplx1/Nrxn2/Grin1/P2ry2/Snca/Dnm1/Ptn/Mgll/Arrb2/Sv2b/Nsmf/Psen2/Ccl2/P2rx7/Syt4/Vamp2/Ntrk2/Cntnap2/Mapk3/Grin2b/Chrm1/Pfn1/Cacnb3/Camk4/Eif4ebp2/Kif5b/Prkcz/Pclo/Nedd4/Nsg1/Cask/Ncam1/Cfl1/Vps18/Paip2/Stxbp1/Celf4/Ywhah/Mef2c/Grm3/Pten/Dlg4/Gria2/Mapk8ip2/Baiap2/Rgs4/Nlgn1/Cd2ap/Nr3c1/Ncs1/Gnai1/Shank2/Ptprs/Gabbr1/Lrrtm1/Hip1/Prkca/Reln/Slc6a1/Grin3a/Lgmn/Slc7a10/Snap47/Stx1b/Rnf167/Plcl2/Grik5/Ptprd/Prkaca/Psen1/Dlgap3/Myo5a/Mpp2/Hrh2/Ncan/L1cam/Ina/Pirb/Cspg5/Dbi/Slc38a2/Pafah1b1/Pcdh17/Calb2/Slc4a10/Adora1/Rab5a/Cacng2/Sh3gl1/Rap1a/Ppp3r1/Slc24a2/Apba2/Prkar1b/Slc1a3/Plcb1/Jph3/Myo5b/Apba1/Nlgn3/Ppfia2/Adcy1/Chrna4/Car2/Cpeb2/Rab11b/Rab11a/Npy/Slc1a1/Ptpn5/Myo6/Nrxn3/Syt13/Rab3a/Htr2c/Plcl1/Shank3/Rims2/Nptn/Gria3/Cdh2/Nf1/Flot1/Synpo/Cacna1a/Fyn/Clstn2/Cx3cr1/Prrt2/Htt/Gipc1/Cdh11/Slitrk5/Prnp/Sncaip/Kcnq2/Faah/Cdkl5/Cd38/Mapk9/Lnpep/Igsf8/Cnr1/Cnr2/Cyp46a1/Frrs1l/Dbn1/Rapgef4/Syt7/Mtor/Cnrip1/Fxr1/Epha4/Bdnf/Zdhhc12/Clstn3/Homer1/Cacna1e/Arhgap44/Agt/Rasgrf2/Syngap1/Synpr/Fbxo45/Best1/Mapk1/Cpeb1/Clstn1/Atp2b2/Atp1a3/Zzef1/Kit/Dgke/Fmr1/Nisch/Sorcs2/Nlgn2/Stxbp5/Snapin/Stau1/Grm1/Igf1r/Bsn/Grm2/Syt5/Musk,243
GO:0050804,modulation of chemical synaptic transmission,242/4022,436/11083,0.555045871559633,1.5294812020127828,8.512892790284901,6.410015740070849e-17,1.198512692999747e-13,9.058364348468543e-14,Apoe/Igf1/Sqstm1/Tnf/Il1b/Syngr1/Ptk2b/Gnai2/Map1a/Cln3/Syt1/Glul/Kras/Ptgs2/Syp/Calm2/Cplx2/Syn1/Wnk1/Rac1/Rap1b/Map1b/Nrxn1/Snap25/Prkcg/Ppp3ca/Calm3/Nrgn/Prkcb/Gnao1/Serpine2/Camk2a/Shank1/Enpp1/Slc6a6/Hras/Plk2/Gria1/Ncstn/Nefl/Vgf/Camkv/Camk2b/Prkce/Jph4/App/Pink1/Pak1/Pfn2/Mapt/Homer2/Ptger4/Grm5/Dlgap1/Tubb2b/Ctnnd2/Cplx1/Nrxn2/Grin1/P2ry2/Snca/Dnm1/Ptn/Mgll/Arrb2/Sv2b/Nsmf/Psen2/Ccl2/P2rx7/Syt4/Vamp2/Ntrk2/Cntnap2/Mapk3/Grin2b/Chrm1/Pfn1/Cacnb3/Camk4/Eif4ebp2/Kif5b/Prkcz/Pclo/Nedd4/Nsg1/Cask/Ncam1/Cfl1/Vps18/Paip2/Stxbp1/Celf4/Ywhah/Mef2c/Grm3/Pten/Dlg4/Gria2/Mapk8ip2/Baiap2/Rgs4/Nlgn1/Cd2ap/Nr3c1/Ncs1/Gnai1/Shank2/Ptprs/Gabbr1/Lrrtm1/Hip1/Prkca/Reln/Slc6a1/Grin3a/Lgmn/Slc7a10/Snap47/Stx1b/Rnf167/Plcl2/Grik5/Ptprd/Prkaca/Psen1/Dlgap3/Myo5a/Mpp2/Hrh2/Ncan/L1cam/Ina/Pirb/Cspg5/Dbi/Slc38a2/Pafah1b1/Pcdh17/Calb2/Slc4a10/Adora1/Rab5a/Cacng2/Sh3gl1/Rap1a/Ppp3r1/Slc24a2/Apba2/Prkar1b/Slc1a3/Plcb1/Jph3/Myo5b/Apba1/Nlgn3/Ppfia2/Adcy1/Chrna4/Car2/Cpeb2/Rab11b/Rab11a/Npy/Slc1a1/Ptpn5/Myo6/Nrxn3/Syt13/Rab3a/Htr2c/Plcl1/Shank3/Rims2/Nptn/Gria3/Cdh2/Nf1/Flot1/Synpo/Cacna1a/Fyn/Clstn2/Cx3cr1/Prrt2/Htt/Gipc1/Cdh11/Slitrk5/Prnp/Sncaip/Kcnq2/Faah/Cdkl5/Cd38/Mapk9/Lnpep/Igsf8/Cnr1/Cnr2/Cyp46a1/Frrs1l/Dbn1/Rapgef4/Syt7/Mtor/Cnrip1/Fxr1/Epha4/Bdnf/Zdhhc12/Clstn3/Homer1/Cacna1e/Arhgap44/Agt/Rasgrf2/Syngap1/Synpr/Fbxo45/Best1/Mapk1/Cpeb1/Clstn1/Atp2b2/Atp1a3/Zzef1/Kit/Dgke/Fmr1/Nisch/Sorcs2/Nlgn2/Stxbp5/Snapin/Stau1/Grm1/Igf1r/Bsn/Grm2/Syt5/Musk,242
GO:0002237,response to molecule of bacterial origin,156/4022,266/11083,0.5864661654135338,1.6160627825157123,7.675547732491397,5.415659376648946e-14,8.100743295591493e-11,6.122545442653651e-11,Tlr2/Abca1/Tnfaip3/Nr4a1/Tnf/Nfkbia/Nfkbiz/Il1b/Hpgd/Cd14/Cxcl2/Havcr2/Axl/Vim/Fcgr4/Tspo/Cd68/Trem2/Ptgs2/C5ar1/Naglu/Sbno2/Cd84/Rac1/Cxcl16/Slc11a1/Plscr3/Rpl13a/Cxcl10/Litaf/Trib1/Adam9/Fos/Nlrc3/Irf8/Zfp36/H2-M3/Pde4b/Jund/Prkce/Acp5/Sirpa/Mapkapk3/Nlrp3/Ptger4/Cd180/Stat1/Nfkbib/Ifnar1/Snca/Hnrnpa0/Zc3h12a/Cd300lb/Ccl2/P2rx7/Cd274/Mmp8/Mif/Il1a/Mapk3/Tab2/Gstp1/Gch1/Tnfrsf1b/Scarb1/Hmgb1/Irak1/Mapk14/Prdm1/Mef2c/Nfkb2/Sgms1/Rhoa/Nfkb1/Il6/Pabpn1/Otud5/Prkca/Pck2/Extl3/Il10/Tap2/Letmd1/S100a8/Casp4/Trim6/Akirin2/Cd200/Tlr1/Map2k3/Blvra/Spi1/Mtdh/Capn2/Gpx1/Irak2/Ptger2/Slpi/Cx3cl1/Tnip2/Ptger3/Tifab/Arid5a/Bin1/Adipor2/Cd36/Gsk3a/Tnip1/Fosl2/Xbp1/Rps6ka3/Lcn2/Cx3cr1/Adh5/Mgst1/Nr1h3/Traf6/Upf1/Map2k7/Jun/Ogt/Cmpk2/Cnr1/Cnr2/B2m/Card9/Gbp3/Lgals9/Thbd/Chmp5/Irf3/Hmgb2/Itgav/Xiap/Tcf3/Il12b/Ticam1/Slc7a5/Mapk1/Cdc73/Ednrb/Cebpb/Cdk19/Casp1/Adam17/Mgst2/Zfp709/Ikbip/Plscr1/Pycard/Eif2ak2/Ptafr/Ticam2/Trim12c/Il12rb2/Irak3,156
GO:0032496,response to lipopolysaccharide,149/4022,253/11083,0.5889328063241107,1.6228598439806363,7.563683806101313,1.2504987486981948e-13,1.5587466902523e-10,1.178101452720931e-10,Abca1/Tnfaip3/Nr4a1/Tnf/Nfkbia/Nfkbiz/Il1b/Hpgd/Cd14/Cxcl2/Havcr2/Axl/Vim/Fcgr4/Tspo/Cd68/Trem2/Ptgs2/Naglu/Sbno2/Cd84/Rac1/Cxcl16/Slc11a1/Plscr3/Rpl13a/Cxcl10/Litaf/Trib1/Adam9/Fos/Nlrc3/Irf8/Zfp36/Pde4b/Jund/Prkce/Acp5/Sirpa/Mapkapk3/Nlrp3/Ptger4/Cd180/Stat1/Nfkbib/Ifnar1/Snca/Hnrnpa0/Zc3h12a/Cd300lb/Ccl2/P2rx7/Cd274/Mmp8/Mif/Il1a/Mapk3/Tab2/Gstp1/Gch1/Tnfrsf1b/Scarb1/Hmgb1/Irak1/Mapk14/Prdm1/Mef2c/Nfkb2/Sgms1/Rhoa/Nfkb1/Il6/Pabpn1/Otud5/Prkca/Pck2/Extl3/Il10/Letmd1/S100a8/Casp4/Trim6/Akirin2/Cd200/Map2k3/Blvra/Spi1/Mtdh/Capn2/Gpx1/Irak2/Ptger2/Slpi/Cx3cl1/Tnip2/Ptger3/Tifab/Arid5a/Bin1/Adipor2/Cd36/Gsk3a/Tnip1/Fosl2/Xbp1/Rps6ka3/Lcn2/Cx3cr1/Adh5/Mgst1/Nr1h3/Traf6/Upf1/Map2k7/Jun/Ogt/Cmpk2/Cnr1/Cnr2/B2m/Gbp3/Lgals9/Thbd/Chmp5/Irf3/Hmgb2/Xiap/Tcf3/Il12b/Ticam1/Slc7a5/Mapk1/Cdc73/Ednrb/Cebpb/Cdk19/Casp1/Adam17/Mgst2/Zfp709/Ikbip/Plscr1/Pycard/Eif2ak2/Ptafr/Ticam2/Trim12c/Il12rb2/Irak3,149
GO:0050890,cognition,161/4022,279/11083,0.5770609318996416,1.5901457752967996,7.534702627080404,1.468997113702614e-13,1.5695184876259783e-10,1.186242782042562e-10,Tlr2/Apoe/Igf1/Il1b/Sgk1/Rogdi/Map1a/Ppt1/Camk2n1/Cln3/Hif1a/Kras/Trem2/Ptgs2/C5ar1/Cln8/Tuba1a/Serpinf1/Gnas/Igf2/Adcy3/Nrxn1/Snap25/Nfix/Prkcg/Il1rn/Nrgn/Shank1/Fos/Plk2/Gria1/Ncstn/Slc17a7/Cck/Jph4/App/Pak1/Mapt/Ppp1r1b/Grm5/Fgf13/Ctnnd2/Nrxn2/Grin1/Ap1s2/Ppp1r9b/Ptn/Gabra5/Psen2/Ptgs1/Syt4/Klk8/Ntrk2/Cntnap2/Slc12a5/Tmod2/Grin2b/Chrm1/Camk4/Eif4ebp2/Pde8b/Prkcz/Atp1a2/Ncam1/Paip2/Gabrb3/Mef2c/Apbb1/Pten/Grcc10/Gria2/Amph/Mapk8ip2/Ccnd2/Gatm/Ptprz1/Nr3c1/Shank2/Rcan1/Srcin1/Itga5/Prkca/Reln/Slc6a1/Ptchd1/Lgmn/Chl1/Pak6/Psen1/Mgat3/Idua/Sobp/Hrh2/Ndrg4/Pirb/Dbi/Syt11/Pafah1b1/Amfr/Adora1/Picalm/Gpi1/Brinp1/Slc24a2/Btg2/Pianp/Slc11a2/Prkar1b/Plcb1/Jph3/Tifab/Nlgn3/Adcy1/Chrna4/Thra/B4galt2/Slc1a1/Nrxn3/Vdac3/Htr2c/Shank3/Ctns/B3gat1/Nptn/Nf1/Synpo/Lcn2/Clstn2/Cx3cr1/Htt/Nedd9/Chd7/Prnp/Kcnq2/Gmppa/C1ql1/Slc1a4/Jun/Cnr1/Deaf1/B2m/Abca7/Cebpa/Gmfb/Mtor/Pja2/Bdnf/Clstn3/Cacna1e/Agt/Syngap1/Rp9/Cebpb/Atp1a3/Zzef1/Kit/Meis2/Casp1/Ldlr/Mettl23/Musk,161
GO:0007611,learning or memory,147/4022,250/11083,0.588,1.6202894082545998,7.486640830905463,2.1859860501538967e-13,1.93912056494648e-10,1.465588199064412e-10,Tlr2/Apoe/Igf1/Il1b/Sgk1/Rogdi/Map1a/Ppt1/Camk2n1/Cln3/Hif1a/Kras/Trem2/Ptgs2/Cln8/Tuba1a/Serpinf1/Igf2/Adcy3/Nrxn1/Snap25/Nfix/Prkcg/Il1rn/Nrgn/Shank1/Fos/Plk2/Gria1/Ncstn/Slc17a7/Cck/Jph4/App/Pak1/Mapt/Ppp1r1b/Grm5/Fgf13/Ctnnd2/Nrxn2/Grin1/Ap1s2/Ppp1r9b/Ptn/Gabra5/Psen2/Ptgs1/Syt4/Klk8/Ntrk2/Cntnap2/Slc12a5/Tmod2/Grin2b/Camk4/Eif4ebp2/Pde8b/Prkcz/Atp1a2/Ncam1/Paip2/Gabrb3/Mef2c/Apbb1/Pten/Gria2/Amph/Mapk8ip2/Ccnd2/Gatm/Ptprz1/Nr3c1/Shank2/Rcan1/Srcin1/Itga5/Prkca/Reln/Slc6a1/Ptchd1/Lgmn/Pak6/Psen1/Idua/Hrh2/Ndrg4/Pirb/Dbi/Syt11/Pafah1b1/Amfr/Picalm/Gpi1/Brinp1/Slc24a2/Btg2/Pianp/Slc11a2/Prkar1b/Plcb1/Jph3/Tifab/Nlgn3/Adcy1/Thra/B4galt2/Slc1a1/Nrxn3/Vdac3/Htr2c/Shank3/Ctns/B3gat1/Nptn/Nf1/Synpo/Lcn2/Clstn2/Cx3cr1/Htt/Nedd9/Prnp/Kcnq2/C1ql1/Jun/Cnr1/Deaf1/B2m/Abca7/Cebpa/Gmfb/Mtor/Pja2/Bdnf/Clstn3/Cacna1e/Agt/Syngap1/Cebpb/Atp1a3/Zzef1/Kit/Meis2/Casp1/Ldlr/Musk,147
GO:0051046,regulation of secretion,249/4022,476/11083,0.523109243697479,1.4414768144950671,7.430398267129175,2.3334784175047896e-13,1.93912056494648e-10,1.465588199064412e-10,Tlr2/Lgals3/Apoe/Abcg1/Anxa5/Igf1/Anxa2/Sdc4/Spp1/Hcar2/Tnf/Lamp1/Il1b/Osm/Pcp4/Gnai2/Camk2n1/Tcirg1/Il4ra/Hif1a/Syt1/Tspo/Idh2/Glul/Trem2/Nell2/Calm2/Cpt1a/Syn1/Cd84/Gnas/Wnk1/Atp13a2/Rac1/Rap1b/Nrxn1/Snap25/P2ry12/Nnat/Prkcg/Il1rn/Ppp3ca/Hmox1/Siglech/Calm3/Prkcb/Gnao1/Rabgef1/Rap1gds1/Camk2a/Adam9/Rab11fip5/Rhbdf2/Pim3/Tpcn2/Itgb2/Cck/Prkce/Pink1/Pfn2/Sox4/Ptger4/Grm5/Cplx1/Atg7/Stxbp2/P2ry2/Snca/Ppp3cb/Aqp1/Sv2b/Ptgs1/P2rx7/Syt4/Vamp2/Cd300a/Ucp2/Lrp1/Chga/Mif/Ntrk2/Il1a/Pfkl/Cdk5r2/Grin2b/Cyba/Tnfrsf1b/Kif5b/Pde8b/Rab3d/Ptprn/Pclo/Rph3a/Vsnl1/Cask/Entpd1/Srebf1/Scg5/Vps18/Stxbp1/Abat/Mef2c/Rala/Apbb1/Serp1/Nlgn1/Cd2ap/Nr3c1/Ncs1/Gnai1/Arf6/Gabbr1/Rac2/Arhgef7/Oas2/Il6/Srcin1/Tbc1d1/Tcf7l2/Prkca/Pck2/Wls/Slc6a1/Mical1/Stx1b/Mrgpre/S100a8/Mlxipl/Alox5/Prkaca/Rsad2/Tgfb1/Cd200/Idua/Ifnb1/Myo5a/Cldn2/Hrh2/Pofut2/Spi1/Orai1/Prkar1a/Foxo1/Cspg5/Slc38a2/Syt11/Tnfrsf1a/Rasl10b/Slc16a1/Adora1/Kcna2/Rab5a/Dab2/Erp29/Rap1a/Vamp3/Rab3c/Plcb1/Ptger3/Fgfr1/Tifab/Myo5b/Trim9/Ppfia2/Rab27a/Chrna4/Gnaz/Rab11b/Npy/Cadps2/Fes/S100a9/Myo6/Prkcq/Smcr8/Syt13/Rab3a/Htr2c/Snf8/Xbp1/Bsg/Rims2/Map4k4/Glrx/Midn/Nf1/Doc2b/Aimp1/Cacna1a/Sox11/Dpysl2/Rhbdd3/Ccl5/Arrb1/Vps4a/Chd7/Adtrp/Slc8b1/Sncaip/Epha5/Nr1h3/Sdcbp/Cd38/Mapk9/Runx1/Cxcl12/Trpm2/Cnr1/Bad/Fgr/Tmem132a/Lrrc8a/Golph3/Ier3ip1/Gck/Irs2/Rapgef4/Sidt2/Syt7/Igfbp3/Fcer1g/Lgals9/Hfe/Ang/Cacna1e/Agt/Cd74/Pde3b/Il12b/Cacna1g/Itgam/Fbxo45/Rab15/Anxa7/Fmr1/Pram1/Nlgn2/Neurod1/Stxbp5/Oxct1/Rhbdd1/Snapin/Sphk2/Chmp2a/Syt3/Ptafr/Clasp2/Grm2/Syt5,249
GO:0099504,synaptic vesicle cycle,129/4022,214/11083,0.602803738317757,1.6610825041709847,7.369953642352672,5.359471636146659e-13,4.008348836674086e-10,3.029511861695533e-10,Grn/Atp6v1b2/Syt1/Syp/Calm2/Cplx2/Syn1/Atp6ap2/Syn2/Rac1/Rap1b/Nrxn1/Snap25/Prkcg/Ppp3ca/Atp6v0a1/Calm3/Prkcb/Camk2a/Ctbp1/Slc17a7/Atp6ap1/Pfn2/Cplx1/Atg7/Stxbp2/P2ry2/Ap1s2/Snca/Sptbn2/Ppp3cb/Dnm1/Atp6v1c1/Snap91/Slc17a5/Sv2b/P2rx7/Syt4/Vamp2/Atp6v1a/Dnajc6/Pacsin1/Pclo/Rph3a/Cask/Atp6v0e2/Vps18/Stxbp1/Pten/Amph/Sh3gl2/Nlgn1/Sncb/Ncs1/Arf6/Ctbp2/Prkca/Reln/Ap3d1/Snap47/Stx1b/Erc2/Grik5/Prkaca/Psen1/Cltb/Mx2/Rock1/Cspg5/Syt11/Pcdh17/Capn2/Picalm/Rab5a/Sh3gl1/Rap1a/Ppp3r1/Prkar1b/Myo5b/Trim9/Nlgn3/Ppfia2/Ap3b2/Bin1/Syngr3/Napa/Clta/Efr3a/Rab11b/Npy/Cadps2/Syt13/Rab3a/Stx11/Rims2/Cdh2/Doc2b/Cacna1a/Prrt2/Mff/Ctnnb1/Ston2/Atp6v1h/Dgkq/Park7/Lpar1/Cdk5r1/Rapgef4/Syt7/Slc17a6/Ap3m2/Cacna1e/Fbxo45/Atp6v1g2/Pip5k1c/Snx9/Fmr1/Ap2a1/Atp6v1e1/Nlgn2/Vamp4/Sgip1/Stxbp5/Snapin/Dnm3/Bsn/Syt5/Ap2b1/Ap3s2,129
