category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Nervous system,mmu04724,Glutamatergic synapse,49/1133,82/5304,0.5975609756097561,2.7974081329515856,8.548518747734855,3.1936732094303786e-14,1.1082046036723414e-11,7.866521379017985e-12,14702/14678/14645/14700/14683/18752/19055/18751/14681/243961/14799/72961/76257/26557/108071/14693/224997/14810/19056/20511/14704/26417/14812/14688/108069/13385/14800/14677/210274/18750/242443/14809/18747/19058/20512/18795/432530/20510/58234/53623/210044/14708/140919/26556/14696/26413/14706/14816/108068,49
Environmental Information Processing,Signaling molecules and interaction,mmu04082,Neuroactive ligand signaling,54/1133,97/5304,0.5567010309278351,2.6061273327813215,8.32008426430446,9.568393342341398e-14,1.6601162448962325e-11,1.1784231800567826e-11,14702/14678/14700/14683/70839/18752/18751/14681/14799/72961/108071/14693/14810/74191/110886/20511/14704/14812/12669/14688/14402/108069/14800/14677/54393/14658/18750/232333/242443/14809/18747/14395/15466/243616/11539/14401/20512/18795/14397/432530/11438/20510/14406/15560/53623/210044/14708/70155/14394/140919/14696/14706/14816/108068,54
Organismal Systems,Nervous system,mmu04720,Long-term potentiation,35/1133,56/5304,0.625,2.9258605472197705,7.550533004598851,2.633604580785262e-11,3.0462026317749534e-9,2.1623279715921103e-9,16653/12314/215449/18752/19055/12315/18751/12322/15461/14799/12323/108071/14810/19056/26417/14812/12326/19046/58200/20111/14800/26395/18750/19045/18747/109905/19058/18795/75600/432530/18176/110651/19047/26413/14816,35
Organismal Systems,Nervous system,mmu04728,Dopaminergic synapse,51/1133,102/5304,0.5,2.3406884377758166,7.125222809607992,1.0290673367300732e-10,8.927159146133385e-9,6.3368883367062405e-9,14702/14678/12314/14700/14683/18752/19055/12315/18751/14681/12322/14799/12323/19049/14693/19056/216869/269643/14704/16572/14812/16573/72930/19046/14688/26416/14800/16574/14677/18750/19045/19052/18747/26414/18795/11652/75600/606496/53623/109689/20265/52432/26420/14708/26932/235542/19047/14696/19053/68566/14706,51
Environmental Information Processing,Signaling molecules and interaction,mmu04517,IgSF CAM signaling,86/1133,218/5304,0.3944954128440367,1.846781703199268,6.653761164576205,4.411963775572116e-10,3.061902860247049e-8,2.1734726810186846e-8,22142/68097/19353/12805/215449/18752/22152/18751/68089/14784/239857/17756/18479/73710/20743/66797/26417/16456/19268/22143/68507/12361/17967/26416/17196/12988/12540/22153/26395/192167/12488/19283/11848/18481/20273/19280/11845/21872/67938/18750/20564/214230/19266/63955/16728/272381/56458/224105/94332/16490/22151/109905/74192/319504/26414/22154/14182/245537/327814/11652/18708/18761/12558/14360/56443/14270/11735/75409/12387/16536/26420/269116/19876/259302/20411/20562/83964/16409/109676/26413/73178/243743/93737/216856/18759/18213,86
Environmental Information Processing,Signal transduction,mmu04014,Ras signaling pathway,67/1133,156/5304,0.42948717948717946,2.0105913503971755,6.676890907628064,6.215913375327151e-10,3.594869902064203e-8,2.551796017239567e-8,14702/16653/12314/14700/16002/19353/215449/18752/12315/64143/23871/18751/22340/15461/14784/18479/19345/14693/14810/217944/19731/14704/18212/26417/14812/19765/170758/14688/56044/12540/26395/11848/18481/66922/11845/19354/18033/18750/214230/18747/224105/271457/109905/20130/26414/14182/11652/75600/17532/18708/14184/18176/18015/26420/14708/14183/12015/14388/12064/19418/240057/14696/26413/16590/54354/19344/14706,67
Environmental Information Processing,Signal transduction,mmu04024,cAMP signaling pathway,61/1133,138/5304,0.4420289855072464,2.069304271077171,6.633142347285168,9.368540927358117e-10,4.6441195739903805e-8,3.2965993639124806e-8,14678/11931/12314/14683/20604/19353/215449/12315/12322/14799/12323/18479/19049/14810/320707/56188/19878/11932/26417/14812/12669/12326/170758/19046/98660/14800/26395/11848/14677/66922/54393/19354/18033/242443/19045/18747/11517/19877/109305/20682/11539/109905/20130/26414/19218/11652/75600/432530/18708/109648/53623/210044/26420/12015/56508/12064/19047/18576/26413/11941/20605,61
Human Diseases,Substance dependence,mmu05034,Alcoholism,41/1133,83/5304,0.4939759036144578,2.312487372260445,6.280771689845626,1.143626961063173e-8,4.960481943611512e-7,3.5211672222208217e-7,14702/14678/16653/12314/14700/14683/12315/15182/14681/15461/14784/19049/14693/14810/14704/18212/26417/14812/12326/19046/14688/26395/63959/14677/242443/19045/18747/75600/433759/109648/18767/18176/14708/12064/19047/14696/26413/55984/232232/14706/15081,41
Human Diseases,Substance dependence,mmu05032,Morphine addiction,32/1133,59/5304,0.5423728813559322,2.53905186470597,6.195297819352218,2.7009029226948406e-8,1.0322927674221586e-6,7.327665935895195e-7,14702/14678/14700/14683/18752/18751/14681/14693/110886/216869/14704/14688/14402/14677/54393/18750/18747/14395/11539/26385/14401/14397/432530/14406/18573/210044/109689/14708/14394/18576/14696/14706,32
Environmental Information Processing,Signal transduction,mmu04015,Rap1 signaling pathway,59/1133,142/5304,0.4154929577464789,1.945079124348918,5.949206118073474,2.974907110726682e-8,1.0322927674221586e-6,7.327665935895195e-7,14678/54519/16653/12314/14683/19353/215449/18752/12315/64143/18751/14681/22340/15461/22323/18645/14810/217944/26417/14812/18643/170758/18762/26416/56044/12540/26395/11848/14677/19354/18750/109905/20130/18795/14182/11652/75600/432530/17532/18708/14184/13800/18176/210044/12387/14026/14745/12801/14183/107746/56508/12928/16409/26413/75292/16590/93737/54354/18759,59
Environmental Information Processing,Signaling molecules and interaction,mmu04519,Cadherin signaling,78/1133,209/5304,0.37320574162679426,1.7471167286747722,5.743084195782228,5.3740588050962524e-8,1.5849295197464201e-6,1.1250523513443419e-6,16653/101314/19353/22627/68089/15461/22323/19049/18163/110886/19878/26417/170758/56506/19046/54401/26416/22629/14402/338367/12540/26395/11848/66922/53883/19354/72821/21872/83767/18033/21416/50884/19045/75599/11789/279653/14395/19877/16480/211712/219228/54216/22630/74192/20130/14401/26414/18526/14182/14397/17532/13800/14406/18176/243548/12558/56443/12552/16974/12387/219257/26420/17912/14026/13498/320873/14394/22601/269629/19047/22295/26413/16668/93687/93708/216965/14365/20187,78
Organismal Systems,Nervous system,mmu04727,GABAergic synapse,34/1133,66/5304,0.5151515151515151,2.41161839043569,6.013983080896606,5.481024275780127e-8,1.5849295197464201e-6,1.1250523513443419e-6,14702/14678/14645/14700/18752/18751/14681/76257/14693/110886/14704/57138/14688/268860/14402/14677/54393/18750/232333/18747/14395/243616/14401/14397/432530/14406/227120/210044/14415/14708/14394/70827/14696/14706,34
Environmental Information Processing,Signaling molecules and interaction,mmu04080,Neuroactive ligand-receptor interaction,44/1133,97/5304,0.4536082474226804,2.12351116004404,5.820028918420493,8.524444375092515e-8,2.27537092165931e-6,1.6151578815964762e-6,20604/14799/381677/12424/70804/108071/14810/74191/110886/14812/12669/14402/108069/14800/14815/54393/14658/242443/14809/11517/14395/15466/11539/23936/14401/19218/14397/11438/21833/109648/14406/15560/22354/53623/18217/14745/12801/70155/14394/11606/13618/14816/108068/20605,44
Human Diseases,Substance dependence,mmu05033,Nicotine addiction,16/1133,21/5304,0.7619047619047619,3.5667633337536246,6.142014570246235,1.1631578123723488e-7,2.88296972066575e-6,2.046458105978418e-6,14799/72961/14810/110886/14812/14402/14800/242443/14395/14401/14397/11438/14406/53623/14394/140919,16
Organismal Systems,Environmental adaptation,mmu04713,Circadian entrainment,33/1133,65/5304,0.5076923076923077,2.3766990291262133,5.820055938342404,1.3572771784671908e-7,3.139834539520768e-6,2.228791998325071e-6,14702/14678/12314/14700/14683/18752/12315/18751/14681/12322/14799/12323/14693/14810/14704/26417/14812/14688/14800/14677/18750/18747/11517/18795/75600/432530/53623/210044/14708/12291/14696/26413/14706,33
Organismal Systems,Development and regeneration,mmu04360,Axon guidance,54/1133,131/5304,0.4122137404580153,1.9297278723647953,5.615338394681591,1.589300748701179e-7,3.446795998745682e-6,2.446686678921552e-6,14678/16653/19353/19055/12322/15461/12323/18479/19056/19878/26417/170758/18762/12631/214968/12540/65254/20352/11848/18481/14677/19354/67938/18750/18019/20564/214230/19877/16728/224105/319757/19058/20130/235611/18708/13800/18176/14360/14270/12934/13839/20315/19876/69632/13838/259302/20347/20562/26413/243743/93737/13641/14365/20187,54
Organismal Systems,Nervous system,mmu04723,Retrograde endocannabinoid signaling,47/1133,110/5304,0.42727272727272725,2.0002246650084246,5.524571559162156,2.8783288040627583e-7,5.875177029469277e-6,4.170457833750374e-6,14702/14678/14700/18752/18751/14681/14799/72961/108071/14693/23945/110886/67130/14704/26417/14688/26416/14402/14800/14677/18750/18747/14395/14401/26414/18795/14397/66091/432530/14406/53623/210044/14073/26420/14708/67184/12801/14394/140919/104130/14696/66046/26413/17992/14706/14816/66495,47
Organismal Systems,Nervous system,mmu04722,Neurotrophin signaling pathway,43/1133,103/5304,0.4174757281553398,1.9543612198904876,5.097340469856106,1.9658335329209065e-6,3.789690199575303e-5,2.6900879924180824e-5,16653/12314/19353/215449/22627/12315/12322/15461/14784/12323/14570/18212/26417/12326/17179/20111/16179/26416/12540/26395/11848/11857/18033/26406/109905/26414/11652/75600/18708/18176/110651/22059/26420/26400/12015/107746/14388/12064/12043/12928/26413/16923/18213,43
