category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Transport and catabolism,mmu04142,Lysosome biogenesis,104/1012,218/5304,0.47706422018348627,2.5003444899735285,10.983791232144261,9.933380177932848e-23,3.466749682098564e-20,2.7395216911772704e-20,13033/13030/13039/64138/12512/19025/12492/110006/16783/15211/13032/50917/16889/19156/11605/13423/19063/11966/71665/27060/12752/75612/12514/66848/27419/26889/18010/16784/14387/18173/11975/432486/16004/12091/110173/13034/26373/56722/12751/233979/17939/54411/11433/27426/170743/77573/69596/94178/14628/66335/211286/235504/52120/17342/11964/65221/100561/231855/56433/214505/17113/15586/228545/381201/320528/14420/171166/353047/19141/11776/67963/71720/11886/68279/15932/13036/18711/20597/18174/11766/192654/74245/83429/170744/11883/260302/269338/114143/108664/27029/56717/56692/71732/11593/103199/16541/104082/18145/30930/72175/11771/11973/74105/58911,104
Environmental Information Processing,Signaling molecules and interaction,mmu04060,Cytokine-cytokine receptor interaction,59/1012,130/5304,0.45384615384615384,2.3786561264822135,7.727439832025617,3.87976440240589e-12,6.770188882198277e-10,5.34999091279128e-10,20302/12977/20303/12982/21926/16176/18413/57266/20310/16190/66102/16181/23886/15945/21813/83430/14825/12767/94185/15975/21950/16188/20305/20296/12983/16175/21938/15976/16155/14562/16186/12986/16172/20307/17000/16193/11482/16153/15977/50930/12504/21937/11479/240873/27279/20308/15980/20304/16195/57914/21939/100532/12984/16160/16177/14102/16154/50931/16162,59
Human Diseases,Infectious disease: viral,mmu05168,Herpes simplex virus 1 infection,60/1012,147/5304,0.40816326530612246,2.1392272323949344,6.801295945277158,5.324874491866649e-10,6.194603992204869e-8,4.895147778487938e-8,24088/14972/21926/12702/14964/18035/16176/15040/14827/14991/246730/20846/15975/21354/69550/20296/12317/14961/20847/18707/20684/54123/15976/11796/56489/246728/16193/16402/21355/15977/50930/21937/11783/23960/15980/53319/12028/71609/20304/21356/22034/71586/228607/12010/13685/56717/54131/16151/16149/12266/16160/106759/14102/56480/16416/16391/15015/19106/14999/13163,60
Human Diseases,Infectious disease: viral,mmu05164,Influenza A,52/1012,125/5304,0.416,2.180300395256917,6.484041961432109,3.5445121798058413e-9,3.0925868768805964e-7,2.4438478713398174e-7,21926/12702/18035/16176/15894/15945/246730/216799/56417/20846/170743/18036/15975/217069/20296/14961/20847/18707/16175/54123/15976/56489/246728/16193/58185/15977/17858/21937/16646/11783/23960/15980/53319/12028/269966/110157/71609/20304/71586/17857/228607/54131/16151/16160/106759/14102/56480/12362/16391/66824/19106/14999,52
Human Diseases,Immune disease,mmu05323,Rheumatoid arthritis,32/1012,62/5304,0.5161290322580645,2.705087339028433,6.557150914871758,7.420708234418895e-9,5.179654347624388e-7,4.093106436668949e-7,24088/13039/20302/12977/21926/16176/20310/11966/27060/15894/12487/11975/83430/14281/14825/16414/54411/11433/66335/16408/20296/11964/14961/16175/16193/20304/14254/114143/16476/108664/11973/14999,32
Cellular Processes,Transport and catabolism,mmu04148,Efferocytosis,52/1012,131/5304,0.3969465648854962,2.0804393084512567,6.079753872908252,2.416650334728107e-8,1.4056849447001822e-6,1.1108112064890601e-6,11303/13537/16889/171285/20393/26362/12642/192187/20525/15251/19225/12894/13609/21825/11502/17289/19261/19219/77573/18442/16971/12317/12260/228545/14456/12259/319520/11487/16153/20501/19217/53313/19128/192654/105722/12491/12215/209018/22259/269338/16410/12262/71732/11847/12608/16416/16423/12362/11491/56632/50770/76295,52
Cellular Processes,Transport and catabolism,mmu04145,Phagocytosis,69/1012,197/5304,0.350253807106599,1.8357175819104754,5.804047209854065,5.4829776550937026e-8,2.7336560023252886e-6,2.160210745315113e-6,13033/13030/24088/13039/17105/12512/14972/56644/16783/14964/12475/11966/27060/246256/20288/16784/15040/11975/21825/56715/16414/14991/54411/67951/74244/77573/21354/13058/66335/11964/12317/17394/14961/18707/13057/20778/140792/17113/53421/228545/75669/17110/16402/21355/21897/77040/22146/18711/73683/11891/108078/12491/12946/16819/269338/74096/114143/108664/16410/14129/71732/12266/21826/16416/17969/11973/15015/12845/14999,69
Organismal Systems,Immune system,mmu04640,Hematopoietic cell lineage,27/1012,54/5304,0.5,2.6205533596837944,5.811681118077291,2.6270539071398017e-7,1.1460522669897385e-5,9.056422679876688e-6,12527/12977/12982/21926/16176/12475/12483/12505/16190/16188/14961/16175/12986/16193/16402/12504/12509/16401/12491/12946/12494/12507/17311/14129/16177/16416/14999,27
Human Diseases,Infectious disease: viral,mmu05169,Epstein-Barr virus infection,59/1012,168/5304,0.35119047619047616,1.8406267645398078,5.376090362177713,4.689236210099017e-7,1.8183815970272854e-5,1.4369355404046112e-5,24088/21929/14972/21926/17873/14964/18035/12505/22352/12575/15894/15040/15945/14827/14991/246730/20846/18036/15975/100038882/21354/16408/12317/14961/20847/18707/54123/15976/18034/56489/246728/16193/53859/21355/15977/26397/11783/23960/12125/12028/71609/21356/22034/19179/16476/228607/12010/21939/16453/54131/16151/57296/14102/56480/16391/66997/15015/19106/14999,59
Organismal Systems,Digestive system,mmu04979,Cholesterol metabolism,20/1012,35/5304,0.5714285714285714,2.994918125352908,5.7493164347731796,5.983948537557515e-7,2.0883980396075727e-5,1.6503100177263885e-5,11816/16956/11812/11303/11813/16889/16976/57875/12257/20652/320024/16971/100017/20778/67963/18830/104086/12491/218203/18145,20
