ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-388396,GPCR downstream signalling,80/1075,238/5784,0.33613445378151263,1.808559702950948,6.085932372227449,1.1781572034881598e-8,1.3760876136741706e-5,1.1372317427354132e-5,P2ry12/P2ry13/Rps6ka1/Cx3cr1/Gnai2/Ramp1/Arhgef39/Fgd2/Pde3b/Gng2/Prex1/Arhgef6/Mapk3/Prkcd/Pik3cg/Grb2/Grk6/Rock2/Gng10/Plcb2/Adrb2/Akap13/Cysltr1/Ppp2ca/Ccr6/Hras/Vipr1/Pik3r1/Gna11/Prkca/Psap/Lpar6/Rgs2/Itpr2/Rgs19/Prkce/Plxnb1/Lpar5/P2ry6/Trio/Gnas/Grm3/Arrb1/Gpsm3/Ednrb/Arrb2/Sst/Gpr37l1/Gna12/Adora1/Ect2/Akt3/Hrh2/Cck/Src/Hbegf/Mgll/Vav2/Plekhg5/Gpr17/Pik3ca/Dagla/Gng7/Daglb/Kras/Sos1/Abhd6/Akt1/Arhgef12/Rgs12/Gnaz/Prkacb/Prkaca/Gabbr1/Akt2/Gng3/Ntsr2/Gpr183/Mapk7/Pik3r5,80
R-MMU-372790,Signaling by GPCR,81/1075,251/5784,0.32270916334661354,1.7363253960900582,5.6982669152447105,7.447618451165403e-8,3.1573592273051035e-5,2.609317241743673e-5,P2ry12/P2ry13/Rps6ka1/Cx3cr1/Gnai2/Ramp1/Arhgef39/Fgd2/Pde3b/Gng2/C5ar2/Prex1/Arhgef6/Mapk3/Prkcd/Pik3cg/Grb2/Grk6/Rock2/Gng10/Plcb2/Adrb2/Akap13/Cysltr1/Ppp2ca/Ccr6/Hras/Vipr1/Pik3r1/Gna11/Prkca/Psap/Lpar6/Rgs2/Itpr2/Rgs19/Prkce/Plxnb1/Lpar5/P2ry6/Trio/Gnas/Grm3/Arrb1/Gpsm3/Ednrb/Arrb2/Sst/Gpr37l1/Gna12/Adora1/Ect2/Akt3/Hrh2/Cck/Src/Hbegf/Mgll/Vav2/Plekhg5/Gpr17/Pik3ca/Dagla/Gng7/Daglb/Kras/Sos1/Abhd6/Akt1/Arhgef12/Rgs12/Gnaz/Prkacb/Prkaca/Gabbr1/Akt2/Gng3/Ntsr2/Gpr183/Mapk7/Pik3r5,81
R-MMU-68877,Mitotic Prometaphase,62/1075,176/5784,0.3522727272727273,1.8953911205073997,5.76343762963093,8.109655549585026e-8,3.1573592273051035e-5,2.609317241743673e-5,Csnk1e/Cenpa/Ccnb2/Tuba1a/Cdca8/Cenpf/Ncaph/Cdk1/Clasp2/Smc4/Tubb2b/Plk1/Cdc20/Ppp2ca/Rad21/Numa1/Tubb4b/Cenpq/Bub1b/Ska2/Ccnb1/Tubgcp5/Cenpe/Ncapg/Incenp/Taok1/Cep152/Rcc2/Tuba1b/Ckap5/Nde1/Spc24/Nuf2/Ndc80/Stag2/Ncapd2/Tubb5/Aurkb/Mzt1/Dynll2/Cenpp/Nek2/Spc25/Pmf1/Cep192/Smc2/Kif2a/Smc3/Zwilch/Tubb4a/Tuba4a/Prkaca/Cenpo/Cdca5/Haus5/Cenpn/Csnk2a2/Cep63/Csnk1d/Haus4/Sdccag8/Cenpi,62
R-MMU-109582,Hemostasis,100/1075,339/5784,0.2949852507374631,1.587157851409755,5.32319361626498,3.2806731423179517e-7,8.943351760676856e-5,7.390999968043147e-5,P2ry12/Sparc/F11r/Gnai2/Trf/Prcp/Rhog/Kif21b/Mapk14/Csk/Tuba1a/Gng2/Racgap1/Prkcb/Mapk3/Prkcd/Gp9/Pik3cg/Grb2/Sh2b3/Gng10/Kif11/Tubb2b/Ppp2ca/Tubb4b/Dock10/Kif20a/Kif23/Hras/Ceacam1/Inpp5d/Kif15/Cav1/Plcg1/Kif22/Jam2/Pik3r1/Kif4/Gna11/Prkca/Cenpe/Zfpm1/Psap/P2rx1/Tgfb1/Itpr2/Alb/Prkce/Tuba1b/Itga6/Endod1/Sod1/Kif20b/Rac1/Kifc1/Cbx5/Apbb1ip/Gnas/Arrb1/Gtpbp2/Arrb2/Rap1b/Mafg/Pde9a/Gna12/Lhfpl2/Src/Syk/Mgll/Vav2/Vegfb/Pik3ca/Dagla/Gng7/Daglb/Atp1b2/Kif5a/Col1a2/Kras/Rac2/Sos1/Abhd6/Clu/Slc7a10/Akt1/Atp1b1/Kif2a/Tubb4a/H3f3a/Dock11/Tuba4a/Prkacb/Prkaca/Hdac2/Lefty1/Cd47/Kifc5b/Lyn/Gng3/Pik3r5,100
R-MMU-2500257,Resolution of Sister Chromatid Cohesion,42/1075,107/5784,0.3925233644859813,2.111958269941317,5.546734953497523,3.828489623577421e-7,8.943351760676856e-5,7.390999968043147e-5,Cenpa/Ccnb2/Tuba1a/Cdca8/Cenpf/Cdk1/Clasp2/Tubb2b/Plk1/Cdc20/Ppp2ca/Rad21/Tubb4b/Cenpq/Bub1b/Ska2/Ccnb1/Cenpe/Incenp/Taok1/Rcc2/Tuba1b/Ckap5/Nde1/Spc24/Nuf2/Ndc80/Stag2/Aurkb/Dynll2/Cenpp/Spc25/Pmf1/Kif2a/Smc3/Zwilch/Tubb4a/Tuba4a/Cenpo/Cdca5/Cenpn/Cenpi,42
R-MMU-1266738,Developmental Biology,76/1075,244/5784,0.3114754098360656,1.6758825772016774,5.153802422065682,9.377131429471061e-7,1.8254149182703666e-4,1.5085665826008708e-4,Rps6ka1/Mapk14/Tuba1a/Mapk3/Abl1/Grb2/Rock2/Itga9/Smad3/Sema4d/Mef2c/Tubb2b/Cdk2/Tubb4b/Usf1/Foxo1/Numb/Hras/Plcg1/Pik3r1/Kif4/Ep300/Prkca/Jup/Dpysl3/Tcf7l2/Rras/Plxnb1/Tuba1b/Dnm2/Rac1/Trio/Dnm1/Cebpa/Akt3/Efnb1/Sptbn2/Epha2/Nck1/Tcf4/Sema6d/Grin2b/Src/Plxna4/Rnd1/Vav2/Ncam1/Gab1/Rasa1/Pik3ca/Fes/Nfasc/Kras/Mmp2/Sos1/Sin3a/Akt1/Plxnb3/Arhgef12/Tubb4a/Ptpra/Klk8/Tuba4a/Prkacb/Prkaca/Mlph/Adam22/Pak2/Csnk2a2/Cdk5r1/Lyn/Arpc1a/Akt2/Mapk7/Grin1/Efna4,76
R-MMU-416476,G alpha (q) signalling events,35/1075,88/5784,0.3977272727272727,2.1399577167019026,5.1482730381318245,2.5038231510249158e-6,4.1778077719958597e-4,3.452640345097516e-4,Rps6ka1/Gng2/Mapk3/Prkcd/Grb2/Gng10/Plcb2/Cysltr1/Hras/Pik3r1/Gna11/Prkca/Lpar6/Rgs2/Itpr2/Rgs19/Prkce/Lpar5/P2ry6/Trio/Ednrb/Cck/Hbegf/Mgll/Gpr17/Pik3ca/Dagla/Gng7/Daglb/Kras/Sos1/Abhd6/Gng3/Ntsr2/Mapk7,35
R-MMU-983189,Kinesins,20/1075,39/5784,0.5128205128205128,2.7592128801431124,5.266500941070385,3.83960722540727e-6,5.605826549094614e-4,4.6327892443400874e-4,Kif21b/Tuba1a/Racgap1/Kif11/Tubb2b/Tubb4b/Kif20a/Kif23/Kif15/Kif22/Kif4/Cenpe/Tuba1b/Kif20b/Kifc1/Kif5a/Kif2a/Tubb4a/Tuba4a/Kifc5b,20
R-MMU-6791312,TP53 Regulates Transcription of Cell Cycle Genes,16/1075,28/5784,0.5714285714285714,3.074551495016611,5.257258423777807,5.826447994205392e-6,6.991074915153794e-4,5.777591652123314e-4,Btg2/Ccna2/Cdk1/Aurka/Cdk2/Cnot6l/Ccnb1/Cdc25c/Cnot6/Cnot8/E2f8/Cdkn1b/Cnot2/E2f7/Cnot4/Cnot7,16
R-MMU-112316,Neuronal System,51/1075,152/5784,0.3355263157894737,1.8052876376988982,4.806821400950342,5.98550934516592e-6,6.991074915153794e-4,5.777591652123314e-4,Glul/Rps6ka1/Gnai2/Ppfia4/Tspan7/Camk2a/Gng2/Prkcb/Slc1a2/Gng10/Plcb2/Slc1a3/Shank1/Vamp2/Kcnd1/Apba1/Rtn3/Ptprs/Akap5/Snap25/Nrxn1/Prkca/Slc6a1/Kcnj10/Camk2b/Nrxn2/Syt1/Ncald/Grin2b/Dlg2/Kcnk6/Lrfn1/Grik5/Gng7/Comt/Ntrk3/Slc38a2/Gabrb3/Prkacb/Prkaca/Gabbr1/Syn2/Slc17a7/Nrxn3/Gng3/Cacnb4/Kcnh3/Grin1/Rab3a/Gria1/Tomt,51
