ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-6798695,Neutrophil degranulation,211/2254,368/6029,0.5733695652173914,1.5336491165464297,8.162782530882277,9.046671884266643e-16,1.1742580105778103e-12,1.0494139385749306e-12,Ctsd/Ctsb/Tlr2/Lyz2/Ctsz/Anxa2/Cd63/C3ar1/Ctsa/Ttr/Creg1/Grn/Rap2b/Gusb/Gpr84/Lamp1/Ctsc/Galns/Psap/Folr2/Dpp7/Plekho2/Syngr1/Cd14/Vat1/Fabp5/Cd44/Pkm/Pnp/Fuca1/Tcirg1/Cst3/Fcgr4/Gns/Aprt/Cd68/Fuca2/C5ar1/Cstb/Impdh1/Glipr1/Neu1/Atp6ap2/Lamp2/Rac1/Rap1b/Snap25/Gaa/Slc11a1/Slc2a5/Ifi204/Iqgap1/Atp6v0a1/Aldoa/Igf2r/Glb1/Manba/Eef1a1/Serpinb6a/Stom/Clec4a2/Adam8/Commd9/Ncstn/Cmtm6/Dnase1l1/Cxcl1/Rab10/Clec4d/Mvp/Itgb2/H2-M3/Sirpa/Rab5c/Pygl/Qpct/Plaur/Pgm2/Atg7/Surf4/Gmfg/Kpnb1/Cybb/Itgax/Hpse/Bst2/Cat/Itgal/Ptprc/Hgsnat/Ddost/Mmp8/Mif/Slc15a4/Pfkl/Prdx4/Gstp1/Rab14/Cyba/Tnfrsf1b/Siglece/Nhlrc3/Rab3d/Hmgb1/Clec12a/Gdi2/Aldoc/Plau/Mapk14/Cnn2/Fgl2/Bst1/Prcp/Rab24/Hp/Lair1/Eef2/Rhoa/Nfkb1/Tmbim1/Adam10/Rhog/Npc2/Cant1/Hsp90ab1/Asah1/S100a8/Degs1/Alox5/Psen1/Jup/Ist1/Ctsh/Idh1/Gpi1/Mospd2/Rap1a/Tmc6/Slpi/Cct2/Apeh/Pgam1/Tubb5/Ano6/Clec4a3/Rab27a/Olr1/Txndc5/Prkcd/Dera/S100a9/Cd36/Ghdc/Rab3a/Cap1/Mlec/Faf2/Rab18/Pdap1/Cr1l/Lcn2/Qsox1/Rap2c/Hsp90aa1/Lamtor1/Arsa/Pa2g4/Hmox2/Rab4b/Cpne3/Trappc1/Mgst1/Hvcn1/Lrrc7/Pglyrp1/Ap1m1/Nfasc/Trpm2/Fgr/Prdx6/B2m/B4galt1/Hspa8/Cd93/Fcer1g/Lamtor3/Itgav/Aldh3b1/Ypel5/Aga/C3/Pecam1/Ppie/Actr10/Mapk1/Stk11ip/Cd47/Ggh/Nfam1/Fth1/Rab5b/Psmd12/Cyb5r3/Padi2/Pycard/Ptafr/Bri3/Ticam2/Atp11a/Atp11b/Mcemp1,211
R-MMU-112316,Neuronal System,108/2254,190/6029,0.5684210526315789,1.5204128333255498,5.631974246437701,2.520284949521313e-8,1.6356649322393323e-05,1.4617652707223618e-5,Aldh2/Gng2/Gnai2/Syt1/Glul/Gng10/Syn1/Syn2/Tspan7/Adcy3/Nrxn1/Snap25/Prkcg/Prkcb/Camk2a/Shank1/Gria1/Nefl/Camk2b/Slc17a7/Homer2/Grm5/Gnb2/Dlgap1/Cplx1/Nrxn2/Grin1/Adcy7/Gabra5/Vamp2/Slc1a2/Gng3/Grin2b/Kcnh2/Cacnb3/Dlg2/Ptprf/Ppfia4/Cask/Gnb1/Rps6ka1/Panx2/Stxbp1/Abat/Gabrb3/Kcnk13/Dlg4/Ncald/Kcnk1/Nlgn1/Kcnj2/Gnai1/Ptprs/Gabbr1/Glrb/Lrrtm1/Prkca/Slc6a1/Grin3a/Grik5/Ptprd/Prkaca/Dlgap3/Gabra2/Lrrc4b/Slc6a11/Prkar1a/Slc38a2/Kcna2/Cacng2/Gabrb2/Prkar1b/Slc1a3/Plcb1/Kcng2/Gabra4/Apba1/Nlgn3/Ppfia2/Adcy1/Chrna4/Slc1a1/Myo6/Nrxn3/Gabrg2/Rab3a/Shank3/Kcnh3/Cacna1a/Rps6ka3/Gad1/Slitrk5/Lrrc7/Gng7/Kcnc1/Hspa8/Gabra1/Naaa/Homer1/Gnb4/Camkk1/Ap2a1/Nlgn2/Gng4/Cacnb1/Grm1/Ap2b1/Ntrk3,108
R-MMU-109582,Hemostasis,179/2254,351/6029,0.50997150997151,1.364071975873218,5.430604993394419,6.07271652199681e-8,2.6274620151839535e-5,2.3481170551721005e-5,Anxa5/Igf1/Anxa2/Cd9/Cd63/Lgals3bp/Dgkz/Srgn/Gng2/Psap/Slc16a3/Gnai2/Slc3a2/Atp1b1/Abhd12/Cd44/Plek/Aplp2/Apbb1ip/Ehd1/Kras/Trem1/Gng10/Tuba1a/Cd84/Gnas/Lamp2/Igf2/Rac1/Rap1b/P2ry12/Cd48/Prkcg/Aldoa/Sparc/Hdac2/Tubb3/Prkcb/Flna/Serpinb6a/Serpine2/Slc7a7/Vegfb/Mertk/Hras/Grb2/Lhfpl2/Itgb2/Prkce/App/Sirpa/Ecm1/Gnb2/Plaur/Tubb2b/Tubb6/Maff/Stxbp2/Itgax/Fn1/Mgll/Atp2b3/Cbx5/Itgal/Arrb2/P2rx7/Tex264/Gng3/Mif/Atp1b2/Kif5a/Mapk3/F11r/Kif5b/Tuba1b/Gnb1/Plau/Mapk14/Dock6/Csk/Hgf/Gas6/Prcp/Cdc42/Tubb4a/Atp2b1/Tmx3/Rhoa/Gnai1/Gp9/Rac2/Tagln2/Itga5/Rhog/Prkca/Mafk/Slc7a10/Daglb/Ppp2ca/Prkaca/Clu/Tgfb1/Dock8/Prkar1a/Actn4/Ehd3/Pcdh7/Slc16a1/Rab5a/Tuba1c/Tubb2a/Rap1a/Atp2a3/Prkar1b/Gp1bb/Pros1/Prkch/Akap10/Itga4/Scg3/Olr1/Prkcd/Hdac1/Pik3r1/Habp4/Cd36/Zfpm1/Pde1a/Lefty1/Bsg/Vav1/Fyn/Raf1/Qsox1/Arrb1/Cd109/Aamp/Gng7/Dgkg/Dgkq/Sod1/Fgr/Ppp2r5e/Rapgef4/Chid1/Fcer1g/Thbd/Itgav/Crk/Cd74/Pecam1/Jam3/Cyb5r1/Tfpi/Gnb4/Slc7a5/Ppp2cb/F7/Kif18b/Mapk1/Atp2b2/Abcc4/Timp3/Itgb3/Kif1c/Cd47/Tor4a/Dgke/Mfn1/Ppil2/Shc1/Itga6/Cdc37l1/Gng4/Yes1/Sh2b1/Sh2b3/Pafah2/H3f3b,179
R-MMU-112315,Transmission across Chemical Synapses,79/2254,134/6029,0.5895522388059702,1.5769345376047887,5.218457279489746,2.4949992446457967e-7,8.096272548875611e-5,7.235497809472811e-5,Aldh2/Gng2/Gnai2/Syt1/Glul/Gng10/Syn1/Syn2/Tspan7/Adcy3/Snap25/Prkcg/Prkcb/Camk2a/Gria1/Nefl/Camk2b/Slc17a7/Gnb2/Cplx1/Grin1/Adcy7/Gabra5/Vamp2/Slc1a2/Gng3/Grin2b/Cacnb3/Dlg2/Ppfia4/Cask/Gnb1/Rps6ka1/Stxbp1/Abat/Gabrb3/Dlg4/Ncald/Kcnj2/Gnai1/Gabbr1/Glrb/Prkca/Slc6a1/Grin3a/Grik5/Prkaca/Gabra2/Slc6a11/Prkar1a/Slc38a2/Cacng2/Gabrb2/Prkar1b/Slc1a3/Plcb1/Gabra4/Apba1/Ppfia2/Adcy1/Chrna4/Slc1a1/Myo6/Gabrg2/Rab3a/Cacna1a/Rps6ka3/Gad1/Lrrc7/Gng7/Hspa8/Gabra1/Naaa/Gnb4/Camkk1/Ap2a1/Gng4/Cacnb1/Ap2b1,79
R-MMU-156827,L13a-mediated translational silencing of Ceruloplasmin expression,58/2254,92/6029,0.6304347826086957,1.6862871802785386,5.125324596938912,4.455626664844643e-7,1.1566806821936694e-4,1.0337053862439573e-4,Rplp0/Rps9/Rps4x/Rpl4/Rps11/Pabpc1/Eif3f/Rps5/Rps3/Rpl18a/Rpl13a/Rps20/Rps3a1/Eif3k/Rps14/Rpl14/Rpl22/Rpl8/Rplp1/Rps26/Rpl7/Rplp2/Eif3b/Rps18/Rpl23/Rps15/Rps19/Rps7/Rpl32/Rpl39/Rpl6/Rps15a/Eif4g1/Eif3h/Rpl29/Eif3e/Rpl3/Rpl37/Rpl18/Eif4h/Rps2/Rpl27a/Eif4b/Rps8/Rps21/Rps10/Rps24/Eif3g/Eif3a/Ubb/Rps6/Rpl15/Rpl35a/Rps16/Eif3m/Eif4a1/Rpl13/Eif4a2,58
R-MMU-72689,Formation of a pool of free 40S subunits,52/2254,82/6029,0.6341463414634146,1.6962148592204644,4.904631067535058,1.351991438941272e-6,2.924808146242952e-4,2.613850115286459e-4,Rplp0/Rps9/Rps4x/Rpl4/Rps11/Eif3f/Rps5/Rps3/Rpl18a/Rpl13a/Rps20/Rps3a1/Eif3k/Rps14/Rpl14/Rpl22/Rpl8/Rplp1/Rps26/Rpl7/Rplp2/Eif3b/Rps18/Rpl23/Rps15/Rps19/Rps7/Rpl32/Rpl39/Rpl6/Rps15a/Eif3h/Rpl29/Eif3e/Rpl3/Rpl37/Rpl18/Rps2/Rpl27a/Rps8/Rps21/Rps10/Rps24/Eif3g/Eif3a/Ubb/Rps6/Rpl15/Rpl35a/Rps16/Eif3m/Rpl13,52
R-MMU-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,57/2254,93/6029,0.6129032258064516,1.639393765921516,4.801401517907031,2.1261232866336305e-6,3.8152743791115254e-4,3.4096442833354157e-4,Rplp0/Rps9/Rps4x/Rpl4/Rps11/Eif3f/Rps5/Rps3/Rpl18a/Rpl13a/Rps20/Rps3a1/Eif3k/Rps14/Rpl14/Rpl22/Rpl8/Rplp1/Rps26/Rpl7/Rplp2/Eif3b/Rps18/Rpl23/Rps15/Rps19/Rps7/Rpl32/Rpl39/Rpl6/Rps15a/Eif4g1/Eif3h/Rpl29/Eif3e/Rpl3/Rpl37/Rpl18/Eif4h/Rps2/Rpl27a/Eif4b/Rps8/Rps21/Rps10/Rps24/Eif3g/Eif3a/Ubb/Rps6/Rpl15/Rpl35a/Rps16/Eif3m/Eif4a1/Rpl13/Eif4a2,57
R-MMU-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),49/2254,77/6029,0.6363636363636364,1.70214568040655,4.791221284926349,2.35147881609339e-6,3.8152743791115254e-4,3.4096442833354157e-4,Rplp0/Rps9/Gspt1/Rps4x/Rpl4/Rps11/Pabpc1/Rps5/Rps3/Rpl18a/Rpl13a/Rps20/Rps3a1/Rps14/Rpl14/Rpl22/Rpl8/Rplp1/Rps26/Rpl7/Rplp2/Rps18/Rpl23/Rps15/Rps19/Rps7/Rpl32/Rpl39/Rpl6/Rps15a/Eif4g1/Rpl29/Rpl3/Rpl37/Rpl18/Rps2/Rpl27a/Etf1/Rps8/Rps21/Rps10/Rps24/Ubb/Rps6/Upf1/Rpl15/Rpl35a/Rps16/Rpl13,49
R-MMU-72613,Eukaryotic Translation Initiation,60/2254,100/6029,0.6,1.6048802129547473,4.712851466769126,3.138939558261667e-6,4.074343546623644e-4,3.6411698875835335e-4,Rplp0/Rps9/Rps4x/Rpl4/Rps11/Pabpc1/Eif3f/Rps5/Rps3/Rpl18a/Rpl13a/Rps20/Rps3a1/Eif3k/Rps14/Rpl14/Rpl22/Rpl8/Rplp1/Rps26/Rpl7/Rplp2/Eif3b/Rps18/Rpl23/Rps15/Rps19/Rps7/Rpl32/Rpl39/Rpl6/Rps15a/Eif4g1/Eif3h/Rpl29/Eif3e/Eif2b4/Rpl3/Rpl37/Rpl18/Eif4h/Rps2/Rpl27a/Eif4b/Rps8/Rps21/Rps10/Rps24/Eif3g/Eif3a/Ubb/Rps6/Rpl15/Eif4ebp1/Rpl35a/Rps16/Eif3m/Eif4a1/Rpl13/Eif4a2,60
R-MMU-72737,Cap-dependent Translation Initiation,60/2254,100/6029,0.6,1.6048802129547473,4.712851466769126,3.138939558261667e-6,4.074343546623644e-4,3.6411698875835335e-4,Rplp0/Rps9/Rps4x/Rpl4/Rps11/Pabpc1/Eif3f/Rps5/Rps3/Rpl18a/Rpl13a/Rps20/Rps3a1/Eif3k/Rps14/Rpl14/Rpl22/Rpl8/Rplp1/Rps26/Rpl7/Rplp2/Eif3b/Rps18/Rpl23/Rps15/Rps19/Rps7/Rpl32/Rpl39/Rpl6/Rps15a/Eif4g1/Eif3h/Rpl29/Eif3e/Eif2b4/Rpl3/Rpl37/Rpl18/Eif4h/Rps2/Rpl27a/Eif4b/Rps8/Rps21/Rps10/Rps24/Eif3g/Eif3a/Ubb/Rps6/Rpl15/Eif4ebp1/Rpl35a/Rps16/Eif3m/Eif4a1/Rpl13/Eif4a2,60
R-MMU-927802,Nonsense-Mediated Decay (NMD),58/2254,97/6029,0.5979381443298969,1.5993651606765522,4.59813683006348,5.332489994792061e-6,5.767976677700079e-4,5.154740328298992e-4,Rplp0/Rps9/Gspt1/Rps4x/Rpl4/Rps11/Pabpc1/Rps5/Rps3/Rpl18a/Rpl13a/Rps20/Rps3a1/Rps14/Rpl14/Rpl22/Rpl8/Rplp1/Rps26/Rpl7/Rplp2/Rps18/Rpl23/Rps15/Rps19/Rps7/Rpl32/Rpl39/Rpl6/Rps15a/Eif4g1/Rpl29/Rpl3/Rpl37/Rpl18/Rps2/Rpl27a/Ppp2ca/Etf1/Rps8/Rps21/Rps10/Rps24/Smg1/Rbm8a/Magoh/Ubb/Rps6/Upf1/Rpl15/Casc3/Rpl35a/Upf3a/Rps16/Smg9/Smg5/Rpl13/Magohb,58
