ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-6798695,Neutrophil degranulation,149/1049,368/6029,0.4048913043478261,2.3270635594976583,12.056708204003355,2.2446005371489224e-27,2.4713051914009636e-24,2.239875062333872e-24,Ctsd/Ctsb/Tlr2/Lyz2/Ctsz/Anxa2/Cd63/C3ar1/Ctsa/Creg1/Grn/Rap2b/Gusb/Gpr84/Lamp1/Ctsc/Galns/Psap/Folr2/Dpp7/Plekho2/Syngr1/Cd14/Vat1/Fabp5/Cd44/Pkm/Fuca1/Tcirg1/Fcgr4/Gns/Aprt/Cd68/Fuca2/C5ar1/Cstb/Impdh1/Glipr1/Neu1/Atp6ap2/Lamp2/Gaa/Slc11a1/Ifi204/Iqgap1/Atp6v0a1/Aldoa/Igf2r/Glb1/Manba/Serpinb6a/Stom/Adam8/Commd9/Ncstn/Dnase1l1/Cxcl1/Clec4d/Mvp/Itgb2/H2-M3/Sirpa/Pygl/Qpct/Plaur/Pgm2/Atg7/Surf4/Cybb/Itgax/Hpse/Bst2/Itgal/Ptprc/Hgsnat/Ddost/Mmp8/Mif/Slc15a4/Pfkl/Prdx4/Cyba/Tnfrsf1b/Nhlrc3/Rab3d/Clec12a/Plau/Fgl2/Bst1/Hp/Lair1/Tmbim1/Adam10/Npc2/Cant1/Asah1/S100a8/Degs1/Psen1/Ist1/Ctsh/Idh1/Gpi1/Mospd2/Tmc6/Slpi/Apeh/Pgam1/Ano6/Rab27a/Olr1/Txndc5/Prkcd/Dera/S100a9/Cd36/Ghdc/Faf2/Cr1l/Lcn2/Qsox1/Arsa/Mgst1/Hvcn1/Pglyrp1/Trpm2/Fgr/Prdx6/B2m/B4galt1/Hspa8/Cd93/Lamtor3/Itgav/Aldh3b1/Aga/C3/Stk11ip/Cd47/Ggh/Nfam1/Fth1/Psmd12/Pycard/Ptafr/Ticam2/Atp11a/Atp11b/Mcemp1,149
R-MMU-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,24/1049,42/6029,0.5714285714285714,3.284216260384039,6.817371008983582,6.752900553854063e-9,3.7174717548966617e-6,3.369341960554553e-6,Cd22/Icam1/Trem2/Trem1/Itgb2/H2-M3/Ifitm2/Itgal/Cd300lb/Lair1/Ifitm3/Cd300lf/Pianp/Cd300lg/Pvr/Itga4/Icam4/Siglec1/B2m/Cd40/C3/Slamf6/Icam2/Ulbp1,24
R-MMU-114608,Platelet degranulation,34/1049,76/6029,0.4473684210526316,2.5711956249059256,6.325994507790643,2.321305822436876e-8,7.835918716544616e-6,7.102109033208371e-6,Anxa5/Igf1/Cd9/Cd63/Lgals3bp/Srgn/Psap/Plek/Aplp2/Lamp2/Aldoa/Flna/Lhfpl2/App/Ecm1/Stxbp2/Fn1/Tex264/Hgf/Gas6/Tmx3/Tagln2/Actn4/Pros1/Cd36/Qsox1/Cd109/Sod1/Chid1/Cyb5r1/Abcc4/Itgb3/Tor4a/Cdc37l1,34
R-MMU-382551,Transport of small molecules,119/1049,431/6029,0.27610208816705334,1.5868631930973924,5.802548175049033,2.846836954239643e-8,7.835918716544616e-6,7.102109033208371e-6,Apoe/Lpl/Abcg1/Apoc1/Abca1/Apoc2/Lipa/Ttyh2/Slc16a3/Abcd2/Slc3a2/Sgk1/Atp6v1b2/Tcirg1/Slc2a1/Cln3/Angptl4/Soat1/Ank/Nceh1/P4hb/Sel1l/Atp13a2/Slc39a2/Slc11a1/Hmox1/Atp6v0a1/Clcn7/Stom/Slc7a7/Slc6a6/Apoc4/Slc24a5/Slc27a1/Tpcn2/Afg3l2/Atp6ap1/Ubc/Slc16a10/Slc43a2/Esyt1/Mcoln1/Ostm1/Atp6v1c1/Slc17a5/Atp6v1a/Ldlrap1/Slc15a3/Slc15a4/Scarb1/Slc39a7/Psmb6/Slc12a7/Trpv2/Mcoln3/Atp2b1/Os9/Abcc3/Slc45a3/Npc2/Mcoln2/Pltp/Lmf2/Slc38a2/Slc33a1/Slc16a1/Derl1/Atp13a1/Rnf185/Slc9a8/Atp2a3/Slc11a2/Furin/Ano6/Slc26a11/Slc4a2/Abca3/Ctns/Bsg/Raf1/Lcn2/Abcb8/Ripk3/Slc8b1/Nr1h3/Psmc1/Atp6v0b/Atp7a/Slc2a9/Atp6v1h/Trpm2/Erlin2/Slc35b4/Lrrc8a/Abca7/Mylip/Atp1a1/Atp9b/Slc35c1/Slc25a10/Cyb5r1/Psmd8/Lrrc8c/Npc1/Best1/Slc39a14/Pmpca/Slc35b3/Abcc4/Atp1a3/Ap2a1/Atp6v1e1/Fth1/Psmd12/Atp11a/Lrrc8d/Slc35d2/Clcn5/Atp11b,119
R-MMU-71387,Metabolism of carbohydrates and carbohydrate derivatives,66/1049,204/6029,0.3235294117647059,1.8594459709527282,5.731197746075069,9.231361745936067e-8,2.0152434594139463e-5,1.8265221086327463e-5,Ctsl/Sdc4/Gusb/Hexa/Galns/Cd44/Slc37a2/Pkm/Slc2a1/Pfkfb3/Gns/Naglu/Man2b2/Sdc3/Gaa/Aldoa/Glb1/Manba/Tpi1/Pgd/Pygl/Pgm2/Hpse/Slc17a5/Dse/Hgsnat/Pfkl/Hyal1/Chst12/Chst1/Ext2/Pfkfb4/Cspg4/Pck2/Gapdh/B3gnt3/B4galt7/Chst14/B3gnt7/Phka2/Gpi1/B3gnt2/Chpf2/Extl2/Nup50/G6pdx/Pgam1/Pgk1/Hmmr/Galk1/Slc26a11/Dera/Nup210/Nup98/Gnpda1/Ranbp2/Sgsh/Ndc1/B4galt1/B4galt5/Akr1a1/Slc35b3/Slc37a4/Adpgk/Xylt2/Slc35d2,66
R-MMU-76005,Response to elevated platelet cytosolic Ca2+,34/1049,80/6029,0.425,2.442635843660629,5.961278641029028,1.0982253184817146e-7,2.0152434594139463e-5,1.8265221086327463e-5,Anxa5/Igf1/Cd9/Cd63/Lgals3bp/Srgn/Psap/Plek/Aplp2/Lamp2/Aldoa/Flna/Lhfpl2/App/Ecm1/Stxbp2/Fn1/Tex264/Hgf/Gas6/Tmx3/Tagln2/Actn4/Pros1/Cd36/Qsox1/Cd109/Sod1/Chid1/Cyb5r1/Abcc4/Itgb3/Tor4a/Cdc37l1,34
R-MMU-1280215,Cytokine Signaling in Immune system,98/1049,352/6029,0.2784090909090909,1.6001224109541554,5.324899610650179,3.480676758911972e-7,5.474607302231544e-5,4.961927169095563e-5,Csf1/Sqstm1/Socs3/Nfkbia/Il1b/Osm/Ptk2b/Map3k8/Il4ra/P4hb/Inppl1/Il1rn/Il23a/Fos/Hsp90b1/Ubc/App/Mapkapk3/Adar/Tubb6/Nfkbib/Stxbp2/Ifnar1/Isg15/Trim25/Tnfsf9/Il18bp/Csf2rb/Pik3cd/Il1a/Tnfrsf1b/Ifnar2/Eif4g1/Uba7/Psmb6/Il2rg/Nfkb2/Dusp3/Nlrc5/Usp18/Birc3/Ltbr/Dusp4/Il6/Map3k14/Il10/Tifa/Ifnb1/Mx2/Ube2l6/Map2k3/Tnfsf14/Cd4/Kpna1/Tuba1c/Irak2/Nod1/Tnfsf18/Tnfrsf12a/Tnip2/Furin/Prkcd/Ifngr2/Vav1/Socs6/Raf1/Il6st/Traf6/Psmc1/Jun/Mavs/Cd40/Irs2/Hspa8/Jak3/Irf3/Ikbkg/Psmd8/Nkiras2/Foxo3/Il12b/Il1r1/Tbk1/Fancb/Stat5a/Casp1/Lrrc14/Shc1/Il10ra/Eif4a1/Irf9/Il27ra/Psmd12/Eif2ak2/Sh2b1/Il12rb2/Eif4a2/Irak3,98
R-MMU-168898,Toll-like Receptor Cascades,47/1049,134/6029,0.35074626865671643,2.0158715478849794,5.457691534465995,5.088730995518019e-7,7.003366032581673e-5,6.347522347040896e-5,Ctsb/Tlr2/Ctsl/Nfkbia/Cd14/Map3k8/Fos/Hsp90b1/Itgb2/Ubc/App/Mapkapk3/Cd180/Tlr7/Nfkbib/Slc15a4/Irf7/Nfkb2/Dusp3/Nlrc5/Usp18/Pik3r4/Birc3/Ikbke/Dusp4/Lgmn/S100a8/Tifa/Tlr1/Map2k3/Irak2/Nod1/Optn/Tnip2/S100a9/Cd36/Tlr8/Ripk3/Traf6/Jun/Irf3/Ikbkg/Nkiras2/Ticam1/Tbk1/Lrrc14/Ticam2,47
R-MMU-174824,"Plasma lipoprotein assembly, remodeling, and clearance",23/1049,49/6029,0.46938775510204084,2.697749071029747,5.476216936327626,1.579456866024305e-6,1.9322022327697332e-4,1.7512574374164224e-4,Apoe/Lpl/Abcg1/Apoc1/Abca1/Apoc2/Lipa/Angptl4/Soat1/Nceh1/P4hb/Apoc4/Ubc/Ldlrap1/Scarb1/Npc2/Pltp/Lmf2/Furin/Nr1h3/Mylip/Npc1/Ap2a1,23
R-MMU-2173782,Binding and Uptake of Ligands by Scavenger Receptors,12/1049,17/6029,0.7058823529411765,4.056973027533225,5.792503116465716,1.9046752238437907e-6,2.0970474214520134e-4,1.9006653812672771e-4,Apoe/Msr1/Hsp90b1/Masp1/Lrp1/Calr/Cd5l/Scarb1/Hp/Prdx1/S100a9/Cd36,12
