"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","11/162","118/11204",0.0932203389830508,6.4471646788031,7.20484887055475,1.03729835047963e-06,0.000178803302939754,0.000126381965976797,"16477/16362/12702/16476/14281/12608/14825/14102/208647/18035/15945",11
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","10/162","97/11204",0.103092783505155,7.12994781723304,7.34420959376736,1.29099857718234e-06,0.000178803302939754,0.000126381965976797,"16476/16478/16819/14281/15519/12608/14825/20202/18035/15945",10
"Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B","11/162","164/11204",0.0670731707317073,4.63881361035833,5.68588408378474,2.51368785567161e-05,0.00232097178673678,0.00164051207422779,"12043/12575/16476/14281/328572/12427/14102/208647/18035/18019/20779",11
"Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection","12/162","223/11204",0.0538116591928251,3.72164092343465,4.97236631981683,9.35513008157017e-05,0.00639818841413074,0.00452237524236488,"12575/16476/66734/12524/14281/14825/328572/12774/14102/18035/18019/20779",12
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection","12/162","228/11204",0.0526315789473684,3.64002599090318,4.87814135342992,0.000115490765598028,0.00639818841413074,0.00452237524236488,"66997/12010/12043/22352/12575/16476/13197/12427/17873/14102/18035/15945",12
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","9/162","136/11204",0.0661764705882353,4.57679738562092,5.08311601792177,0.00015450061936344,0.00713277859394546,0.0050415991581754,"12043/16905/16476/13197/14281/17873/14102/16906/18035",9
"Human Diseases","Cancer: specific types","mmu05210","Colorectal cancer","7/162","88/11204",0.0795454545454545,5.50140291806958,5.13470809207819,0.000276009400387376,0.00865320795449298,0.00611627087036175,"12043/12575/16476/13197/14281/23805/17873",7
"Human Diseases","Cancer: specific types","mmu05224","Breast cancer","9/162","147/11204",0.0612244897959184,4.23431594860166,4.78104970472781,0.000277513702816555,0.00865320795449298,0.00611627087036175,"18128/15208/22413/12575/16476/13197/14281/23805/17873",9
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","11/162","217/11204",0.0506912442396313,3.50583148432611,4.51484630007581,0.000308895973738624,0.00865320795449298,0.00611627087036175,"16173/12043/22359/16476/14281/15519/14825/14102/18035/18019/20779",11
"Environmental Information Processing","Signal transduction","mmu04330","Notch signaling pathway","6/162","64/11204",0.09375,6.4837962962963,5.32880108819755,0.000312390178862563,0.00865320795449298,0.00611627087036175,"18128/15208/20238/21888/207521/328572",6
